Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         30.0     1.2    24.4    88.2     6.2
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960    3.84    0.37    2.77   17.76   -5.41
 1961    5.84   -0.16    4.77   19.57   -0.77
 1962    2.80    0.41   -0.27    9.82    1.29
 1963    1.93   -0.14    6.97   -1.12    2.06
 1964    5.69    0.26    3.99   17.94    0.59
 1965   -2.48    0.06    1.56   -9.81   -1.70
 1966    5.31   -0.38   12.74    8.15    0.78
 1967    3.22    0.04    1.64    9.76    1.47
 1968    1.60    0.54   13.23   -5.23   -2.08
 1969    0.23    0.57    7.09   -6.63   -0.05
 1970    1.66   -0.65   -3.12   11.42   -0.99
 1971   -0.14    0.17   -5.25    3.03    1.54
 1972   -3.54   -0.25    2.05  -16.86    0.94
 1973   -3.87   -0.44   -2.80  -10.89   -1.33
 1974   -0.30    0.00   -6.30    5.24   -0.12
 1975    2.19    0.86   -0.14    9.11   -1.05
 1976   -2.16   -0.23    2.38  -12.72    1.97
 1977   -0.24    0.10   -1.10    2.21   -2.15
 1978    2.22    0.75    2.95    5.75   -0.53
 1979    5.85   -0.35    4.12   15.89    1.32
 1980    3.67   -0.01    8.85    6.66   -0.84
 1981    4.42   -0.16    3.92   13.32    0.59
 1982   -1.04    0.19    2.51   -6.30   -0.58
 1983   -1.94   -0.18   -2.88   -0.95   -3.73
 1984   -6.77    0.28   -0.48  -26.30   -0.57
 1985   -4.72    1.06   -4.03  -13.42   -2.47
 1986   -3.46   -0.04   -9.04   -4.11   -0.63
 1987   -6.95   -0.47   -0.62  -24.73   -1.99
 1988    6.77   -0.10    1.33   28.77   -2.92
 1989   -0.48   -0.39    0.78   -3.56    1.23
 1990   -6.57   -0.30   -4.36  -20.83   -0.78
 1991    0.93   -0.27   10.74   -5.96   -0.81
 1992   -0.23    0.12   -4.85    4.29   -0.48
 1993   -3.99   -0.29    4.68  -18.83   -1.51
 1994    5.44   -0.04   -1.29   20.22    2.88
 1995    2.86    0.39    4.48    5.95    0.64
 1996    0.62    0.40    7.03   -5.11    0.15
 1997    2.53   -0.01    4.72    3.41    1.99
 1998    4.31   -0.34   -3.34   17.73    3.19
 1999    5.05    0.21   -7.33   19.44    7.91
 2000   -0.95    0.72    2.35   -4.79   -2.07
 2001    6.35    6.14    0.74   11.92    6.62
 2002   -3.26   -0.19   -7.79  -14.20    9.13
 2003    9.36    0.53   10.81   20.26    5.84
 2004    1.66    0.04    5.06    1.32    0.20
 2005    5.21   -0.08   17.64    5.77   -2.49
 2006    9.58    6.90    6.59   19.43    5.39
