Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      NDJ      FMA      MJJ      ASO
         19.89    16.73    15.74    15.99    17.69
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      1.34    -1.41     0.18    -1.43     0.09
1962     -0.15    -0.02     2.11     2.60    -0.53
1963     -2.23    -0.37    -2.62     1.20    -3.80
1964      1.15     0.28    -2.05     2.15     1.89
1965     -2.62    -2.12    -1.13    -1.52    -2.31
1966      0.61     1.46    -1.36     0.73    -0.79
1967     -1.22    -2.86    -0.46    -1.23     0.32
1968     -3.46    -2.52    -0.70    -2.28    -2.50
1969      1.90    -0.88     0.07    -0.58     2.06
1970     -3.06    -2.35    -1.19    -2.06    -4.36
1971      3.88    -0.43    -1.65     3.03     6.08
1972      0.65     0.15    -0.77     0.44     0.04
1973     -2.37    -2.15     0.45    -1.70    -0.78
1974      0.92     0.96     1.69    -1.69     0.39
1975     -1.45    -1.22    -1.34    -0.22    -0.66
1976     -1.40    -0.73    -0.36     0.37    -0.37
1977     -0.98     0.16    -1.01    -0.45     0.16
1978      0.38     0.62     3.07     1.51    -2.26
1979     -1.02     0.88     1.03     0.92    -3.96
1980     -1.29    -1.54    -0.17    -1.30    -2.56
1981      2.30     1.72    -0.23    -0.36     3.15
1982     -1.31     0.65     1.85    -1.69    -0.92
1983      0.34    -3.96     0.48    -1.11     0.74
1984      1.11    -2.15    -2.26     4.09     1.84
1985      0.73     3.62     2.14    -0.86    -1.80
1986      2.05     0.79     4.58     0.02    -1.07
1987     -0.60    -1.30    -0.89     0.82     1.39
1988      0.36    -2.45     0.51     0.89     0.58
1989      0.69     3.24     0.42    -2.25    -0.20
1990      2.27     3.14     0.03     1.36     3.32
1991     -0.41     1.17    -0.02    -1.09    -0.34
1992      0.86     1.36    -1.35     0.31     0.73
1993     -2.52    -0.95     0.19    -0.28    -1.89
1994     -0.44    -0.42    -1.11     2.90     0.14
1995     -1.90    -1.77    -2.12    -1.77    -0.12
1996      3.15     0.41    -0.34    -0.81     3.44
1997      0.36     0.43     0.06     0.20     1.66
1998     -0.26     2.19    -0.26    -1.22    -0.10
1999     -1.02    -0.06    -1.44     2.00    -2.23
2000      1.41    -2.07    -0.43     4.90    -1.67
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -0.73     0.63     1.40     0.33    -5.11
2047     -1.07    -0.38     1.34    -0.74    -0.78
2048      0.24     0.95     0.66     1.29     0.29
2049      1.05     2.40    -0.34     1.43     1.66
2050      0.74     0.68     3.13     2.86    -0.17
2051     -0.16     0.22    -0.91     1.35     0.99
2052     -0.66    -0.35     1.31    -1.09    -0.92
2053     -0.94     1.09    -5.01    -0.82     0.53
2054      1.34     0.27     2.58     4.09    -1.19
2055      0.53    -3.67     1.78     0.81     2.49
2056      0.27     0.70    -1.80     0.05     1.29
2057      0.02    -2.74    -1.24     0.87     2.02
2058      1.78     1.42     3.77     1.16     0.45
2059      1.05    -0.30     0.42     0.66     0.67
2060      1.27     0.94     0.58    -0.36     2.59
2061     -0.46    -1.10     0.09     2.69    -0.03
2062      8.52     2.66    -4.62     0.79     6.97
2063      1.50     2.37     0.82     1.98    -0.90
2064      3.53     0.67    -1.87     0.71     5.57
2065      2.42    -1.29     1.03     5.56    -3.64
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
