Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.83     9.95    30.40     7.03    24.57
1962     35.87    26.21    36.26    47.97    35.40
1963      6.49    49.38    27.21    24.21    18.65
1964     26.20    16.65    28.88    45.24     8.34
1965     12.78    14.81    38.61    24.42    28.46
1966     32.46     8.46    24.02    23.25    50.43
1967      9.94    11.34    21.88     1.86    22.82
1968     12.39    37.07    45.57    22.63    24.99
1969     27.13    43.17    17.33    19.89    22.28
1970     15.45    18.74    24.45    29.38    23.84
1971      8.31    12.95     9.22    18.93    20.16
1972     44.91    15.40    18.05    70.22    13.33
1973     68.01    32.70    59.85    41.14    52.84
1974     40.80     8.63     9.55    40.54    61.70
1975     11.07     5.47    24.00    11.51    11.47
1976     24.09    23.30     9.61    31.64    27.60
1977     14.12    33.52    25.61    19.20    10.21
1978     15.41    25.73    22.80    24.89    18.87
1979     35.53    28.79    22.57    54.67    34.93
1980     28.71    23.93    17.95    56.08    33.74
1981     29.04    19.91    52.62    13.07    62.60
1982     33.17    10.84    54.27    44.02    35.70
1983     44.58    20.66    86.38    41.87    34.80
1984     14.03    15.93    36.58     6.37    28.21
1985     11.10    63.01    39.06    21.95     4.60
1986     16.09    13.34    20.75    24.21    20.04
1987     30.71    60.11    50.80    28.26    20.23
1988     18.10    35.23    31.92    20.34    37.78
1989     25.39    60.60    22.31    12.94     9.45
1990     20.73    23.33    23.88    37.13    28.61
1991     19.93    12.67    45.47    20.25    15.02
1992     24.70    53.54    11.84    15.73    36.43
1993     37.31    26.03    63.52    32.09    11.78
1994     48.69    25.77    34.49    67.66    14.78
1995     71.53    83.64    55.11    21.67    44.03
1996     11.38    28.50    51.83     9.13    18.18
1997     30.90    21.36    19.96    46.24    14.47
1998     25.10    17.37    17.11     8.14    43.28
1999     67.41    60.60    18.77    53.44    33.74
2000       NaN      NaN    18.60     9.40    76.27
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN    26.43    30.87    19.72
2047     14.52    29.12    19.21    26.96    23.09
2048     24.95    46.82    32.62    52.38    28.27
2049     18.84    32.90    22.02    19.32    21.95
2050     62.92    30.15    62.00    78.80    35.85
2051    145.90    24.07    21.59   160.72    31.66
2052     34.09    44.74    23.69    24.80    37.67
2053     28.30    49.42    27.75    45.05    46.01
2054     83.80    28.32    49.29   102.36    34.84
2055     53.08    26.12     4.34    72.22    35.64
2056     74.91   113.87   105.40     6.54    76.28
2057     44.07    50.89    56.76    40.47    17.79
2058     34.02    53.08    44.81    25.72    19.64
2059     75.51    16.30    85.44    86.55    20.07
2060     48.34    60.11    95.99    40.88    43.40
2061     28.28    56.78    50.17    29.70    16.84
2062     31.13    36.85    72.01    47.49    42.73
2063     87.11    32.80    14.72    97.02     8.27
2064     35.16    42.64    53.55    38.64    43.73
2065       NaN      NaN    60.48    44.04    18.15
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
