Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      NDJ      FMA      MJJ      ASO
        109.78    73.15    89.14    90.75    82.96
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -7.85   -12.76   -13.65   -13.08    18.71
1962     35.87     1.26    15.81    47.97     1.33
1963    -23.35   -10.20   -15.08    -9.27   -17.99
1964     26.20   -26.25   -14.75    45.24   -19.18
1965      9.69   -15.98   -29.61    24.42     3.39
1966      2.58    -8.43    -3.58    14.86    -7.06
1967     -7.47     8.60     8.98    -0.86    -7.95
1968     -4.98    -8.78   -10.97    11.27    -1.34
1969     -8.00   -15.87   -20.20     1.90     4.04
1970     -0.06    16.11    -1.00    -9.35    18.72
1971     -9.44     5.20     4.16   -17.08   -15.71
1972     -6.71    15.40    -3.03   -10.27     5.63
1973      0.33     5.09    -8.92    15.85   -16.85
1974     -7.91   -20.05     2.05    -8.76    -7.51
1975     -6.66     1.93   -10.78    11.51    -8.15
1976    -14.05    -3.00    -2.12   -15.14    -9.82
1977     14.07    33.52    -2.62    19.20   -20.31
1978      9.92     9.21    17.97    -3.41    -3.03
1979     -4.64    26.57    -0.48   -10.79    13.88
1980      7.12    -9.15   -11.44    -8.51    33.74
1981     -9.63   -19.75     8.14   -21.03    -3.96
1982     -7.34   -20.67     6.52     1.89    -7.42
1983     -9.28    16.75   -26.76    -6.85     7.25
1984     -0.11    -6.82   -10.98    -8.55    13.26
1985     -4.05   -17.53     2.22    11.07     4.60
1986      1.28    13.34    15.43    -4.35    -4.96
1987     30.71   -15.05    50.80   -11.51    -8.38
1988     -8.17    11.77    -5.67    -3.11    -5.06
1989    -17.67   -17.89    -4.41    -3.39   -11.92
1990     20.73    12.72   -17.12    37.13    -2.76
1991    -13.46   -18.99    -5.90   -13.10     4.71
1992     -4.92    23.87   -15.76    -9.28   -18.05
1993      6.56    -5.55    18.51    10.25    -2.16
1994     15.30   -10.78     7.41    19.33     3.52
1995     -8.43   -10.68    -9.04     3.76    -6.49
1996      7.35    -2.02    -4.10     8.39    17.64
1997      5.14    11.47    -4.00    16.50     0.38
1998    -13.73    -7.90    -7.85    -5.02    -4.56
1999     27.76   -17.12    18.77    14.61    33.74
2000      4.44    10.00    18.60   -13.28    -7.13
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -13.70     7.25    -3.81   -17.55   -17.57
2047     -9.07   -16.69     1.04    -2.60     9.76
2048      8.25    22.78    22.83   -13.38    28.27
2049     13.11    11.58     1.45    13.41    15.83
2050     -2.90    -9.87    -0.85    11.52    -9.90
2051      9.73   -16.55    21.59     9.22    -4.66
2052     -6.10   -12.30    -7.62     4.00    18.29
2053     19.37    -2.51     9.92    25.20     8.77
2054     32.48   -21.26    25.59    27.51    26.92
2055     15.83   -17.48   -12.50    26.69    27.06
2056     29.26    16.30    38.26   -19.70    17.26
2057     44.07     9.23    56.76     3.46     1.74
2058      1.15     1.31    -3.47    -2.36    16.38
2059     -5.44    -5.04    -4.17    -9.32    20.07
2060     24.67   -18.94    -2.91    -3.36    43.40
2061     -5.34     1.71   -35.76    -0.42    12.45
2062     -0.27   -19.76    11.83    -8.53    -0.02
2063     12.62   -14.28    -2.51    20.73    -1.21
2064     27.73   -10.62     5.32    19.80    43.73
2065     25.46     8.71   -14.25    44.04     2.57
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -8.32    -5.02   -16.22    -2.89    11.45
2082      5.13    -8.98    18.06    20.62    -4.37
2083     11.17   -22.98     8.37    10.27    20.92
2084     25.71   -27.46    -8.29    25.38    37.92
2085     41.93     2.67   -10.21    40.29    50.92
2086     46.91    -4.54    -9.57    53.21    23.41
2087     -1.54    -1.44    -0.25   -18.19    18.70
2088     25.62     1.50   -21.68    42.53    30.78
2089     52.80    24.78    47.99    17.13     8.30
2090      1.83   -12.72    -8.03    -8.82    24.33
2091     33.79   -13.00    33.13   -17.58    19.00
2092     36.41     6.58    37.43     8.16    25.23
2093     45.60   -15.54    49.48    39.88     6.10
2094     18.73    18.31   -15.69    34.18    -0.49
2095     25.20    58.82    -9.05    10.69     1.11
2096     22.91   -11.69   -18.51    37.39    -0.09
2097     60.97    27.35    69.69    48.27    12.92
2098      7.67   -19.38   -11.55    24.05    24.18
2099     34.16    14.28    23.35     6.41    48.21
2100     68.03    22.50   -18.43    86.94     7.54
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     16.38    -6.65    22.67    30.11     7.30
2047     -7.93     6.54     1.55     0.61   -10.42
2048     16.99    -2.06    23.35    -8.43    34.16
2049     13.34    23.60    20.90    14.93    -7.64
2050     13.92    -4.14    16.26    -2.90     9.68
2051     11.02    -6.91    -0.10    16.61     9.73
2052     20.85   -10.35    37.21   -14.22    -0.33
2053     15.41   -17.02    12.12    25.71    22.82
2054     20.63   -19.01    28.87     6.59    21.86
2055     16.05    31.90   -17.60    23.12     6.75
2056     -1.69     3.61     3.31     8.35     7.72
2057     -8.35   -13.18   -18.59    -0.82    10.41
2058     -9.75    -6.65   -11.43    -7.62     9.31
2059     17.91    12.59   -27.12     6.61    38.63
2060     11.74   -13.66   -12.22    18.35    13.30
2061     -4.61    -0.31     1.63   -10.36    -2.52
2062     23.75    34.09     3.97    29.72    16.56
2063     -1.93   -12.39    -1.26    13.02   -14.44
2064     -2.87     0.05    -7.51    11.41    17.10
2065     47.35    31.24    15.50     4.57    58.37
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -3.78    -1.51   -11.03     8.76    -1.62
2082     23.03   -32.59    43.13    -0.96    17.65
2083     17.78    36.90    -3.74     9.37    21.05
2084      9.14   -17.56    -0.12    11.60    23.73
