Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      NDJ      FMA      MJJ      ASO
          9.96     9.98     9.91     9.95     9.96
Timeseries (% days occurring)
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      1.93     0.05     1.90     1.52     0.54
1962      4.77     6.95     3.07     1.42    18.27
1963     16.38     5.10    20.11    25.58     0.04
1964      2.12     0.92     1.01     1.04     0.53
1965      0.47     0.00     0.32     0.05     0.00
1966      0.30     0.07     1.17     0.00     0.03
1967     17.07     9.58    17.20    21.39    14.98
1968      4.20     2.88     5.87     0.52     0.00
1969      0.01     0.06     0.03     0.00     0.00
1970      2.70     0.14     1.80     3.15     0.71
1971      5.16     5.13     7.22     2.36     3.06
1972     12.08     3.39    16.05    13.36     1.05
1973      1.45     2.17     1.68     0.60     0.06
1974      2.63     1.92     2.34     3.51     2.81
1975      5.96     0.26     2.62     7.27     0.85
1976      0.23     0.48     0.08     0.00     0.50
1977      5.88     3.36     5.13     4.98     3.40
1978      1.21     2.00     0.05     0.68     3.16
1979     17.45     3.09    16.35    22.04     6.64
1980      2.39     5.34     1.73     1.38     0.81
1981     17.66     6.75    18.72    23.65     5.52
1982      2.68     2.01     1.54     2.43     1.08
1983      2.61     1.34     1.99     0.81     2.73
1984      5.97     4.98     5.59     0.29     9.57
1985      9.42     1.90    14.75     4.63     1.50
1986      8.58     2.95     8.38    11.28     1.79
1987     12.75    18.15     7.73    13.71    20.19
1988     20.92    17.32    18.58    28.92    28.88
1989      6.54    12.56     3.71     4.13     2.05
1990     20.43    32.06    10.85    24.34    28.88
1991     24.26    25.04    45.97    20.56    16.59
1992      4.44    17.47     4.27     1.20     4.48
1993      9.78    10.99     3.80    13.50    19.36
1994     21.56    23.76    26.17    18.49    28.86
1995     16.39    14.68    13.32    19.93    20.17
1996      8.29     6.10     4.70     7.51    13.21
1997     16.56    33.80     5.92    12.23    46.43
1998     26.16    22.72    43.03    27.48    10.79
1999      6.61    17.60     3.13     3.95    13.52
