Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      NDJ      FMA      MJJ      ASO
          9.97     9.97     9.99    10.00     9.98
Timeseries (% days occurring)
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      1.93     1.27     0.49     0.74     0.02
1962      4.69     1.92     4.77     0.69     0.37
1963      5.72     5.32     2.93     7.15    10.32
1964      7.31     7.62     4.00     0.64     2.63
1965     12.71     9.25    17.55    10.44    11.61
1966     10.91     6.11     8.79     1.49     2.07
1967      9.89     5.27     4.27     1.36     1.64
1968      3.95     1.67     2.77     6.11     7.46
1969     13.77     2.03     8.26    36.93    10.97
1970      6.67     3.57     6.66     1.53     1.19
1971      5.97     9.39     3.80     0.80     1.61
1972      4.29     4.72     0.32     4.38     2.06
1973     12.93     3.15    18.06    22.67     3.42
1974      7.37     8.58     0.94     1.14     3.88
1975     14.89    15.59    18.67     9.88    19.62
1976     13.47    10.67    14.25     8.16     0.90
1977      5.92     5.43     2.52     0.04     5.02
1978      5.27    10.30     4.61     0.51     6.06
1979      9.94     9.85     4.74     5.96     5.18
1980      2.94     6.59     1.04     0.02     0.98
1981      2.77     8.69     0.84     8.19    21.20
1982      8.62    17.50    11.79     3.75     8.87
1983     14.99    11.05    14.72    10.25    16.04
1984     10.85    21.48    10.28     1.62     6.50
1985     10.50     4.05    10.14     4.75     9.85
1986      9.64    11.90     3.60     7.03     9.74
1987     21.29    20.64    30.80    30.33    14.67
1988      4.20     3.14     2.07    10.15    10.52
1989     20.82    20.19    35.49    23.21     2.35
1990      6.73     6.53     6.74     0.59     1.56
1991      3.90     1.93     0.67     3.49    15.07
1992      6.00     7.75     3.27     2.07     4.29
1993     15.19     7.73    16.81    24.55    16.88
1994     16.83    26.45    19.06    38.32    17.84
1995     12.28    13.80    11.39    15.63     7.16
1996      7.93     3.64     2.98     3.21    18.32
1997     13.53     8.59    11.53     5.38     4.66
1998      3.11     7.93     0.16     2.03    42.39
1999     20.12     8.35    31.81    50.26    21.69
2000     18.94     9.72    32.52    29.93     7.41
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
