Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     NDJ     FMA     MJJ     ASO
        24.28   23.75   25.04   24.35   23.97
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 1960   -0.42   -0.42   -0.66   -0.76   -0.18
 1961   -0.24   -0.21   -0.41   -0.33   -0.02
 1962    0.14    0.07    0.24    0.27   -0.03
 1963    0.19    0.15    0.58    0.35   -0.30
 1964   -0.92   -0.73   -0.97   -0.98   -0.98
 1965   -1.05   -1.12   -1.16   -1.14   -0.79
 1966   -0.45   -0.67   -0.71   -0.42   -0.01
 1967    0.23    0.13    1.01    0.10   -0.32
 1968   -0.42   -0.11   -0.71   -0.44   -0.43
 1969   -0.65   -0.74   -0.90   -0.75   -0.21
 1970   -0.13   -0.43   -0.15    0.01    0.05
 1971    0.30    0.35    0.62    0.35   -0.13
 1972   -0.20    0.00   -0.41   -0.26   -0.13
 1973   -0.18   -0.29   -0.26   -0.37    0.19
 1974   -0.04   -0.15   -0.45    0.06    0.37
 1975    0.21    0.36    0.47    0.35   -0.34
 1976   -0.35   -0.51   -0.55   -0.21   -0.14
 1977    0.00   -0.19   -0.00    0.23   -0.03
 1978   -0.05   -0.32    0.05    0.14   -0.08
 1979   -0.17   -0.18   -0.53    0.02    0.03
 1980   -0.21   -0.11   -0.32   -0.38   -0.03
 1981    0.13    0.15   -0.24    0.32    0.30
 1982    0.41    0.74    0.87    0.27   -0.25
 1983   -0.54   -0.12   -0.47   -0.91   -0.67
 1984   -0.40   -0.42   -0.63   -0.42   -0.12
 1985   -0.25    0.04   -0.34   -0.49   -0.20
 1986   -0.08   -0.30   -0.10    0.08   -0.02
 1987    0.25    0.08    0.72    0.41   -0.19
 1988   -0.15   -0.17   -0.29   -0.09   -0.07
 1989   -0.16   -0.12   -0.33   -0.23    0.03
 1990    0.03   -0.08   -0.09    0.12    0.18
 1991    0.20    0.34    0.22    0.31   -0.08
 1992   -0.44   -0.30   -0.37   -0.60   -0.47
 1993   -0.11   -0.38   -0.26   -0.09    0.28
 1994    0.07    0.36   -0.05    0.10   -0.12
 1995    0.37    0.01    0.47    0.40    0.59
 1996    0.81    0.92    1.58    0.64    0.12
 1997   -0.26   -0.13   -0.28   -0.42   -0.22
 1998    0.20   -0.02   -0.03    0.18    0.68
 1999    0.75    0.87    1.16    0.49    0.48
 2000    0.58    0.40    0.94    0.79    0.21
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
