Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     NDJ     FMA     MJJ     ASO
        166.8   127.4   171.0   159.1   209.6
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 1960   -5.78  -57.40    0.01   -7.68  -10.40
 1961   -9.61   -3.75   -1.54  -17.43  -13.83
 1962   12.98   10.41   12.85   13.55   14.22
 1963    0.58    3.88   29.36  -22.69   -7.25
 1964  -17.02  -14.75  -13.86   -5.30  -29.88
 1965  -18.56  -35.12   17.92  -40.23  -21.79
 1966   10.20  -13.58   23.79   -2.36   23.12
 1967   15.57   10.26   23.73    6.05   19.38
 1968   -3.37    4.90  -15.37  -14.36    9.74
 1969  -13.61  -16.26    3.52  -28.71  -14.52
 1970   19.96  -13.51   -3.58   40.27   44.08
 1971   -3.27   34.26   -9.94   -7.91  -17.11
 1972   10.98   15.66   13.82  -16.91   27.01
 1973   -5.73    5.51   21.57  -15.72  -27.25
 1974  -17.67  -18.68  -19.92  -24.76   -9.83
 1975   -4.85   19.91   13.78  -24.32  -20.32
 1976   33.08   -5.74   11.79   42.77   66.70
 1977   -0.91   13.31   28.12  -29.08  -11.84
 1978  -10.92   12.72  -14.82  -16.44  -17.91
 1979    5.45   32.41   14.17   -6.60   -8.92
 1980  -17.06   -1.51    2.31  -34.91  -28.75
 1981   -5.34  -17.67  -12.15   14.05   -7.01
 1982   13.17    1.92  -14.20    1.20   51.41
 1983   11.17   17.88   14.80   27.04   -7.93
 1984    4.20    4.39    0.06   -9.64   17.98
 1985  -13.13   -9.46  -18.27   -0.26  -20.93
 1986  -11.18  -14.32   -0.11  -16.15  -14.54
 1987   -2.49  -12.14    4.48   -2.83   -2.06
 1988    0.26   -0.50    8.81   16.71  -18.73
 1989   -1.04  -21.02   18.35   -5.69   -1.18
 1990   25.89   -1.53   -6.37   53.63   47.82
 1991   -1.50   -3.45   11.85  -12.58   -2.80
 1992   -3.50   11.57  -15.48  -16.62    7.09
 1993  -15.53  -10.33   -0.81  -13.94  -31.90
 1994   -0.40    5.08    0.08   -6.40    0.42
 1995  -14.10  -22.02  -16.59    9.61  -25.24
 1996   -0.96   -2.27  -23.75   -3.54   20.39
 1997    3.23    7.22   -0.89   25.75  -12.94
 1998  -24.66  -39.52   -0.23  -21.34  -38.08
 1999   26.83   11.85   -6.90   54.60   42.37
 2000   12.87   29.18   14.73    9.84    3.74
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN    1.04   31.16   15.34
 2002    7.29   -4.91   16.93   11.79    3.44
 2003  -13.02    6.45  -14.01   -6.79  -28.78
 2004   -7.32   -2.49   24.91  -21.52  -25.78
 2005    6.08   -2.21   20.91   -1.96    5.12
 2006   15.19   -8.26  -16.22   40.25   36.04
 2007   -0.25    8.37   -3.03   -0.70   -2.87
 2008    1.71   -9.22   -7.55   28.41   -4.37
 2009    7.86   -7.05   -3.77    2.28   30.63
 2010    5.62  -30.42   10.05    1.29   27.21
 2011    2.18  -25.22   -3.52   13.21   15.11
 2012  -12.70    3.83  -27.11   -2.31  -18.90
 2013   17.83   11.25    0.85   14.80   38.00
 2014   -7.62  -22.97  -23.80   10.50    1.16
 2015  -23.88  -23.96  -13.82   -7.24  -44.67
 2016   13.12   20.44   -7.95    0.16   35.71
 2017   -9.04   46.09  -23.34  -23.15  -20.17
 2018  -13.43  -24.20  -14.42   20.20  -31.61
 2019   -4.50   11.29    0.03  -19.00   -6.78
 2020  -16.16  -26.97  -12.01   -3.39  -22.66
 2021   -7.45  -24.92  -20.22   35.70  -19.17
 2022  -11.13  -28.50   -5.39    5.92  -18.20
 2023   -1.18  -14.36  -20.57   -8.90   28.50
 2024   16.05    7.02   11.72   16.25   24.93
 2025   -6.39  -17.59   20.86  -29.54   -4.23
 2026   -8.73  -18.64   -7.55  -14.52    0.73
 2027    1.00   -2.54  -20.07    5.74   16.76
 2028   13.50  -12.73   -5.66   14.52   44.31
 2029    7.99    7.68   33.86  -13.89    3.70
 2030   -8.91  -26.16  -13.07   -6.91    3.46
 2031    3.48  -22.82   -4.02   18.83   13.95
 2032    6.07  -20.05   -0.34    0.03   31.76
 2033  -11.85  -30.87  -12.26  -16.02    3.22
 2034   31.21   14.86    2.74   39.48   58.11
 2035    2.30  -12.07   10.33  -19.18   20.79
 2036   -4.04   15.99    7.56   12.39  -38.16
 2037  -11.89  -29.21   -4.47   -7.84  -10.47
 2038   -8.65  -28.97    1.69    0.47  -11.67
 2039    1.52  -27.52   27.18    8.50   -7.04
 2040   -4.70    0.69  -19.48    4.53   -2.93
 2041   13.06    4.16   -7.57    0.11   45.13
 2042    9.93   -7.51   -6.47   26.13   21.60
 2043  -23.16  -30.11  -14.59  -38.12  -14.57
