Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     NDJ     FMA     MJJ     ASO
      24.0284      24.2477      25.0352      23.6647      23.1658
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
YEAR   Annual     NDJ     FMA     MJJ     ASO
1960    -0.39   -0.25   -0.66   -0.44   -0.04
1961    -0.44   -0.37   -0.53   -0.44   -0.43
1962    -0.32   -0.70   -0.65   -0.42    0.48
1963    -0.12   -0.59   -0.62    0.11    0.61
1964    -0.32   -0.34   -0.26   -0.52   -0.18
1965    -0.63   -0.78   -0.71   -0.55   -0.46
1966    -0.40   -0.42   -0.65   -0.32   -0.21
1967    -0.41   -0.35   -0.32   -0.46   -0.50
1968    -0.47   -0.43   -1.00   -0.54    0.06
1969    -0.32   -0.55   -0.11   -0.31   -0.33
1970    -0.31   -0.52   -0.45   -0.27   -0.01
1971    -0.63   -0.78   -1.13   -0.25   -0.34
1972    -0.69   -0.92   -1.07   -0.47   -0.31
1973    -0.15   -0.14   -0.17   -0.28   -0.02
1974    -0.53   -0.67   -0.73   -0.27   -0.45
1975    -0.60   -0.64   -0.75   -0.49   -0.53
1976    -0.62   -0.45   -0.70   -0.72   -0.61
1977    -0.14   -0.43   -0.15   -0.18    0.18
1978    -0.22   -0.07   -0.20   -0.42   -0.21
1979    -0.25   -0.35   -0.59   -0.07   -0.02
1980    -0.15   -0.10   -0.27   -0.15   -0.08
1981    -0.23   -0.12   -0.21   -0.26   -0.31
1982    -0.27   -0.07   -0.07   -0.58   -0.36
1983     0.13    0.29    0.97   -0.25   -0.47
1984    -0.10   -0.18   -0.01   -0.29    0.10
1985    -0.22   -0.06   -0.27   -0.28   -0.26
1986    -0.03   -0.05   -0.04    0.11   -0.14
1987     0.38    0.14    0.43    0.67    0.28
1988     0.44    0.62    0.39    0.36    0.39
1989     0.25    0.03    0.28    0.32    0.36
1990     0.28    0.57    0.65   -0.06   -0.04
1991    -0.12    0.08   -0.23   -0.02   -0.32
1992     0.06   -0.15    0.33    0.06   -0.02
1993     0.43    0.38    0.38    0.52    0.45
1994     0.51    0.55    0.68    0.34    0.46
1995     0.70    0.69    0.55    0.82    0.73
1996     0.31    0.39    0.27    0.30    0.27
1997     0.24    0.39    0.19    0.02    0.37
1998     1.10    0.95    1.54    1.27    0.66
1999     0.44    0.59    0.38    0.53    0.27
2000     0.34    0.32    0.37    0.42    0.24
2001     0.40    0.35    0.46    0.41    0.38
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
