Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -45.28     6.77     7.95    -1.29    22.61
1961     -1.49     6.72     4.79    -0.33     0.88
1962      2.52     0.75     3.94     7.03     2.04
1963     -1.28    -2.48    10.73    -3.54     1.36
1964      1.99    -2.72     1.12     3.73    12.39
1965      2.57    -0.14     4.77    -1.44     5.21
1966      1.55     0.08    11.80     2.30     4.68
1967     -2.70     0.80    -4.39    -5.46     7.50
1968      3.98    14.14     8.08     2.60     1.05
1969      0.69     3.67     1.32    -2.01    -4.54
1970      1.02     7.63    -2.77     0.29    -2.87
1971      2.68    -8.36     1.55    -0.56    -3.40
1972     -2.23    -0.72    13.87    -1.00    -2.83
1973      1.69     9.24     5.83    -5.15    -6.83
1974     -0.08    11.00     3.01    -2.58    -5.39
1975      2.62    10.03    11.21     3.00    12.10
1976      4.56    -1.63    -3.58     4.92    10.75
1977     -0.18     2.00    14.95    -0.91   -17.34
1978      0.88     4.92    -5.53     3.15     8.17
1979      2.79    -3.42   -13.62     5.93     7.69
1980      1.27     9.77     2.88     2.49    10.09
1981     -2.05    13.32    -5.14    -3.06    -4.42
1982      3.53     1.13     8.07     5.68    13.44
1983     -3.33    20.53     4.07    -7.69    11.50
1984     -0.89     6.79    -9.35     0.24    -0.19
1985      4.17     3.60     7.66     2.96    13.55
1986      1.54    -6.58     6.33    -3.10     1.89
1987     -0.01    15.76    13.39    -0.00    11.98
1988      0.26    19.22     1.38    -1.44     3.62
1989      3.60    -2.25     5.42    -1.52    -2.58
1990      2.76   -11.10     9.38     1.98    -2.10
1991      0.72    -2.30     3.70     3.05    11.24
1992      1.22     6.19     2.88     2.68     5.38
1993      0.55     5.20     4.73     2.65    -4.30
1994     -0.71     5.42    -0.47    -0.67     1.70
1995      3.16     1.90    16.76     4.38     0.68
1996     -5.30     5.68    -0.81    -1.46    22.46
1997      2.63     0.55     2.21    -1.49     3.90
1998      1.86    -8.75    -5.68     5.14    -3.45
1999     -0.06   -18.56    -0.32    -4.81     0.41
2000     -0.59    18.43    -6.77     3.79    -3.19
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.57    -4.48     9.42     1.42     5.23
2047      1.35     2.91    -9.77    -2.75    -5.11
2048      1.96    -0.58    -8.25     6.77    -6.09
2049      5.50    -5.28     4.75     8.39    10.38
2050      5.90   -16.24     3.44     4.49    16.00
2051      6.88     1.57     8.54     6.38     9.94
2052     -4.77     5.08    -1.82    -2.04    -1.98
2053      1.17     2.00     1.75     7.39     2.35
2054     -2.21     0.85     2.56    -0.58     0.12
2055     -0.18   -13.45     6.46     0.59    -6.17
2056      2.29    -1.86     2.54     5.73    16.83
2057      3.83    -3.11    12.38     6.61    -1.06
2058      1.47   -10.47    -8.03     7.88     7.82
2059     -0.55   -17.75     5.13     8.21    15.03
2060      4.96    -6.95   -17.31    10.94     8.42
2061      5.23     0.24     1.19     3.94     2.98
2062      3.86    -5.75     6.86    -1.54    14.17
2063      1.58    -8.68     4.61    -1.01    11.96
2064      1.92   -19.30   -23.87    -0.33    11.81
2065      2.97    -8.42     6.88     5.39    -3.91
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      7.59   -13.10    -0.86     4.21    13.07
2082      3.18     3.24    -5.61     6.01     6.93
2083      4.95    -0.40    -8.36     8.89     1.66
2084      1.90   -12.00    -2.35    -3.15     6.34
2085      3.26     6.66    11.22     4.04    17.85
2086      2.93     7.27    14.21     2.23    -1.06
2087      3.02   -21.75   -15.28    14.83    -4.00
2088      3.20    -4.82    10.90    -4.30    14.34
2089      5.87   -11.97    -6.61    13.39    14.25
2090      4.92    -4.32   -12.06     4.19    17.11
2091      4.60     2.69    -0.07    10.56    10.09
2092     -0.22     3.27     5.11    -2.86    13.71
2093      1.55     8.74    -2.61    -6.81    13.11
2094     -2.02    -0.94   -22.04    -1.27     7.42
2095      2.98   -14.64   -12.50     2.08     9.33
2096      2.32   -14.17     1.36     0.09    19.84
2097      8.75     3.21    -1.03    13.25    15.96
2098      0.76     4.17   -13.54    12.93     6.31
2099      0.12    -9.88    -6.77    -4.14     3.68
2100      6.63     6.49   -28.52    15.53    19.68
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      5.12    -5.18     5.88    14.64     4.52
2047     -0.16     5.77    12.28    -1.64     9.08
2048      1.78     7.31     0.22     3.14    10.25
2049      2.83    -1.61     6.19     2.46     9.96
2050      1.95     6.08    -2.37    -6.36    16.08
2051      7.99    -4.34     0.03     5.99     2.32
2052      0.72   -12.93     2.92     0.82     4.19
2053      2.55     1.14     8.79     8.23    13.47
2054      7.31    15.19     6.56     7.88     7.92
2055      0.19     0.47   -19.66    10.31    12.02
2056      4.53     3.85    11.87    -4.13    14.23
2057      0.50    -1.33    -1.99    -3.88     9.75
2058      0.98   -10.21    -2.81    -3.94     9.68
2059      2.51    -1.54     8.86     1.32     4.03
2060      1.46   -18.72    -7.37     3.55    21.19
2061     -3.63   -10.52   -12.86     8.25     8.98
2062      3.86    -3.07    -1.06     0.98     2.73
2063      4.56    -8.18     3.68     1.10    13.40
2064     -0.64    -5.49     7.07     6.85     1.35
2065      1.69    -3.87   -23.61     5.83     4.33
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -3.14     2.85     8.33    -0.73     6.37
2082      4.77    -6.80     4.08    14.04     4.89
2083      5.08    -1.57     2.08     3.77     9.51
2084     -1.65    -6.93    -2.20     3.50     8.00
2085      4.84    -6.34     6.15     3.24     6.62
2086      5.77   -11.79    -6.47    11.62    15.87
2087      1.94    -9.14     1.02     1.66     8.55
2088     -1.40     9.24   -18.03     1.64     2.62
2089      3.02    -1.91     3.29    -0.84    14.53
2090      4.16    -3.50    -2.63     6.88    18.35
2091      5.74    -5.03   -22.50    10.80    17.33
2092      3.06    -5.82    11.33     6.31     9.75
2093      5.51    -3.12   -10.95     3.37    11.47
2094     -0.06   -15.21     1.91     4.53    -3.59
2095      0.67    -1.02    -4.24     2.89    18.15
2096      1.26   -18.19    -6.38    -0.52    14.16
2097      4.79   -23.56    -8.34     9.07    16.54
2098      1.68    -8.53   -10.16    -5.54    11.06
2099      4.74    -2.10     2.55    10.25     8.03
2100      4.89     4.93    -3.32    15.45    12.44
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.40     3.02    13.10     2.40     9.81
2047      0.21    -0.87    -1.20    -3.52    12.07
2048      2.20     7.35     1.33     4.58     6.62
2049      1.99    -1.04     2.64    -1.82    10.69
2050      7.87     7.36     4.11     1.82    10.60
2051      2.64    -1.01     7.62    -0.32     7.49
2052      1.93    -4.31    -1.00    -4.86     4.09
2053      0.43     2.61    13.77    -4.26    12.88
2054      2.71   -13.29     1.25     3.91     4.50
2055     -0.86     4.26     6.91     1.05    11.62
2056     -1.76     2.86    -2.06    -0.24     5.70
2057      3.82   -14.74    -2.83     7.74    -1.65
2058      4.38    -1.88     5.82    -1.50    13.52
2059     -0.60     0.52     1.89    -0.54     1.33
2060      3.81    -4.20     7.29    -2.12    11.70
2061      1.89     2.00   -12.49     9.62     6.09
2062      5.90     4.29    -1.74     4.93    13.02
2063      1.11    -6.10    -1.71     1.55     5.76
2064      5.55    -4.67    -1.14     1.20    13.29
2065      6.81    -3.06    10.41     2.19    -1.08
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      2.12   -19.65    -6.47    -0.10    11.22
2082      1.08    -3.19     7.17    -1.77    12.07
2083      5.43     0.16    -4.67     5.39   -14.81
2084      2.51   -20.31   -17.63     5.71     6.18
2085      0.68     1.35     5.45    -3.93     2.39
2086      2.36     2.68   -15.03     4.40     7.15
2087      2.70     1.69     0.25     0.72     9.72
2088      1.40   -13.31    -7.81     1.50    -5.97
2089      6.47    -9.15     9.12     4.85    13.27
2090      1.48    15.40   -10.56    -2.91     1.74
2091     -1.39    -7.86   -15.09     3.36    -0.20
2092      1.25   -16.75    -6.43     3.13     9.40
2093      4.90    10.73    -6.16     5.38     7.07
2094     -3.41    -8.71    -0.27    -0.64    14.37
2095      1.86   -10.39   -17.57    -1.08     5.54
2096      0.49    -3.35     1.46    -0.18     3.40
2097      3.80    -2.85    15.49     5.03     4.63
2098      2.27    -5.55     0.46    -0.92    -0.52
2099     -0.19   -10.03     5.34    -8.20    11.51
2100      0.50     9.57    -8.90    -3.07     3.16
