Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         40.07    64.55    48.81    13.50    47.80
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -17.09    -7.10   -16.08    -1.29   -32.43
1961     -5.54    15.43   -19.38    -0.33    12.28
1962     -3.47    12.74    26.37    -1.99   -35.90
1963     -8.80    -2.48    23.36    -4.32   -23.80
1964     -8.83    -2.72     1.12    -6.30    22.20
1965      2.57     1.84     6.33    -1.44   -20.73
1966    -21.48    -6.19    11.80    -7.32   -30.67
1967     -6.66     2.69    10.06    -5.46   -15.09
1968      2.90    21.18   -10.98    -1.71    -7.11
1969     -5.14     6.55    26.47    -2.01    13.70
1970      7.29     3.13   -20.78     7.10   -39.10
1971     -0.37    -0.77   -14.23    -1.48   -26.68
1972      3.13   -19.03    -8.01    -1.00   -10.03
1973      2.88   -15.97    23.24     0.39   -35.53
1974     -7.86    11.00   -34.40    -2.58     5.94
1975      2.33    20.82    -4.10     2.53    25.73
1976      5.23   -41.62   -27.77     6.74    11.77
1977      8.30     9.09    38.80     8.50   -17.34
1978      7.49     4.92   -25.43     2.46    25.14
1979     -5.46   -16.80   -15.17    -3.17    -9.36
1980      6.40    24.53    18.65     1.56    24.62
1981     -3.73   -14.14   -36.50    -1.09   -29.67
1982      4.27   -33.50     8.07     3.55   -36.34
1983    -14.63    22.63    13.81    -8.56   -42.79
1984     -3.72    18.73     5.02     0.24   -21.42
1985     -8.34     8.67    10.82    -6.87   -22.99
1986     -2.71    -4.05    18.08    -3.09    16.35
1987     -0.01     8.35   -28.02    -0.00    22.12
1988      2.82    12.26     5.58    -1.44    36.29
1989      7.28     5.42     0.77    -2.62    39.10
1990      7.99   -14.69    29.44     5.83    28.31
1991     -8.70     2.56    21.80    -5.54   -32.58
1992     -7.77     6.19    -3.64    -3.36    13.17
1993      3.51    -4.43   -33.61     3.59    34.53
1994      4.15     5.43     2.27     2.54    30.75
1995      2.52    -9.15    27.28     4.38   -21.12
1996     -5.80     9.04    15.41    -2.43    22.46
1997     -2.26     1.55    21.34    -1.49    18.35
1998     -7.17   -14.83   -27.86    -6.46   -10.97
1999      2.93    14.66    19.15     1.78     1.30
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
