Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          5.86     2.29     1.99     2.05     3.51
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      0.30     5.41    -0.58     1.46    -1.25
1962     -0.14     0.73    -0.20    -0.20    -2.03
1963      1.43     4.62    -0.49     0.42    -0.72
1964      6.84    -0.49    -0.10    -0.18     3.10
1965      3.81     6.71    -0.90    -0.54     5.96
1966     -2.23     1.40    -1.25    -0.27    -1.58
1967     -2.94    -0.76    -1.14     0.52    -2.51
1968     -2.26    -2.12     0.35     0.32    -1.07
1969     -1.21     0.32    -1.01     0.46    -3.03
1970      1.00     0.33    -1.16    -0.36     3.32
1971     -1.02     1.53     0.11    -0.70    -2.45
1972      1.19    -1.61     0.98     2.67     2.25
1973      0.13    -0.93    -0.51    -0.75     2.32
1974      2.93     5.92     0.76     1.30    -2.25
1975      3.62     0.01     2.33    -0.59     3.12
1976     -2.82    -2.25    -0.67    -0.61    -1.86
1977      0.02     0.12     1.94    -0.27    -2.91
1978      0.86     2.61    -1.21    -0.33     0.34
1979     -2.46     2.18    -0.65     0.81    -2.30
1980     -1.71    -1.53    -1.59     0.17    -1.75
1981      0.51     0.23    -1.26     0.33    -1.51
1982     -2.80     3.54     0.26    -0.00    -2.73
1983     -1.59    -1.81     0.96    -1.12    -0.58
1984      1.19     0.18    -0.93     0.51     1.51
1985      6.49    -2.02    -0.61    -0.03     8.81
1986      2.37    -2.13    -0.89    -1.01     4.51
1987      6.61     0.23     0.41     2.04     8.87
1988     -1.63    -0.13    -0.48     0.81    -1.55
1989     -2.54    -0.91    -1.10    -0.40    -0.46
1990      0.73    -1.57     3.04    -1.13    -1.99
1991     -3.33    -0.01    -0.14    -0.07    -3.36
1992     -2.65    -2.16     0.58     0.68    -3.22
1993      0.67    -0.95    -0.56    -0.65    -1.66
1994     -1.74     3.87     0.39     0.22    -0.63
1995      2.45    -0.94     5.34    -1.15    -1.63
1996     -2.25    -0.50    -1.13    -0.56    -0.21
1997     -0.02    -1.32    -1.29     0.52    -1.92
1998     -1.69     1.98    -1.51     0.18     0.16
1999     -2.51    -1.96    -1.41    -0.52    -0.23
2000     -2.93    -2.12     0.26    -0.95    -2.51
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      5.43    -1.92     4.67     0.27     6.39
2047     -2.28    -2.12    -0.94     1.53    -2.84
2048     -2.68    -1.58    -0.28     0.04    -1.42
2049     -1.99    -1.94    -1.20    -0.27    -0.18
2050      4.66    -1.53    -1.55    -0.61     6.96
2051     16.55    -0.60    -0.59    -0.24    -0.78
2052     -2.28    19.85     1.35     0.29    -2.84
2053      5.59     7.47     2.49    -1.10    -2.58
2054     12.79     0.89     1.17     0.53    15.14
2055     -2.36    -0.81    -0.54     0.56    -1.74
2056     -2.32    -1.22    -0.75     1.18    -1.78
2057      0.86    -2.00    -0.63    -0.13     3.04
2058     -1.37    -2.10    -1.15     0.42     0.86
2059     -1.42    -2.15    -1.36     0.49    -0.95
2060      0.78     0.08    -0.50    -0.36     2.84
2061     -0.33    -1.96     0.76     0.27     0.72
2062     -2.39     0.45    -0.17    -0.65    -1.57
2063      0.24    -1.96     0.65     0.33     0.92
2064      0.91    -2.00    -0.90     3.13     0.23
2065     -2.79    -1.47    -1.44     0.81    -2.43
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.66     3.37    -0.34    -0.31     1.38
2082      0.23    -1.82     0.16     1.87     1.56
2083      2.36    -1.81     3.27     2.73    -1.98
2084      7.59    -0.93    10.81    -0.67     3.11
2085     -2.17    -1.86    -1.48    -0.40    -2.83
2086     -0.31     1.65     1.49    -0.82     0.44
2087     -0.99    -1.94    -1.12    -0.09    -1.62
2088     -2.91     1.69    -0.47    -0.29    -1.58
2089      1.31    -1.87    -0.38     1.16     0.56
2090     -1.49     3.26    -0.13     0.09    -1.96
2091      5.45     0.78    -1.40     1.11     0.86
2092     -3.23     7.99    -0.52     0.17    -3.06
2093      3.64    -1.21    -0.66    -0.21     3.32
2094      1.02     5.21     2.27    -0.45    -1.09
2095     -1.80    -1.84    -1.40     1.26    -0.82
2096      0.94    -1.39    -1.24    -0.15     3.29
2097      4.18    -1.66     2.63     0.92    -0.99
2098     -0.29     4.29     2.85     0.41    -2.83
2099     -2.71    -2.13    -0.15    -0.20    -1.57
2100     -2.31    -1.67    -0.08     0.78    -3.02
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
