Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         33.87    10.62    20.23    24.13    30.63
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      2.50    -2.90    -1.93    -1.83     3.40
1962      0.19     3.49     3.58     4.34    -0.57
1963      4.04    -2.76    -1.29     2.89     3.93
1964      1.00    -4.95    -3.20    -0.59     3.00
1965      1.86     3.61    -8.34     1.53     2.48
1966     -0.35     1.63    -0.24    -0.98     2.01
1967     -1.57    -5.35     1.91    -2.84    -0.49
1968     -2.37     2.54    -1.10     1.45    -0.73
1969     -5.22    -1.77    -6.51     2.04    -4.16
1970     -1.79    -5.35    -3.35    -2.58    -0.84
1971     -0.91    -5.10    -5.58    -0.64     0.63
1972      2.75    -1.93     3.05     3.11     3.85
1973     -2.00    -5.05    -6.49    -0.75    -1.16
1974      3.32    -5.28     1.04     3.47     5.02
1975      0.50     3.67     4.57    -1.87     0.27
1976      4.89    -1.17     1.58     4.53     3.91
1977      1.21     0.89     2.15     8.03     0.33
1978     -2.48    -2.38     1.84    -2.32    -3.65
1979     -0.14    -0.06    -4.52    -2.49     1.41
1980     -2.06     0.94    -0.93     3.78    -1.94
1981      0.45     8.94    -8.81    -4.35     3.07
1982      1.45     1.08     3.78    -1.81     2.98
1983     -1.04     3.84     0.18     5.87    -5.89
1984      0.25     0.52     8.41    -9.61    -1.28
1985      2.19     3.62     3.03    -0.05     4.14
1986      2.45    -3.24    -2.29    -3.66     3.67
1987      3.25     0.23    -3.81     5.77     3.57
1988      2.58    -4.45    -2.05     4.19     0.15
1989      3.70     5.52     0.67     5.33     0.43
1990     -6.37     2.44    -3.56    -0.40    -3.95
1991      1.24     4.42     2.59     2.05    -0.83
1992     -3.75    -0.11    -1.18    -1.79    -3.76
1993      3.36     7.57     6.83    -5.60     2.65
1994     -4.24     2.72    -9.27    -8.47    -1.23
1995      2.39    -0.62     8.83     3.11     0.78
1996     -3.57    -4.56    -3.99    -1.65    -2.99
1997     -5.32    -2.94     5.16    -1.57    -6.62
1998     -1.30    -4.44     0.61     2.40    -2.42
1999     -1.02     0.30     1.52    -2.04    -0.29
2000     -3.88    -0.92     5.09     0.38    -9.01
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
