Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.61     2.90     5.09     6.04     4.99
1962      9.64     4.82     5.44     4.86     4.85
1963      8.90     5.87     7.36     4.18     2.74
1964      9.55     7.39     4.72     2.68     1.92
1965      9.35     6.38     6.21     3.53     7.87
1966      9.42     7.99     5.03     4.70     4.18
1967      7.06     3.30     5.53     2.85     3.28
1968      8.03     6.96     6.59     5.02     4.45
1969      7.16     7.41     3.88     4.32     6.40
1970      6.78     4.78     3.58     2.81     4.80
1971     10.36     5.57     4.17     3.41     6.71
1972      8.12     2.47     3.81     4.37     5.87
1973      9.28     5.98     9.06     5.15     5.15
1974      8.07     3.65     3.35     5.10     4.13
1975      5.26     6.15     4.22     2.40     4.24
1976      5.60     2.23     5.73     2.53     4.97
1977      8.09     5.03     6.98     4.12     3.82
1978      8.62     2.87     5.07     3.59     3.45
1979      9.52     6.79     4.58     7.94     3.11
1980      6.25     4.35     0.91     3.55     1.17
1981      7.11     3.19     3.88     2.12     5.47
1982      7.42     3.82     3.95     5.44     7.25
1983      7.82     7.67     5.58     1.07     2.07
1984      5.74     3.61     3.56     2.51     4.93
1985      7.95     2.31     5.33     2.62     3.84
1986      4.95     2.75     6.99     5.06     3.49
1987      3.86     1.42     2.71     0.71     3.28
1988      3.47     0.39     2.67     0.44     2.61
1989      5.85     2.22     2.78     2.57     1.89
1990      6.45     2.43     4.03     1.42     4.36
1991      4.64     2.07     1.77     0.67     5.14
1992      4.10     1.98     4.66     1.61     3.68
1993      3.60     0.79     4.13     2.20     0.22
1994      4.96     1.04     1.78     2.09     2.85
1995      5.10     2.84     5.24     2.72     1.63
1996      5.13     2.33     1.47     1.05     4.43
1997      5.67     4.28     2.09     1.98     0.71
1998      1.16     0.03     1.42     3.07     1.30
1999      4.33     2.01     2.53     1.26     1.61
2000      3.67     0.55     1.64     0.54     1.77
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.82     0.00     0.03     0.01     0.11
2047      0.67     0.15     0.82     0.00     0.07
2048      1.27     0.13     0.13     0.27     0.18
2049      2.24     0.29     0.45     0.08     0.17
2050      0.47     0.21     0.19     0.00     0.08
2051      1.12     0.79     0.08     0.00     0.01
2052      0.76     0.09     0.27     0.00     0.02
2053      0.54     0.03     0.12     0.07     0.21
2054      0.76     0.02     0.07     0.00     0.34
2055      0.44     0.00     0.00     0.00     0.00
2056      0.10     0.00     0.22     0.00     0.00
2057      0.02     0.00     0.00     0.00     0.00
2058      0.14     0.02     0.01     0.00     0.00
2059      0.11     0.00     0.00     0.00     0.00
2060      0.11     0.00     0.02     0.00     0.00
2061      0.42     0.06     0.00     0.00     0.03
2062      0.12     0.00     0.00     0.00     0.00
2063      0.19     0.02     0.00     0.00     0.00
2064      0.20     0.00     0.00     0.04     0.14
2065      0.04     0.00     0.06     0.00     0.02
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
