Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.98     9.97    10.03     9.97     9.99
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.38    12.76    10.32    11.57     5.59
1962     10.46    11.14    34.00    20.31     6.53
1963     12.42     5.95    10.05    10.79    17.59
1964     11.15     9.14     4.24     6.49    13.89
1965     13.46    18.84    12.42     5.42     8.31
1966     15.42    13.67     8.96     4.40    22.49
1967     20.27    28.05    14.10     8.71    22.74
1968     12.73    20.26    11.90    12.53    12.77
1969     13.56    22.30     6.10     6.89     6.12
1970      9.83    13.25    17.33     8.09     3.13
1971     10.31     6.02     5.47     6.12    18.71
1972     20.97    24.02    10.40     9.78    29.42
1973     12.53    13.78    12.42    15.06     7.04
1974     12.41     4.24     8.84    13.07    24.01
1975     14.20    15.69    13.40     7.60    18.45
1976     13.61    26.18    17.75    16.89     5.86
1977      8.32     3.97     7.39    15.61    12.55
1978     10.13    14.71    20.67    14.88     8.38
1979     11.06    10.06    10.64     6.61    12.55
1980     10.05     9.68     5.37    13.54     7.46
1981      9.06    11.65     7.37     3.05     5.10
1982     12.41     8.12    12.18     6.17    17.60
1983      6.79     4.43    12.13    15.49     6.24
1984     14.08    14.12    26.40     4.14    22.03
1985     10.38    11.51    10.34    12.26     9.63
1986     11.16     9.21    10.84     9.51    15.12
1987     13.35    14.67    11.47    30.64     9.66
1988      9.66    10.05    10.37     7.61     2.31
1989      9.89     7.76     6.57     2.82    12.41
1990      6.86     3.38     5.79    16.66     8.75
1991      5.75     4.58     5.06     4.67     6.41
1992      8.51     4.36     5.88     8.21     7.59
1993      5.37     7.63    11.46     8.20     1.60
1994     11.97    14.15     3.01     3.65     9.70
1995      7.89    10.54    17.03    16.17     2.43
1996      6.82     5.00     1.33     8.82     5.84
1997      6.74     6.99     8.22     1.59     0.89
1998      1.47     0.03     3.12    10.32     1.70
1999      7.92     9.41     2.60     1.89     7.14
2000      3.67     3.98     4.12     9.15     1.76
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.47     1.59     2.10     0.98     0.44
2047      1.37     1.18     0.89     4.21     0.66
2048      3.35     2.27     1.73     8.17     2.92
2049      2.93     1.09     2.04     1.14     0.07
2050      2.39     0.65     5.68     2.74     3.50
2051      1.90     0.03     3.63     8.34     1.03
2052      2.23     2.34     1.99     4.16     1.29
2053      2.20     0.65     2.50     6.31     0.74
2054      1.98     0.30     1.96     2.32     3.42
2055      1.20     0.04     1.48     1.01     2.06
2056      1.85     3.06     4.05     7.62     1.19
2057      1.07     0.82     1.14     3.23     0.59
2058      2.90     3.04     1.25     0.37     0.00
2059      0.84     0.03     1.58     1.75     0.96
2060      1.96     0.23     3.16     4.41     0.73
2061      1.43     0.00     2.21     1.12     0.13
2062      0.53     0.00     0.91     0.08     0.08
2063      1.27     0.32     1.93     0.14     0.24
2064      0.60     0.08     1.48     0.31     0.18
2065      0.85     0.00     0.31     1.77     2.17
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
