Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99     9.97     9.99    10.01     9.97
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.21     4.79     7.40     1.82     8.02
1962      4.18     3.07     4.52     1.30     6.64
1963     12.37     8.13     8.92    18.03     9.86
1964      5.19     6.76     5.53     4.82    13.03
1965      6.52     5.46     4.88     5.86     8.66
1966      8.43     9.14     1.27    12.84     9.72
1967      6.18    11.78     9.68     2.62     1.91
1968      8.38     8.85     6.91    10.57    11.43
1969     11.33     4.18    11.61    16.05     3.79
1970      9.50    11.25    13.83     7.40     8.17
1971      8.01    10.93     7.23     4.80     4.69
1972      7.66     6.01     7.02     6.61     5.57
1973     12.29    17.62    13.99    11.53    10.43
1974      8.32     3.77     9.38     2.41     3.38
1975      7.10    12.60     5.68     6.44    13.22
1976     10.34    10.65     9.60    10.05     6.51
1977      4.26     5.95     3.43     1.03     1.89
1978     10.62    11.03    10.27     8.77     6.75
1979      9.07     5.38    16.72     2.47    12.55
1980      4.96     8.21     6.05     1.19    11.04
1981      7.97     6.65     9.48     7.55    12.09
1982      7.53    12.17     2.53     8.42    10.42
1983      7.98     9.37     9.61     5.49    16.57
1984      5.55     9.68    10.39     2.68    11.26
1985     11.39    10.29    11.72     8.15    11.47
1986     12.58    10.67    10.01    18.17     4.69
1987     10.31     3.15     6.82    22.05    10.49
1988     10.52     7.98     8.44    10.38     7.88
1989     11.84     9.40    10.21    18.63    10.98
1990     10.00     3.22    13.11     4.11     9.35
1991     10.56    17.41    10.34     7.37     9.44
1992      7.28     9.64     2.08     8.72     5.54
1993     16.14     6.89    10.39    40.04    12.57
1994     14.26    14.69    14.08    15.69    14.59
1995     13.66    11.25    19.21    11.15    11.60
1996     15.78    12.13    20.20     9.24    16.48
1997     12.28    12.35    15.37     8.43    13.56
1998     11.68    11.58     7.47    12.47     9.55
1999     10.28    17.32     5.11    18.72    16.29
2000     15.83     4.26    13.70    23.27    12.02
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     30.95    20.37    41.21    63.57    32.04
2047     26.02    22.94    34.38    50.18    20.96
2048     20.21    15.93    25.12    37.10    25.82
2049     25.59    26.31    28.15    48.30    24.51
2050     27.97    23.91    23.26    71.54    17.26
2051     25.48    25.03    16.39    68.34    33.12
2052     29.17    27.13    34.48    66.01    32.22
2053     28.39    19.86    37.43    59.92    26.39
2054     26.91    27.52    34.50    55.60    31.65
2055     27.89    26.26    29.77    68.27    29.90
2056     32.72    25.50    39.19    74.13    33.33
2057     30.99    33.74    23.77    82.97    26.49
2058     23.40    27.31    39.44    27.07    25.43
2059     28.86    20.39    36.32    66.25    25.11
2060     27.19    35.16    24.73    57.59    30.62
2061     36.72    24.68    39.62    87.49    38.36
2062     36.38    31.24    50.54    76.21    22.76
2063     33.57    30.56    32.66    76.75    36.22
2064     37.78    40.89    60.30    76.50    38.90
2065     28.90    34.19    28.81    64.61    28.48
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     39.17    36.70    50.81    86.46    40.69
2082     37.24    43.41    45.91    76.87    44.22
2083     43.46    44.82    59.37    89.54    45.20
2084     39.41    52.72    51.45    82.16    37.33
2085     46.51    43.51    69.04    91.91    44.95
2086     43.74    49.09    60.23    86.43    40.90
2087     44.55    44.52    61.63    90.59    40.93
2088     41.43    49.04    54.28    87.35    44.53
2089     42.89    49.92    57.68    86.17    46.76
2090     44.95    51.73    55.66    96.32    40.38
2091     43.77    53.87    56.62    89.42    43.37
2092     43.30    48.68    54.87    93.56    47.12
2093     40.81    55.24    44.05    92.19    44.13
2094     49.85    54.48    69.96    94.42    58.50
2095     45.52    60.52    57.70    91.55    37.36
2096     46.98    55.42    66.44    86.84    54.33
2097     41.21    59.41    55.25    89.86    37.42
2098     42.36    50.81    56.04    82.50    40.72
2099     46.82    58.39    56.83    93.23    59.05
2100     47.91    53.32    70.70    92.15    49.94
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     16.78    17.31    25.56    17.35    15.09
2047     23.42    13.99    25.11    56.32    12.36
2048     28.67    13.94    35.55    63.64    23.80
2049     16.02    13.25     6.67    32.18    27.61
2050     26.94    16.57    27.85    62.48     8.61
2051     28.89    24.07    36.21    62.82    20.47
2052     23.80    17.11    28.30    43.47    25.26
2053     24.77    26.61    21.47    63.20    12.97
2054     29.49    26.78    30.82    73.04    30.82
2055     27.63    29.40    36.89    53.73    22.45
2056     28.33    21.87    34.25    59.35    22.02
2057     27.54    23.69    28.64    64.86    30.40
2058     22.97    20.33    26.39    48.74    23.07
2059     32.39    30.61    45.55    65.57    29.95
2060     28.28    29.52    37.39    57.86    20.83
2061     28.98    17.18    39.16    60.52    24.09
2062     31.69    27.55    33.33    74.47    28.84
2063     30.20    26.96    35.16    73.72    28.79
2064     25.83    25.63    28.43    57.00    27.04
2065     32.40    20.81    39.02    74.04    35.38
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     34.74    37.23    52.41    74.03    29.58
2082     23.47    35.40    18.54    60.78    25.19
2083     32.62    28.83    31.05    76.12    33.76
2084     37.11    27.01    56.57    78.51    31.86
2085     37.17    33.01    47.34    86.28    32.90
2086     33.77    41.11    37.48    78.56    32.53
2087     30.67    38.87    41.56    63.65    28.31
2088     33.70    29.62    54.62    64.81    32.95
2089     34.65    27.69    42.72    84.57    16.88
2090     34.15    42.60    33.89    87.52    37.73
2091     38.71    35.51    54.89    79.43    40.39
2092     38.38    41.92    54.80    81.47    30.09
2093     36.80    33.65    44.76    88.68    27.67
2094     32.36    36.03    50.09    70.14    34.70
2095     36.75    32.09    52.20    78.26    40.88
2096     39.96    38.73    58.18    82.33    28.58
2097     37.80    32.61    42.88    90.47    32.49
2098     40.36    40.66    48.27    90.66    26.67
2099     39.29    42.49    54.67    82.38    42.29
2100     34.08    48.29    51.76    63.72    41.21
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
