Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97     9.99     9.96     9.96     9.98
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.00    15.89     9.30     4.85    14.39
1962     10.22    10.30     8.73     9.89     6.19
1963      5.35     8.50     2.77     3.74     9.10
1964      3.77     8.27     2.95     3.12     6.30
1965      2.38     7.51     2.40     0.91     1.21
1966      5.22     9.38     3.98     4.38     4.83
1967     10.85    17.18     2.60    15.82    13.63
1968      7.28     6.38     1.81     9.18    10.54
1969      6.99     1.79     0.69     8.34    10.37
1970      4.52     2.78     4.54     2.61    12.75
1971      7.14     6.45     6.73     6.28     8.06
1972      5.06     4.12     7.25     2.07     9.56
1973      7.80     5.57     1.73     9.25    10.64
1974     16.63     8.56    10.45    32.77    21.69
1975      7.76    16.32     9.60     3.30     7.86
1976      7.25     8.91     5.71     6.50    18.18
1977     10.28    18.59    17.49     6.36     6.57
1978      9.67    10.69    14.72     4.26    14.47
1979      8.42    15.45     9.47     4.65     6.67
1980      9.59     5.92     3.86    13.32    13.31
1981     16.46    12.38    16.94    19.79    16.42
1982      5.17     5.73     6.39     1.99     2.15
1983      3.72     5.27     6.41     0.49     3.36
1984      7.39     8.84     1.93     9.67    10.50
1985     11.82    12.77    18.00     6.03     0.51
1986      6.37    18.48     4.59     2.42     8.28
1987     11.32    13.33    18.43     6.69     4.39
1988     12.67    17.27    15.95    11.86     2.64
1989     12.42    11.53    14.42    12.38    10.78
1990     10.30    17.60     5.21    14.16    11.35
1991     14.05     8.55    11.65    18.96     5.48
1992      5.38     4.95     3.62     7.57     6.53
1993     11.19    11.38     7.35    10.31    10.02
1994     13.48     5.48    11.49    17.37     9.79
1995     11.14     3.87     9.37    16.30    15.46
1996     11.85     8.95    13.49     8.78     6.05
1997     12.24     9.54     7.31    15.54    14.87
1998     12.75    15.39    20.04    10.70     9.81
1999     15.39     5.19    14.53    16.52    21.24
2000     19.02    13.92    18.02    25.53     3.26
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
