Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97    10.01     9.97    10.01    10.01
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      3.92     5.29     3.99     1.60    10.38
1962      8.68    12.30     5.11    10.46    11.79
1963      9.09     6.14    10.23     6.46     5.79
1964      8.02     9.41     6.73     6.24    10.20
1965      3.77    10.12     4.33     2.02     1.82
1966      7.32    10.01     5.71     7.84     7.17
1967     13.47     8.67    13.28    11.19    13.06
1968      4.44    10.02     5.50     1.67     6.91
1969      1.76     1.62     2.07     0.59     3.76
1970      5.94     6.25     3.93     4.59     1.11
1971      7.05     7.20     5.50     5.88     7.68
1972     12.04    12.08    14.95     9.31    11.15
1973      5.43     8.71     3.63     3.52     2.29
1974      7.25     4.59     3.42     9.45    18.24
1975      7.26    12.82     7.79     4.69     3.50
1976      4.36     3.58     5.01     4.07     6.61
1977      8.91    13.14     7.07     6.23     6.23
1978      6.20     1.84     3.25     5.36     8.14
1979     12.36     3.67    17.75    13.09    11.55
1980      6.41     8.00     6.61     5.08     2.33
1981     11.20     8.03    11.40    10.48     9.84
1982      7.87     1.84    12.57     3.03    14.66
1983      6.11    10.23     6.68     4.19     8.91
1984      5.99     4.58     4.30     3.34    10.51
1985      8.46    11.64    12.20     4.84    10.39
1986     10.33    14.70    12.34    11.62    10.49
1987     12.90    15.07     5.78    18.65    16.49
1988     12.93    15.13     6.51    21.10    21.13
1989      8.98    12.64    10.93     6.37    10.81
1990     10.89     6.68     6.10    11.81    16.68
1991     18.24    16.38    28.43    15.29    16.51
1992      9.66    12.76     6.41    10.09     3.88
1993     12.88     9.36    14.43    15.39     5.63
1994     11.47    10.95    12.17    10.12    12.49
1995     14.19     8.95     9.09    21.71     7.48
1996     11.30    15.76    11.44    12.58     5.54
1997     15.17    13.40    13.86    21.07    19.53
1998     18.34    18.49    23.77    21.54    13.74
1999      9.12    11.73    11.73     5.70     6.89
2000     12.70    20.12    11.52    16.89    13.42
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
