Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         17.1     2.3    15.1    35.6    15.3
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -2.22   -0.83   -0.94   -7.04   -0.05
 1961   -4.44   -1.48    2.67   -9.23   -9.71
 1962   -1.27   -0.62   -6.21   -3.56    5.31
 1963   -4.80   -0.48   -7.09   -5.99   -5.64
 1964    0.54   -0.40   -3.01    8.64   -3.07
 1965   -0.89   -1.78    8.98   -6.33   -4.43
 1966    2.60   -1.88    7.97   -3.96    8.25
 1967   -2.55   -1.39    1.73   -9.00   -1.53
 1968   -5.96    4.57    1.26  -20.52   -9.15
 1969    0.15   -0.62    7.43   -1.90   -4.30
 1970   -7.61   -0.94   -1.81  -18.57   -9.11
 1971    8.85   -1.26   -0.19   21.56   15.30
 1972    3.63   -1.23    0.40    9.09    6.26
 1973    2.09    0.78   17.09    0.78  -10.29
 1974   -0.68    0.35   -1.27    4.20   -6.01
 1975   12.69   -1.32   25.14   22.09    4.85
 1976   -5.39   -1.75   -5.47   -6.93   -7.41
 1977   -4.76    1.17    0.50  -14.49   -6.23
 1978    4.38   -1.39    3.13   12.72    3.06
 1979   -3.86   -1.46   -5.86    1.89  -10.02
 1980   -9.66   -1.35   -4.79  -21.83  -10.68
 1981    1.50   -1.85    4.59   -7.22   10.50
 1982   -0.97   -0.12   -0.53   -2.66   -0.54
 1983   -2.36   -1.86   -2.05   -3.55   -1.99
 1984   -0.26    1.08    3.70    1.37   -7.20
 1985   -4.57    0.22   -6.69   -3.59   -8.24
 1986   -5.94   -1.40   -6.76  -12.20   -3.39
 1987   -1.66    1.51   -1.97   -6.20    0.02
 1988   -4.66   -1.45   -1.44   -6.12   -9.62
 1989    1.76   -1.44   -4.16    3.08    9.57
 1990    0.65   -1.05   -2.55    5.12    1.09
 1991   10.03    1.35    6.29   32.30    0.15
 1992    5.97   14.15    7.30   -4.43    6.86
 1993   -2.41   -0.58   -1.71    0.60   -7.93
 1994    0.63   -1.32   -5.76   -1.37   10.95
 1995   -1.23   -0.81   -4.46   -0.23    0.58
 1996    7.93    1.44    0.22    5.08   24.97
 1997    1.62    1.86   -2.21    2.67    4.14
 1998   -0.46    0.03   -5.18    0.01    3.31
 1999   -5.25   -1.37   -3.52  -13.17   -2.92
 2000   -3.61   -1.10   -0.55   -7.66   -5.12
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    2.41   -1.16    1.34    2.82    6.64
 2002    4.75   -1.38   -1.08    6.32   15.16
 2003    5.88    0.34    2.18    9.15   11.84
 2004    6.89    8.48    5.88   15.34   -2.12
 2005    4.98   -1.77    3.11   -0.07   18.66
 2006    0.40   -0.47    3.73    3.03   -4.72
 2007   -1.30    1.51   -1.16   -6.79    1.25
 2008   -1.21   -0.71   -2.91   -8.22    7.00
 2009    2.69   -1.07    0.02   10.63    1.17
