Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        23.04   20.15   25.95   24.59   21.45
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.38   -0.94   -0.77    0.65   -0.44
 1961   -0.12    0.33   -0.41   -0.15   -0.26
 1962   -1.16   -0.90   -0.56   -2.37   -0.82
 1963   -1.11   -0.59   -0.70   -1.59   -1.58
 1964   -0.57   -0.79   -0.49   -0.44   -0.56
 1965   -1.05   -0.82   -0.37   -1.93   -1.08
 1966   -1.09   -0.91   -0.75   -1.57   -1.15
 1967    0.16    0.23    0.11    0.47   -0.17
 1968   -0.65   -0.23   -0.27   -1.37   -0.74
 1969   -0.49   -0.76   -0.34   -0.72   -0.15
 1970    0.29    0.08   -0.47    1.37    0.18
 1971   -0.99   -1.10   -0.36   -1.89   -0.62
 1972   -0.01    0.38   -0.06    0.05   -0.42
 1973   -0.08    0.03   -0.35   -0.25    0.26
 1974    0.06   -0.23    0.42    0.46   -0.42
 1975   -0.60   -0.66   -0.55   -1.12   -0.08
 1976   -1.00   -0.86   -1.24   -1.10   -0.79
 1977   -0.24   -0.20   -0.53    0.17   -0.39
 1978    0.25   -0.13    0.67    0.45    0.02
 1979   -0.60   -0.15   -0.31   -1.20   -0.74
 1980   -0.67   -0.58   -0.83   -0.75   -0.50
 1981   -0.06    0.13   -0.65    0.08    0.19
 1982   -0.51   -0.43   -0.36   -0.88   -0.38
 1983    0.10   -0.46    0.14    1.10   -0.37
 1984    0.35    0.28    0.73    0.35    0.01
 1985   -0.37    0.19   -0.28   -0.91   -0.49
 1986   -0.02   -0.55   -0.09    0.69   -0.12
 1987    0.58    0.38    0.33    1.13    0.49
 1988   -0.31    0.47    0.40   -1.91   -0.20
 1989    0.76    0.16    0.18    1.73    0.96
 1990    0.44    0.87    0.00    1.25   -0.35
 1991   -0.20   -0.63    0.04   -0.69    0.47
 1992   -0.11   -0.10    0.66   -1.14    0.15
 1993    0.58    0.04   -0.49    1.73    1.06
 1994    1.06    0.93    1.36    1.50    0.47
 1995   -0.32    0.10    0.49   -1.51   -0.36
 1996    0.59    0.48   -0.27    1.59    0.58
 1997    1.27    0.65    1.18    2.34    0.92
 1998   -0.02    0.38    0.37   -1.00    0.17
 1999   -0.24    0.53   -0.12   -1.64    0.26
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.09    0.92   -0.44   -0.44    0.33
 2001    1.85    1.49    0.90    3.66    1.33
 2002    0.63    0.48    1.06    0.17    0.80
 2003   -0.08    0.25    0.10   -0.65   -0.01
 2004    0.62    0.51    0.42    0.87    0.67
 2005    1.02    1.25    0.38    1.66    0.79
 2006    1.82    0.79    0.60    4.10    1.80
 2007    0.67    0.56    0.39    0.89    0.83
 2008   -0.10    0.48    0.78   -1.23   -0.42
 2009    0.50    0.36    0.39    0.72    0.55
 2010    0.96    1.14    0.99    0.98    0.74
 2011    0.23    0.40    0.44   -0.18    0.26
 2012    0.62    1.48    0.20    0.24    0.57
 2013    1.25    0.91    0.82    1.83    1.43
 2014    0.50    0.73    0.58    0.27    0.43
 2015    1.09    0.86    0.45    0.99    2.07
 2016    1.71    1.35    1.20    3.45    0.83
 2017    0.90    0.71    1.47    0.72    0.69
 2018    0.13    0.81    0.22   -1.22    0.72
 2019    1.01    0.54   -0.20    2.68    1.03
 2020    1.35    0.77    0.42    2.89    1.33
 2021    1.11    0.68    1.13    1.71    0.93
