Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        26.67   23.17   28.82   30.93   23.74
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    0.06    0.22   -0.44    0.42    0.04
 1961    0.17   -0.15   -0.61    0.78    0.68
 1962   -0.39   -0.57   -0.20   -0.32   -0.47
 1963   -0.64   -0.91   -1.42    0.42   -0.64
 1964   -0.63   -1.27   -0.67   -1.23    0.64
 1965   -0.71   -0.56   -1.24   -1.45    0.42
 1966   -0.40    0.16   -1.00   -0.07   -0.67
 1967   -0.23   -0.43    0.33   -0.28   -0.52
 1968   -0.09    0.02   -0.14    0.40   -0.66
 1969   -0.50   -0.56   -1.39   -0.52    0.49
 1970   -0.43   -1.05   -0.47    0.60   -0.81
 1971    0.20   -0.53    0.49    0.51    0.34
 1972    0.02   -0.50    1.17    0.42   -1.03
 1973    0.20   -0.02    0.19    0.79   -0.18
 1974    0.08   -0.23    0.10    0.59   -0.13
 1975   -0.38   -1.33    0.19   -0.39    0.01
 1976   -0.36   -0.38   -0.63    0.12   -0.54
 1977    0.07   -0.67   -0.05    0.19    0.80
 1978    0.02    0.01   -1.01    0.46    0.62
 1979   -0.15    0.58   -0.88   -0.32    0.01
 1980    0.37    0.36   -0.20    0.55    0.77
 1981   -0.19    0.54    0.00   -0.10   -1.20
 1982    0.32    0.83    0.55    0.75   -0.87
 1983   -0.33   -0.50    0.31   -1.15    0.02
 1984   -0.95    0.01   -1.49   -2.02   -0.28
 1985    0.18    1.08   -0.01   -0.65    0.29
 1986   -0.16   -0.69   -0.36    0.40    0.02
 1987    0.41    0.16    0.05    0.71    0.70
 1988    1.10    0.30    1.20    1.24    1.67
 1989   -0.21    0.12   -0.45   -0.73    0.23
 1990    0.40    1.40    0.20   -0.51    0.51
 1991    0.69    0.80    1.27    0.52    0.17
 1992   -1.03   -0.17   -0.88   -1.77   -1.31
 1993   -0.98   -0.31   -0.95   -1.90   -0.76
 1994    0.19   -0.65    0.52    0.67    0.23
 1995    0.60    0.51    1.08    0.71    0.11
 1996   -1.03   -0.10   -0.98   -1.66   -1.38
 1997    0.26   -0.07   -0.30    1.06    0.33
 1998    0.24   -0.22    0.16    0.02    1.00
 1999    0.86    0.72    1.16    0.89    0.67
 2000    0.83    0.47    0.77    1.49    0.60
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    1.05    0.87    1.76    1.02    0.55
 2005    0.43    0.77    0.14   -0.25    1.08
 2006    0.66    0.15   -0.10    1.69    0.91
 2007    0.25   -0.30    0.87    1.16   -0.73
 2008    1.02    0.15    0.77    1.36    1.81
