Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        28.71   26.06   31.25   30.58   26.97
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.06   -1.00   -0.43    0.97    0.21
 1961   -0.38    0.77   -0.35   -0.88   -1.08
 1962   -0.63   -0.92   -0.68   -0.30   -0.63
 1963   -0.20   -0.13   -0.39   -0.15   -0.11
 1964   -0.86   -0.69   -0.59   -1.37   -0.77
 1965   -1.08   -0.67   -1.11   -1.60   -0.95
 1966   -0.84   -0.82   -0.47   -0.95   -1.12
 1967   -0.29   -0.84   -0.22    0.06   -0.15
 1968   -0.32   -0.28   -0.16   -0.69   -0.15
 1969   -0.15   -0.55    0.55   -0.27   -0.33
 1970   -1.07   -0.44   -0.83   -1.91   -1.08
 1971   -0.32   -0.82   -0.60    0.34   -0.19
 1972   -0.24    0.12    0.36   -0.76   -0.70
 1973   -0.64   -1.31   -0.51   -0.32   -0.43
 1974   -0.07    0.07   -0.39   -0.13    0.17
 1975    0.03    0.19    0.05   -0.14    0.00
 1976   -0.30   -0.64   -0.25   -0.10   -0.23
 1977    0.17    0.25   -0.04    0.22    0.26
 1978   -0.08   -0.27   -0.06    0.06   -0.05
 1979   -0.35   -1.21   -0.31    0.16   -0.05
 1980    0.35    0.98    0.49   -0.33    0.25
 1981    0.25    0.11   -0.04    0.50    0.41
 1982    0.28    0.71    0.13    0.25    0.03
 1983   -0.19   -0.45   -0.25    0.33   -0.40
 1984    0.00    0.11    0.03   -0.34    0.20
 1985    0.05   -0.21   -0.11    0.68   -0.16
 1986   -0.05    0.29    0.23   -0.60   -0.13
 1987   -0.04    0.12   -0.19    0.10   -0.20
 1988    0.18   -0.94    0.06    1.38    0.21
 1989    0.17    0.66    0.51   -0.23   -0.24
 1990    0.52    0.25    0.55    0.57    0.73
 1991    0.75    1.27    1.01    0.47    0.24
 1992   -0.01    0.04   -0.34    0.40   -0.15
 1993    0.22    0.34   -0.04    0.24    0.34
 1994    0.18    0.43    0.45   -0.26    0.10
 1995    0.04   -0.37   -0.60    0.55    0.60
 1996    0.23    0.35    0.30    0.12    0.16
 1997    0.25    0.15    0.36    0.16    0.35
 1998   -0.00    0.39    0.36   -0.77    0.01
 1999   -0.30   -0.16   -0.35   -0.63   -0.06
 2000    0.60    0.04    0.45    1.39    0.53
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.53    0.36    0.13    1.09    0.54
 2002   -0.23   -0.36    0.22   -0.91    0.13
 2003    0.73   -0.21    0.23    1.42    1.49
 2004    0.60    0.94    0.30    0.43    0.75
 2005   -0.11    0.02   -0.12   -0.61    0.27
 2006   -0.36    0.04   -0.14   -1.20   -0.15
 2007    0.57    0.15    0.59    0.84    0.70
 2008    0.88    0.15    0.80    1.66    0.90
 2009    0.38    0.64    0.63    0.09    0.16
 2010    0.85    0.44    0.89    1.50    0.58
 2011    0.50    0.51    0.49    0.47    0.52
 2012    0.37   -0.08    0.15    0.57    0.83
 2013    0.06    0.62    0.87   -1.12   -0.14
 2014    0.17   -0.16    0.39    0.63   -0.16
 2015    0.47    0.66    0.55    0.84   -0.18
 2016    0.50    0.04    0.38    0.77    0.83
 2017    0.91    0.23    0.79    1.66    0.96
 2018    0.46    1.02    0.26    0.18    0.37
 2019    0.73    0.20    0.23    1.17    1.31
 2020    0.84    1.38    1.28    0.67    0.04
 2021    0.61    0.08    0.78    0.61    0.96
 2022    0.56    0.69    0.68    0.24    0.64
 2023    1.09    1.40    1.19    0.84    0.93
 2024    0.27    0.14    0.22    0.12    0.58
 2025    1.13    0.91    0.82    1.39    1.41
 2026    0.74    1.05    0.55    0.68    0.67
 2027    0.68    0.44    0.67    0.87    0.74
 2028    1.25    1.35    1.20    1.44    1.02
 2029    0.60    0.32    0.58    0.45    1.06
 2030    1.11    0.44    1.24    1.50    1.26
 2031    0.71    0.56    0.54    1.23    0.52
 2032    0.75    0.32    0.63    0.86    1.20
 2033    0.60    0.60    1.17    0.59    0.05
 2034    1.12    0.52    0.84    1.99    1.13
 2035    0.96    1.35    1.28    0.68    0.51
 2036    0.76    0.19    0.64    1.14    1.09
 2037    1.97    2.43    1.70    1.86    1.89
 2038    0.87    0.55    0.87    0.80    1.26
 2039    1.28    1.75    1.58    1.23    0.59
 2040    1.21    0.72    1.11    1.60    1.43
 2041    1.54    1.74    1.86    1.87    0.71
 2042    1.05    0.40    0.86    1.79    1.16
 2043    1.09    0.79    1.42    1.42    0.75
 2044    0.89    0.55    0.76    1.10    1.16
 2045    1.73    1.48    1.83    2.11    1.49
 2046    1.22    1.11    1.66    1.27    0.82
 2047    1.57    0.51    1.59    2.32    1.86
 2048    1.46    1.53    1.79    0.94    1.57
 2049    0.58    0.13    0.49    0.23    1.48
 2050    2.06    1.56    1.92    2.28    2.51
 2051    1.00    1.22    1.37    0.53    0.89
 2052    1.70    0.78    1.54    2.13    2.35
 2053    1.55    2.21    1.61    0.73    1.65
 2054    1.59    1.11    1.40    2.13    1.73
 2055    2.00    1.77    2.07    2.28    1.86
 2056    2.19    1.95    2.33    2.37    2.10
 2057    2.29    1.96    2.12    2.57    2.51
 2058    2.09    1.65    2.31    2.85    1.55
 2059    1.59    1.44    1.68    1.39    1.83
 2060    2.30    1.41    1.57    3.10    3.12
 2061    2.27    2.64    2.57    1.96    1.92
 2062    1.70    0.81    1.99    2.08    1.92
 2063    2.62    1.92    2.85    3.06    2.63
 2064    1.49    2.52    2.11    0.35    0.97
 2065    1.88    1.55    1.76    1.73    2.47
 2066    1.80    1.92    2.15    0.88    2.23
 2067    2.39    1.31    2.57    2.86    2.80
 2068    2.58    2.32    2.57    3.15    2.29
 2069    2.17    1.74    2.20    2.43    2.32
 2070    2.86    2.16    2.93    3.46    2.87
 2071    3.13    2.35    2.85    4.12    3.20
 2072    2.27    2.84    3.12    1.25    1.86
 2073    2.79    2.16    2.59    3.46    2.94
 2074    3.44    3.27    3.52    3.71    3.27
 2075    2.19    3.06    2.36    1.00    2.33
 2076    2.90    2.62    2.56    3.57    2.84
 2077    2.86    1.53    3.06    3.32    3.52
 2078    3.86    3.39    4.03    4.08    3.94
 2079    2.31    2.45    2.90    1.74    2.14
 2080    2.58    1.78    2.63    2.78    3.12
 2081    3.16    3.31    3.38    3.11    2.86
 2082    3.41    2.40    3.41    3.84    4.01
 2083    3.58    4.40    3.76    3.07    3.08
 2084    1.76    1.61    2.35    0.71    2.36
 2085    2.60    2.38    2.99    2.61    2.42
 2086    3.27    2.51    3.49    3.65    3.45
 2087    3.15    3.10    3.19    3.17    3.13
 2088    2.95    1.56    2.91    3.99    3.34
 2089    3.20    2.94    3.42    3.20    3.24
 2090    2.98    2.61    3.05    3.24    3.03
 2091    2.99    2.28    3.00    3.13    3.55
 2092    3.12    3.17    3.37    3.09    2.83
 2093    3.78    2.49    3.11    4.80    4.73
 2094    4.13    3.88    4.13    4.32    4.20
 2095    2.78    3.03    3.01    2.09    2.99
 2096    3.43    3.01    3.41    3.67    3.62
 2097    3.64    2.34    3.25    4.78    4.18
 2098    3.73    4.22    4.37    3.13    3.21
 2099    3.96    3.10    3.71    4.60    4.43
 2100    4.07    4.14    4.87    3.40    3.87
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -0.03    0.04   -0.71    0.29    0.26
 2002    0.60   -0.03    0.44    1.52    0.46
 2003    0.36    0.63    0.80   -0.29    0.32
 2004    0.27    0.26    0.37   -0.13    0.56
 2005    0.42    0.17    0.43    0.61    0.48
 2006    0.11    0.38    0.22   -0.33    0.15
 2007    0.31   -0.06    0.35    0.31    0.66
 2008    0.48    0.72    0.80    0.42    0.00
 2009    0.71   -0.04    0.50    1.40    0.97
 2010   -0.42    0.84   -0.19   -2.07   -0.26
 2011    0.26   -0.69   -0.45    0.67    1.51
 2012    1.12    1.62    1.41    0.90    0.57
 2013    0.17   -0.27   -0.07    0.47    0.55
 2014    0.60   -0.07    0.58    1.27    0.63
 2015    0.43    0.32    0.33    0.48    0.61
 2016    0.58    0.07    0.39    1.24    0.63
 2017   -0.23    0.46    0.14   -1.32   -0.21
 2018    0.58   -0.45    0.24    1.15    1.39
 2019    1.16    0.32    1.75    1.56    1.00
 2020   -0.06    0.25    0.72   -1.44    0.24
 2021    0.35    0.02    0.44    0.58    0.35
 2022    0.64    0.43    0.72    0.74    0.67
 2023    1.17    0.23    1.00    2.00    1.46
 2024    0.49    1.52    0.58   -0.12   -0.02
 2025    0.95    0.88    0.87    1.00    1.06
 2026    1.26    1.72    1.10    1.18    1.04
 2027    0.63    0.60    0.81    0.89    0.19
 2028    0.93    0.98    1.02    0.70    1.02
 2029    0.65    1.24    0.75   -0.17    0.80
 2030    0.76    0.75    1.04    0.32    0.95
 2031    0.58    0.38    1.42    0.01    0.52
 2032   -0.06   -0.10    0.23   -0.59    0.23
 2033    1.34    0.02    1.44    2.25    1.66
 2034    1.80    2.05    2.09    1.82    1.25
 2035    0.96    0.39    1.65    0.55    1.23
 2036    1.03    0.79    0.98    0.79    1.55
 2037    1.53    1.06    1.63    1.64    1.76
 2038    1.36    1.24    1.63    1.41    1.15
 2039    1.36    0.49    1.23    2.00    1.71
 2040    1.53    1.65    2.41    1.23    0.82
 2041    1.58    1.12    1.38    2.04    1.76
 2042    1.38    1.91    1.53    0.86    1.21
 2043    1.17    1.05    0.97    1.44    1.21
 2044    2.15    1.38    2.24    2.83    2.16
 2045    1.73    1.65    1.61    2.29    1.36
 2046    1.43    1.28    1.45    1.42    1.58
 2047    1.73    1.28    1.66    1.94    2.06
 2048    1.77    1.80    1.85    1.79    1.64
 2049    1.88    1.81    2.41    1.56    1.73
 2050    1.86    1.19    1.34    2.76    2.14
 2051    1.94    2.02    2.30    1.94    1.50
 2052    0.80    1.01    1.38   -0.11    0.93
 2053    1.63    0.36    1.66    2.13    2.36
 2054    1.94    2.83    2.45    0.97    1.50
 2055    1.82    0.74    1.58    2.39    2.56
 2056    2.40    1.91    2.58    2.95    2.15
 2057    2.17    1.66    2.13    3.01    1.86
 2058    1.73    1.11    1.86    2.28    1.67
 2059    1.91    2.12    2.18    1.66    1.67
 2060    2.49    2.15    2.41    2.64    2.77
 2061    2.46    2.75    2.83    2.15    2.13
 2062    1.59    0.71    1.61    2.21    1.82
 2063    1.99    1.70    2.67    1.74    1.86
 2064    1.92    1.10    2.06    2.34    2.18
 2065    2.31    2.32    2.88    2.09    1.93
 2066    2.52    1.55    2.10    3.05    3.39
 2067    3.01    4.15    2.75    2.93    2.22
 2068    1.42    1.15    1.71    0.90    1.93
 2069    2.69    2.34    2.85    3.07    2.51
 2070    2.65    2.18    3.23    2.69    2.49
 2071    2.58    1.76    2.38    3.08    3.11
 2072    2.95    2.51    2.96    3.08    3.25
 2073    2.96    2.81    3.23    3.48    2.33
 2074    2.22    2.25    2.46    2.19    1.99
 2075    2.26    1.62    2.27    2.70    2.44
 2076    2.67    3.20    3.05    2.19    2.23
 2077    2.51    2.17    2.82    2.33    2.72
 2078    2.51    2.74    2.65    2.49    2.17
 2079    2.29    1.72    2.27    2.35    2.80
 2080    2.68    2.52    2.67    3.19    2.32
 2081    3.08    1.72    3.11    3.88    3.60
 2082    3.01    3.05    3.21    3.05    2.74
 2083    2.64    1.97    2.87    2.77    2.93
 2084    2.83    2.80    2.93    2.78    2.81
 2085    3.04    2.79    2.71    3.45    3.22
 2086    2.71    2.73    3.45    2.02    2.64
 2087    2.40    2.57    2.91    2.04    2.07
 2088    2.82    2.40    2.67    3.07    3.16
 2089    3.64    3.13    3.47    4.16    3.81
 2090    3.04    3.30    3.35    3.00    2.52
 2091    2.95    2.26    3.45    3.16    2.93
 2092    2.79    3.41    3.07    2.02    2.66
 2093    2.96    2.08    3.11    3.27    3.39
 2094    3.40    3.39    3.69    3.60    2.90
 2095    2.62    2.64    2.42    2.64    2.79
 2096    2.70    2.33    2.80    2.65    3.02
 2097    2.24    1.34    2.94    1.79    2.88
 2098    2.18    2.13    3.23    1.24    2.12
 2099    2.42    1.72    2.16    2.88    2.93
 2100    3.16    3.44    3.35    2.71    3.16
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.20   -0.07    0.24    0.20    0.42
 2002    0.36    0.25    0.85    0.31    0.03
 2003   -0.19   -0.42   -0.15   -0.33    0.13
 2004    0.14   -0.07    0.13    0.19    0.34
 2005   -0.40   -0.24    0.02   -1.02   -0.36
 2006    0.30   -0.39    0.16    0.55    0.88
 2007    0.74    0.78    0.86    0.82    0.48
 2008    0.33    0.11    0.23    0.65    0.33
 2009    0.12    0.42    0.44   -0.32   -0.04
 2010    0.77    0.38    0.73    1.23    0.76
 2011    0.80    0.52    0.87    1.21    0.60
 2012    0.76    0.24    0.83    0.94    1.03
 2013   -0.29    0.35   -0.05   -1.36   -0.11
 2014    0.62    0.74    0.11    0.92    0.70
 2015    1.12    0.96    0.87    1.40    1.23
 2016    0.78    0.08    0.58    1.64    0.80
 2017    0.84    1.12    0.77    0.94    0.53
 2018    0.71    0.21    0.82    1.37    0.41
 2019    0.52    0.20    0.65    0.61    0.64
 2020    0.61    0.52    0.80    0.49    0.64
 2021    0.49    0.08    0.68    0.32    0.89
 2022    0.63    0.70    1.06    0.37    0.38
 2023    0.85    0.76    0.85    0.99    0.79
 2024    0.53    0.34    0.75    0.47    0.57
 2025    0.34    0.03    0.46   -0.00    0.88
 2026    0.96    1.48    1.24    0.96    0.16
 2027    0.79    0.90    0.89    0.53    0.86
 2028    0.44   -0.37    0.58    0.51    1.05
 2029    0.66    0.46    0.53    0.61    1.07
 2030    0.60    0.71    1.21   -0.09    0.55
 2031    0.86    0.11    0.87    1.75    0.71
 2032    0.55    0.76    0.61    0.08    0.76
 2033    0.75   -0.08    0.98    1.31    0.80
 2034    1.34    1.17    1.56    1.95    0.70
 2035    0.24   -0.19    0.22    0.16    0.78
 2036    1.27    0.45    0.81    2.18    1.66
 2037    1.33    1.64    1.60    1.38    0.70
 2038    0.83    0.79    0.39    1.10    1.06
 2039    1.14    0.90    1.06    1.49    1.12
 2040    0.55    0.19    0.64    0.65    0.71
 2041    1.06    0.63    1.18    1.44    0.98
 2042    1.21    0.12    1.28    1.68    1.77
 2043    1.15    1.39    0.97    1.27    0.96
 2044    1.11    0.31    1.21    1.77    1.16
 2045    0.69    1.27    0.69    0.04    0.74
 2046    1.17    1.23    0.89    1.35    1.21
 2047    1.09    0.88    1.87    0.62    0.99
 2048    0.64    0.86    0.34    0.66    0.69
 2049    0.98    0.75    0.75    0.95    1.45
 2050    1.39    1.33    1.89    1.21    1.12
 2051    1.07    0.61    1.41    1.35    0.92
 2052    1.31    1.32    1.56    1.09    1.29
 2053    1.47    0.48    1.34    2.28    1.78
 2054    2.19    1.78    2.31    2.57    2.09
 2055    1.78    1.50    1.97    1.84    1.83
 2056    1.41    1.13    1.44    1.49    1.59
 2057    1.26    1.18    1.49    1.26    1.10
 2058    1.33    1.38    1.02    1.61    1.32
 2059    1.32    1.28    1.79    1.09    1.13
 2060    1.24    1.53    1.70    0.67    1.05
 2061    0.62    0.72    1.57   -0.46    0.66
 2062    1.14    0.96    1.70    0.87    1.05
 2063    1.57    1.15    1.47    2.08    1.59
 2064    1.30    1.00    1.37    1.47    1.37
 2065    1.71    1.27    1.38    2.36    1.83
 2066    2.05    2.14    2.31    2.21    1.56
 2067    1.08    0.92    1.20    1.12    1.10
 2068    1.80    1.11    2.05    2.54    1.49
 2069    1.11    0.67    1.36    0.91    1.48
 2070    2.29    2.49    2.08    2.90    1.69
 2071    1.70    1.08    1.79    2.13    1.81
 2072    1.70    1.07    2.15    1.87    1.73
 2073    1.55    1.05    1.85    1.11    2.20
 2074    1.84    2.37    2.19    0.70    2.09
 2075    1.68    1.41    2.09    1.35    1.86
 2076    1.82    1.54    2.28    1.89    1.57
 2077    1.73    0.96    2.03    1.89    2.06
 2078    1.72    2.14    1.41    1.72    1.63
 2079    2.52    1.90    2.66    3.02    2.50
 2080    1.65    1.54    1.81    1.45    1.78
 2081    1.92    1.85    1.81    2.12    1.88
 2082    2.16    2.16    2.32    2.36    1.82
 2083    1.59    1.08    1.72    1.49    2.08
 2084    1.88    1.61    2.19    1.60    2.11
 2085    1.45    1.78    1.98    0.42    1.61
 2086    2.20    1.58    1.98    3.06    2.19
 2087    2.48    1.53    2.73    3.12    2.54
 2088    1.70    1.86    1.70    1.58    1.66
 2089    2.31    1.98    2.02    2.63    2.60
 2090    2.57    2.52    3.07    2.62    2.04
 2091    2.12    1.45    1.89    2.18    2.96
 2092    1.46    1.83    1.80    0.79    1.42
 2093    1.90    1.32    1.93    2.18    2.16
 2094    2.04    2.07    2.08    1.90    2.11
 2095    1.86    1.68    1.70    1.89    2.15
 2096    1.79    1.73    1.96    1.54    1.94
 2097    1.76    1.55    1.99    1.60    1.89
 2098    1.65    1.84    2.15    1.12    1.49
 2099    2.10    0.82    1.93    3.04    2.59
 2100    2.51    2.81    2.96    2.46    1.82
