Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         52.1     4.1    30.9   161.1    12.3
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -1.36   12.06  -11.26    3.51  -44.95
 1961  -17.42   82.28  -20.17  -19.26  -19.65
 1962    5.74  -56.52   25.99    4.05   -2.16
 1963   -1.12  -64.78  -38.02    2.69   62.93
 1964  -14.38   46.37   53.62  -38.49  110.99
 1965    6.16  -87.64   43.39    9.03  -93.95
 1966    0.05   71.46   -7.00    5.44  -76.92
 1967   -3.91  182.99  128.57  -30.39  -51.85
 1968   19.82    1.45   42.58   23.87  -84.53
 1969   -9.23  -75.37  -31.19    2.16  -81.56
 1970   -7.61  -76.00   63.94  -14.71  -71.57
 1971   25.03  -19.45   12.08   29.66   11.57
 1972  -14.22  214.85   73.36  -35.20  -35.42
 1973   30.27    0.06  -18.55   40.64   27.04
 1974    7.35  -93.61  -41.96   20.75  -10.94
 1975   13.26  -12.12   59.90   -3.00  117.97
 1976   31.22  151.02   32.82   35.80  -73.00
 1977  -16.75  -83.63   22.32  -26.36   33.53
 1978   -5.05  -91.04   -6.08   -4.69   21.52
 1979  -22.39  -32.69  -59.92  -13.40  -42.69
 1980   -0.62  -83.43   34.74   -9.62   56.23
 1981    4.37  -13.62  -10.66   10.50  -32.27
 1982   -7.25    2.28  -20.04    1.21  -89.39
 1983  -25.88   14.89   -6.16  -37.30   61.01
 1984  -11.07  259.39  -26.71  -11.30  -59.02
 1985   15.41  -47.23   40.84    0.19  172.29
 1986  -21.41  -17.58    7.69  -23.88  -63.45
 1987   -4.74  -56.51  -36.74    0.23   27.79
 1988    9.96  502.77    6.24    3.86  -65.16
 1989   14.75  -94.90  -26.31   31.39  -63.99
 1990  -13.54  -43.27   26.29  -23.37   25.19
 1991  -10.67  -13.44  -12.95  -12.07   14.43
 1992    2.72   43.92  -43.12   10.90   -3.11
 1993    0.07  -54.37  -46.71   15.91  -72.18
 1994    8.59  -14.88  -40.13  -11.42  402.03
 1995  -12.10  -92.47   -0.23  -14.68   18.73
 1996  -25.26  -47.56   84.42  -41.58  -79.47
 1997   17.57  -59.91    0.25   30.32  -80.50
 1998   15.85  -43.88  -52.37   38.85  -94.78
 1999    2.17  -97.60  -16.25   12.38  -52.40
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000   -9.21  246.84   31.93  -20.03  -56.08
 2001  -26.00  -71.77   30.35  -36.19  -18.76
 2002    5.14  -95.16  -71.67   26.90  -53.88
 2003  -17.13  -83.18  -42.07  -16.07   53.79
 2004   -0.32   84.44   13.16   -1.67  -44.83
 2005   33.26  -55.00  -23.06   55.40  -86.50
 2006   -8.40  -54.37  -57.36   -1.47   39.12
 2007  -25.69  -94.66  -37.71  -17.84  -75.53
 2008   -8.27  -91.40  -26.76   -2.01  -16.20
 2009   -7.81  174.53   -4.39   -9.15  -59.71
 2010   -8.94   11.24   68.12  -19.60  -69.69
 2011  -15.02  -70.85  -37.93  -23.48  172.47
 2012   -3.01  -55.37  -57.12    4.31   54.60
 2013  -30.37  -63.01  -58.06  -29.64   40.63
 2014   -4.17   29.02   63.94  -14.77  -47.50
 2015  -20.18  -64.78  -23.67  -24.40   58.99
 2016   29.37  -61.23   64.18   32.55  -69.87
 2017   15.81  -75.65  -18.15   22.76   40.55
 2018  -24.01  -98.04   73.33  -48.78   81.15
 2019   10.15  -77.41  -36.56   22.32   -3.01
 2020   12.51  -51.08  -27.17    9.71  170.54
 2021   12.52  -81.71   54.82    7.80   -0.48
 2022   -8.89    6.18  -24.96   -5.88  -13.08
 2023  -27.53  -93.14  -34.20  -23.44  -42.58
 2024    5.41   40.18   11.67    8.89  -67.81
 2025  -10.80  -53.08   14.70  -16.71   16.70
 2026   44.54  -85.87    0.42   60.08   -5.06
 2027  -18.02   79.37   24.31  -38.09  106.65
 2028   17.44  -74.13  -69.11   34.56   40.95
 2029   23.89  -46.52  -52.21   33.92  107.19
 2030   14.08   -8.41   46.82  -16.92  346.67
 2031  -12.71  -97.42  103.75  -33.00  -10.98
 2032   -9.39   47.35   18.20   -9.56  -95.55
 2033  -32.87  -84.55   13.64  -38.01  -65.23
 2034  -30.59  -95.02   10.47  -32.20  -91.29
 2035  -24.28  -77.88  -32.52  -35.24  158.42
 2036   -6.86  -41.06  -46.92  -36.72  497.87
 2037  -38.02  -22.26  -26.96  -38.69  -62.37
 2038  -17.56   45.10  -15.23  -18.18  -36.14
 2039    5.13  234.60    2.03    7.35  -92.93
 2040  -11.42   62.69   -8.55  -13.37  -17.85
 2041   -7.21   20.18   61.15  -23.31   23.10
 2042   -7.86  -63.31   12.57   -4.05  -90.93
 2043   -9.80  -23.16  123.73  -37.94   28.37
 2044    5.28  -10.91   21.61    6.01  -39.95
 2045  -31.74   21.15  -15.98  -37.11  -18.45
 2046  -19.25  -53.77  -32.72  -10.64  -86.97
 2047    2.52  -34.43  -60.82   22.31  -85.82
 2048   -1.54    4.86  -48.50   14.00  -89.70
 2049  -10.52  -80.20  -66.47    8.07  -90.65
 2050   -7.89  -90.91  -22.00    0.61  -56.32
 2051    0.82   32.29  -66.43   17.53  -59.94
 2052  -11.66   10.07   72.89  -30.33   13.51
 2053   -0.75   50.56   23.82   -6.22   -7.99
 2054  -11.71  -97.46  -45.81  -17.19  174.68
 2055  -47.48   11.45  -71.37  -41.57  -84.73
 2056   20.92  -32.59    1.17   24.12   46.48
 2057   -4.47  600.98  -25.65   -9.98  -80.90
 2058   -6.67  -99.02   -2.32  -19.64  183.67
 2059   43.03  -94.61   -4.96   50.53  111.38
 2060   22.64  -68.85  -22.06   35.84   -7.73
 2061   -5.61  -60.96  -46.73    9.48  -81.93
 2062   -8.33  -89.52    7.27  -16.40   85.63
 2063    5.79  -47.93   21.17    7.75  -40.88
 2064    9.14  -97.51  -43.60   28.76  -80.30
 2065  -10.81  -93.25   -4.52  -10.38   -4.79
 2066   -2.38  -85.14  -46.38    0.95   92.25
 2067    5.13  -93.57  -73.45   29.39  -82.91
 2068  -12.73  -58.19    1.47  -20.86   73.66
 2069  -27.03  -96.04    9.26  -29.12  -67.82
 2070  -34.77  -84.48  -56.17  -35.17   40.94
 2071   37.41  -70.92   32.67   46.40  -32.60
 2072   -2.01  -30.40  -34.53    7.81  -39.72
 2073    2.99  -98.16   15.75    9.20  -76.95
 2074   -2.46  -74.24   58.38  -11.09  -18.26
 2075   23.37  -84.99   76.85   11.09   86.21
 2076   -6.04  -53.63  -43.74    8.15  -81.70
 2077  -19.43  -26.77  -42.39  -10.77  -72.94
 2078   10.92  -32.03  -66.94   30.72  -38.89
 2079    3.62  -93.46   23.21   -4.14   88.68
 2080   -4.97  -87.90  -44.93    7.63  -42.29
 2081  -37.53  -93.60  -85.90  -26.73  -38.84
 2082  -22.47  -97.94  -11.95  -19.74  -59.66
 2083  -19.29  -91.01  -84.00    0.96  -98.64
 2084  -30.40  -29.64  -17.65  -28.26  -90.90
 2085   -7.15  -96.15   76.04  -37.14  207.24
 2086   -8.62  -76.68   37.75  -10.28  -80.71
 2087   -2.25  -85.71  -76.51   18.89  -65.17
 2088  -32.62  -97.85   -3.44  -33.42  -73.83
 2089  -32.48  -77.33  -45.64  -34.69   44.62
 2090   -0.81  -80.13  -79.90   20.22  -51.45
 2091   35.11  -96.77   16.71   51.17  -85.57
 2092    9.46   15.91  102.17  -46.49  509.27
 2093   12.16    0.57  -45.93   18.67   76.75
 2094  -19.59  -94.29    7.28  -20.92  -44.70
 2095  -11.53  -53.87   -3.56  -17.45   60.31
