Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (%)
 YEAR  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960  -10.58    5.37    0.94  -13.03   -8.14
 1961   -8.98    2.99    4.59   -9.74  -33.29
 1962    5.44  -33.04    2.80    6.18   -0.63
 1963   -1.12   -5.18    1.53   -3.88    3.74
 1964    1.21  -16.99  -19.96    4.01   -2.93
 1965    6.16  -27.08    1.37    9.84   -3.70
 1966    9.75    9.56   -2.97    4.00   -1.47
 1967   -4.20  -26.42  -19.45  -13.46   13.09
 1968   12.78    1.45    8.35   -4.57  -30.53
 1969   -8.29  -10.97  -17.83   -5.36  -25.76
 1970   -1.22    1.40    5.69   -6.01  -30.67
 1971    0.37  -29.94  -18.93  -16.05    7.04
 1972   -4.22  -15.01   -5.49   13.42   -1.11
 1973   -1.69   -8.91  -18.55    2.20  -18.51
 1974   -3.99  -11.10   -8.40    0.03  -20.65
 1975   -3.33    1.82    7.57   -3.00  -31.21
 1976   11.31   -1.58   -8.44    0.45    2.38
 1977   -2.45  -30.97   27.04   -6.87  -15.98
 1978   -5.05  -19.68   -2.62  -11.18   -2.98
 1979   -1.88  -35.06  -28.37    1.84  -16.42
 1980   -3.63  -24.93   24.17    6.48  -36.21
 1981   -8.15  -14.88   -3.55   -5.37  -20.76
 1982    0.70  -23.16   11.60    1.21    6.00
 1983  -12.36   14.89  -12.82    2.34  -16.64
 1984   -1.54   13.82  -17.52   -7.78   -7.03
 1985   10.28  -47.23   -4.56   14.45   -3.09
 1986   -1.16  -30.15   -1.40   -3.64  -35.70
 1987   11.89   -8.53    1.44    2.49    0.40
 1988   -7.93  -12.39  -26.30   -4.68  -15.27
 1989    9.36  -34.58  -24.07    5.88  -41.32
 1990   -5.26  -27.28  -14.44   14.38  -28.24
 1991   -5.05  -13.44   -7.96   -7.97    5.16
 1992    2.72   15.64   -4.42   -2.57   -9.96
 1993    3.18  -21.08   16.85    1.68  -48.71
 1994    0.23  -14.88  -38.14   -7.96   -9.11
 1995    1.23  -31.75  -22.59   -5.57   -4.02
 1996    9.71  -12.10    1.44    8.72   21.77
 1997    6.36  -35.30    0.25   -0.02  -25.27
 1998   -2.69  -30.09   -8.85    8.09  -19.54
 1999   -1.35  -33.20  -16.63   -3.00  -17.63
 2000   -9.59    8.43  -39.79   -8.16  -33.54
Projections under SRES A2 scenario
 2000   14.20   97.16   28.05    6.04   29.84
 2001    1.33  -36.46    6.30    7.77  -28.50
 2002    6.72  -33.32   -0.61   17.78    7.47
 2003    5.83  -23.53   -2.34    7.55   -9.17
 2004   -0.32   16.23  -10.60    3.43  -39.89
 2005   -3.53  -29.11   10.65   -0.19  -22.46
 2006    8.50  -10.86    8.06    0.70   10.68
 2007   -7.60  -28.25  -27.66  -11.92  -28.78
 2008   -2.24  -25.01  -19.25    2.56  -10.41
 2009    1.39  -27.05   -4.39   -1.98  -31.62
 2010   -1.56    9.37   -8.81   -1.98    7.14
 2011   -2.41  -18.15  -31.23    6.57   12.05
 2012   20.83  -17.03   -5.67    5.37    8.60
 2013   -0.38   18.85  -24.29   -3.90    4.15
 2014    0.68  -58.75   -1.96   -4.23    3.23
 2015    8.13  -15.74  -19.84  -11.62   -7.17
 2016   -2.66  -20.61    2.34   -8.40    0.41
 2017    3.69  -19.90   -4.50    2.51   -6.25
 2018  -16.69   -4.43  -22.00  -10.75   -2.98
 2019  -11.78  -34.64   -7.37    0.20   -8.39
 2020    5.50  -15.29   10.43   -5.62   32.80
 2021    6.50  -44.20  -19.08   -0.42   29.48
 2022    6.38    6.18   -1.23   -1.24   15.11
 2023   -3.17  -19.84   -3.39   -3.19   -9.28
 2024    0.39  -21.77   -9.01    6.36  -19.47
 2025    4.31  -14.78   -2.25   -1.75   16.70
 2026   -5.10  -22.48  -16.58    2.90   17.13
 2027   -0.71  -36.27  -14.52   -4.78   10.71
 2028   -1.47    3.85  -22.70  -12.69   -6.50
 2029   20.65  -14.38   -9.13    3.62   14.49
 2030    1.98    9.56  -22.47    2.51   -9.01
 2031    8.39  -10.40    6.85  -13.24   34.31
 2032    9.94  -23.19   -7.73    5.67   22.47
 2033    1.60    1.83   -6.19   -5.79    3.03
 2034   -4.37  -28.08  -18.31   -5.76   -0.75
 2035    3.53  -42.40   -9.26    6.48   -8.13
 2036   -4.11  -43.26  -18.93   -8.73   -6.53
 2037   -3.70    6.53  -28.01    4.29  -13.95
 2038   12.94  -27.73  -11.33   14.55   20.56
 2039    5.13  -43.21   -8.68   -0.78    5.80
 2040  -11.42  -13.18  -17.74   -4.49  -17.85
 2041   -1.42  -17.53   -4.43  -16.15   17.79
 2042   -3.65  -50.13  -22.09  -10.71   -1.49
 2043    0.01  -25.19    2.98    0.51   28.37
 2044   -1.66  -14.05   10.75  -11.48  -12.78
 2045   -8.12  -34.69  -14.17  -12.58  -13.85
 2046    9.51  -36.52   -6.54   -7.77   -2.67
 2047   -5.56  -28.99  -32.01   -8.25  -28.45
 2048    0.10  -14.93  -17.25    4.53    3.60
 2049    3.87  -38.57  -17.61    4.40    7.76
 2050   13.34  -44.20  -18.98   -0.52   11.37
 2051   -0.96  -39.60  -25.17    4.02   13.97
 2052   -7.60    0.24   -7.96   -9.39  -10.16
 2053   -0.75  -44.56   -8.49   -2.86   -7.99
 2054   -4.66  -26.26  -10.91    7.36   -4.64
 2055    1.25  -41.15    0.57    1.21   -2.32
 2056    0.48  -12.87  -18.80   -3.14   -1.33
 2057   -4.47  -27.74  -19.12   -9.93  -23.01
 2058   -1.62  -35.55  -29.73   13.05   10.41
 2059    1.29  -68.18  -10.08    0.60   24.54
 2060    8.57  -43.53  -21.04    5.30   10.25
 2061    4.80  -32.14  -27.19   11.12   -3.86
 2062   -1.71  -41.00   -8.04   -8.59   33.96
 2063   -8.12  -12.59   -9.98  -19.10    5.18
 2064   -4.23  -40.55  -43.42   -6.79   -0.21
 2065   -2.60  -43.89  -12.20    0.40  -11.09
 2066    5.25  -18.02   -8.38    9.15   -2.23
 2067    3.52  -57.96  -40.16  -18.34   30.09
 2068    4.95   -2.93  -29.86   -1.36   -1.89
 2069    4.16  -26.99   -7.19    7.46  -15.08
 2070   -4.41  -51.91  -27.41    7.15   40.94
 2071  -13.33  -12.33  -20.16   -2.43  -22.65
 2072   17.45  -30.31  -22.57    7.81    8.65
 2073    2.99  -32.89   -6.03   -2.45   -3.15
 2074   -4.44  -52.37  -21.74   -6.67   24.17
 2075    8.90  -30.71   -3.46   11.09   51.74
 2076  -13.28  -51.87  -42.43    6.34   -6.86
 2077   -6.47  -36.02  -25.37    8.75    2.32
 2078    6.76  -29.32  -16.42   -3.28   20.41
 2079   17.29  -20.10   -5.04    2.48   39.81
 2080   -4.97  -50.03  -22.08    7.63   -2.09
 2081   -4.20  -49.81  -32.74    6.60   28.00
 2082    5.31  -40.81   -0.13   -1.85   -1.66
 2083   -6.44  -17.94  -25.24   -3.05    7.01
 2084   -5.33  -29.64  -17.65   -8.60   30.42
 2085   -7.15   -9.36  -15.65  -13.57   57.74
 2086  -11.07    4.78   -0.23  -12.49   -3.96
 2087   -2.25  -46.28  -40.37    3.18   13.49
 2088    4.46   -6.79   -7.51  -12.24   39.52
 2089   -0.56  -48.72  -29.86   11.01   27.18
 2090    3.50  -34.85  -30.60    8.25   35.14
 2091    9.69   -6.32  -31.97   -4.83   29.19
 2092    0.83  -43.42  -13.30    0.27    7.57
 2093   -0.95  -21.36  -14.74    1.60   18.68
 2094  -19.59  -34.30  -48.34  -18.42   -2.56
 2095   -5.90  -47.50  -24.04   -1.52   -4.77
 2096   -3.30  -44.71  -17.55   -1.47   33.78
 2097    9.41  -40.64   -5.80   17.38    0.74
 2098   -9.01  -36.99  -23.89   -6.21   25.69
 2099   -7.38  -47.28  -23.46   -8.45  -21.94
 2100   -3.11  -26.55  -43.50   -3.11   20.59
Projections under SRES A1B scenario
 2000   34.21   97.16   31.93   -7.64  -47.35
 2001   14.94  -23.65    2.44   14.05   -2.92
 2002   11.38  -19.04   19.90    0.71   11.95
 2003   23.47  -12.93   -3.60    8.32   21.50
 2004   -5.50  -35.57  -12.51   13.43  -36.29
 2005   -4.44  -32.65  -24.97    1.77    1.24
 2006   -5.08  -30.21   17.76   -8.57  -23.78
 2007   -1.39  -22.30   -1.29   12.49   -3.03
 2008   -3.86    8.27  -22.83   -8.10  -14.75
 2009   12.64  -17.76   20.24   10.32    5.23
 2010   -6.79  -18.52  -13.32    0.70  -32.91
 2011   -8.04    2.53   -7.78  -13.53   -5.02
 2012    7.81  -23.89   29.92    7.66   -0.68
 2013   -5.29   32.46   -8.28  -12.80    3.55
 2014   12.05  -18.07  -11.35    0.94    4.91
 2015   -9.08  -40.06  -18.21   -0.89  -24.74
 2016   -0.69   -8.55   -6.85   -6.95    9.60
 2017   17.52  -24.95  -18.76   -1.29   -8.30
 2018   -3.83  -11.57    2.23    0.57  -16.02
 2019   -6.03  -55.92  -10.17   -8.00   33.16
 2020   -8.55   -1.99    1.98   -3.39  -15.93
 2021    4.16  -20.50  -23.17    0.15   -5.87
 2022   -5.25  -20.30  -24.14   -0.62   -0.94
 2023   -3.28  -27.74  -26.85    7.02   -6.16
 2024   -3.25   21.15  -21.29   -7.36   24.66
 2025   -7.06  -49.92  -26.19   -6.47    1.89
 2026  -12.65  -26.64  -10.97  -16.25   -8.32
 2027   -2.63    0.01    9.10   -7.59   10.37
 2028    4.90  -57.93  -18.56   -9.88   -5.50
 2029    6.70  -41.62   -9.87    1.28    9.46
 2030    3.70    5.95  -23.87    1.32  -36.83
 2031    2.66  -47.13   -5.04    7.70   31.20
 2032    5.49  -50.70  -14.37    2.98   21.82
 2033   -1.87  -18.31  -21.30   -7.32   -6.50
 2034    1.17   -3.93   -7.19  -16.43  -12.74
 2035    5.05   -9.54  -11.54   19.44   -9.17
 2036    5.18  -48.87  -31.08   18.53   45.40
 2037   -1.11  -36.89   -6.40   -7.25   -2.77
 2038    6.79  -26.84  -19.75    3.53   13.90
 2039    4.96   -6.27   -3.55   -2.66    6.79
 2040   -9.26  -17.43  -13.30    3.27  -20.52
 2041  -11.46  -45.56  -16.50   -9.76  -28.62
 2042   -5.52  -36.46  -34.29  -10.28   22.17
 2043    5.37  -17.52  -10.43   -2.27    9.77
 2044    3.27  -19.65  -25.08   -4.58   13.46
 2045    8.44  -21.69  -20.03   13.51    3.42
 2046   10.64   -4.80  -12.35   13.96   10.70
 2047    3.41  -16.94  -23.68   -3.18   38.05
 2048   -1.14   -2.58  -19.54   -6.96   21.42
 2049    4.03    0.14  -13.69    1.32  -11.77
 2050    2.53  -22.97   11.27  -15.77   -6.99
