Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         14.1     3.5    20.0    26.5     6.6
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960  -17.49   10.60  -68.79   11.45    7.22
 1961   -5.23   -9.12   17.36   -1.97  -85.26
 1962   36.10  -59.48  -44.75   16.16  413.85
 1963   72.95  -85.25  188.17   40.88  -65.53
 1964   66.17   63.28  116.07   45.97   -2.93
 1965   44.66  -58.62  -25.44  113.55   34.51
 1966    8.69  -96.78   22.82   14.31   -1.47
 1967   -5.72   32.01  -11.55  -24.69   68.89
 1968   46.87   66.82  151.01   -7.00  -63.68
 1969   56.18  183.19  183.45  -24.82  -71.80
 1970    0.31  150.66    6.07   -5.04  -74.97
 1971   46.60  -77.82   95.22   55.76  -73.17
 1972    8.56  -74.93    0.47   37.23  -38.56
 1973   11.93  155.77   55.80  -13.32  -95.77
 1974  -37.55   76.44  -34.11  -52.46  -47.88
 1975  -17.25   26.53  -47.79    9.99  -57.29
 1976   11.31  -66.18  -14.70  -14.77  236.99
 1977   17.20  -83.35   59.45   -0.29   12.02
 1978  -34.88  -52.51  -25.69  -31.80  -66.04
 1979  -34.83  -62.39  -73.00  -35.80  100.13
 1980   24.63  -83.74   97.36    6.48  -66.72
 1981  -38.26  -52.95  -62.56   -4.88  -91.31
 1982    0.70  -61.97  -72.17   19.09  181.78
 1983   49.04  391.25   44.36   40.94  -84.46
 1984   16.28  -20.68  110.45  -32.31  -55.14
 1985   43.80  -71.00  -39.67   85.75  189.45
 1986  -30.21  -90.69  -64.35    6.35  -41.91
 1987  -23.27  -76.42  -49.72   19.07  -85.68
 1988  -33.22  -64.06  -46.74  -17.44  -39.47
 1989   10.89  -74.76  -24.07   34.13   68.84
 1990    4.85  -79.80   54.42   -8.96  -45.96
 1991   -6.89  266.42  -22.69  -53.67   86.25
 1992  -26.35  -84.92  -19.47  -14.22  -65.48
 1993  -23.01  111.83  -25.25  -24.92  -79.61
 1994    8.27  -67.86   -7.39   22.57   38.44
 1995   67.95   61.39  182.31   -5.57   19.60
 1996   14.89   -4.72  -31.01   35.23   83.03
 1997   31.55  145.62  -19.72    2.75  244.27
 1998  -21.92  -40.32   21.01  -40.46  -68.24
 1999  -41.12  -94.84  -46.82  -19.41  -83.12
 2000   46.51   17.97  -49.54  126.87   29.80
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.23  100.26  -18.14   23.24  -89.53
 2002    6.72  -96.42    3.31   33.35  -36.13
 2003   34.36  -31.57  113.78   12.39  -84.46
 2004  -15.93  -29.96  -61.01   36.76  -83.92
 2005   74.04   49.94  174.54    8.62   44.53
 2006   22.15  -95.79   -8.62   35.45  124.49
 2007  -14.46   40.61  -27.66   -6.77  -34.30
 2008  -54.87  -69.12  -59.32  -59.22  -16.21
 2009   18.69  -43.09  106.75  -17.48  -71.20
 2010   -7.80  -66.99  -52.12   22.68   35.47
 2011  -34.79  -79.86  -69.42    6.57  -72.57
 2012   43.38  -56.82  156.28    5.37  -94.61
 2013  -13.86  -77.80   -0.65  -12.92  -24.26
 2014   23.67  -85.92   77.28    1.53    7.40
 2015   78.21  -82.85  -55.74  150.43  279.98
 2016   43.49  -91.39  -17.65  117.90    0.41
 2017   20.09    6.43   55.01    9.90  -38.08
 2018  -35.13  -87.01  -74.67    1.13  -33.66
 2019  147.64  -22.70   34.83   24.05 1081.36
