Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         22.0    10.0    35.8    27.3    15.0
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    4.66    5.37    3.31  -26.70   64.49
 1961  -21.63   36.33  -34.47  -13.79  -43.83
 1962    5.23   49.06    6.65   10.01  -35.93
 1963   -2.57  -30.18   23.42  -15.44  -22.72
 1964  -29.26    4.65  -39.41  -30.49  -25.37
 1965   -9.53  -27.08   -6.90   -9.75   -3.70
 1966   25.02   18.87   49.93  -12.61   38.22
 1967    0.76   -1.74   32.26  -17.07  -40.16
 1968  -20.88  -57.33   -9.00   -9.39  -45.88
 1969   -8.29  -65.54  -17.83   71.76  -93.20
 1970   23.72  -41.06   56.58    8.12   16.81
 1971   -3.25  -21.51  -27.83    2.35   57.21
 1972   25.99   53.27   54.92   -6.93   -1.11
 1973  -22.45   -8.91  -36.70   -6.33  -26.82
 1974   -7.21    5.50    8.42  -20.96  -27.89
 1975  -14.52  -17.40    7.57  -22.49  -50.70
 1976   10.23   -8.98   -1.08   -3.61   75.13
 1977    3.47   19.36   27.04  -23.74  -13.73
 1978  -12.08   -5.22   -2.62  -10.74  -41.64
 1979   -1.80  -35.06  -18.99    5.45   48.03
 1980    3.69   31.34   31.43   -6.97  -61.31
 1981   -9.71  -45.18    4.83    1.82  -41.80
 1982   -9.96  -33.83  -19.00   -9.98   27.45
 1983   -4.01   16.01   -2.31   12.85  -52.03
 1984   -4.78  -73.38  -48.27   52.40   40.33
 1985   16.51   22.96   31.95   14.17  -20.29
 1986   16.12  122.50   22.98   -1.83  -38.22
 1987  -10.47   -8.53  -41.70   29.95  -10.94
 1988  -12.36  -22.33  -26.73   -4.15   13.53
 1989  -14.34    7.06   -8.90    6.77  -79.94
 1990    9.18   -5.46  -28.20   17.08   93.57
 1991    8.01    1.13   16.09   20.16  -28.78
 1992  -11.83  -22.56    1.51   -8.35  -42.80
 1993  -18.86   -4.86  -19.52   -8.69  -45.08
 1994   -3.55  119.65  -21.54   -7.96  -34.52
 1995  -29.45   15.99  -40.90  -24.47  -41.42
 1996   10.53  -75.97    6.34   13.97   71.72
 1997   65.88   26.52   59.23  -22.04  267.80
 1998   -1.34    3.10    1.57   21.04  -51.93
 1999   -1.35  -14.16   13.80  -16.91   -0.65
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    4.58  -41.78   -5.66    6.04   57.07
 2001    3.96   59.15    8.11    3.87  -42.40
 2002   10.95   40.08    2.95   -4.48   38.72
 2003   -1.97   73.73  -10.26    7.55  -49.80
 2004  -28.09   66.68  -48.03   -2.35  -90.37
 2005   -5.50  -62.94    3.32   13.24  -22.46
 2006   19.27   90.33   32.15    0.70  -24.82
 2007  -23.91    1.17  -20.26  -16.00  -63.66
 2008   32.19  -14.38   27.45   98.31  -45.92
