Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         29.2     9.4    22.5    73.4    11.4
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960    2.52   -1.30   -1.91   17.57   -4.69
 1961    4.84    3.19    1.59    7.46    6.98
 1962   -5.81    3.37   -8.25  -13.48   -5.03
 1963   -3.32   -0.27   -0.79  -12.31   -0.07
 1964    5.84   -2.51   -6.41   30.21    1.92
 1965   -2.28   -0.82   -0.03  -11.74    3.34
 1966   -4.37   -3.85   -5.09   -4.79   -3.88
 1967    1.99   -1.50   -0.74    6.04    4.03
 1968    8.50    4.82   26.13    0.75    2.17
 1969   -3.81    4.95    1.04  -23.05    1.68
 1970   -1.22   -0.54   -8.96    5.34   -0.88
 1971    0.68    3.36   -4.49    1.44    2.25
 1972   -6.22   -4.72   -2.30  -21.16    3.18
 1973   -0.94    2.16   -5.36   -0.96    0.25
 1974   -2.61   -0.08   -3.10   -2.04   -5.34
 1975    7.43    1.21    0.47   27.27    0.63
 1976   -2.82   -1.72   -1.42   -9.48    1.19
 1977    2.90   -0.42    1.66    7.79    2.42
 1978    7.90   -2.59    1.39   28.96    3.70
 1979    6.82   -0.06    3.72   23.02    0.63
 1980    2.19   -1.74    3.55   11.66   -4.70
 1981    2.27    1.35   -3.21   12.92   -2.00
 1982   -2.82    0.68   -0.83  -14.39    3.25
 1983   -3.87   -1.70    5.05  -14.47   -4.37
 1984   -8.03   -2.45   -6.36  -24.00    0.68
 1985    0.03   -1.16   10.42   -6.51   -2.62
 1986   -0.43   -1.54    4.41   -4.35   -0.24
 1987   -4.67   -1.33    7.46  -23.29   -1.53
 1988    3.55   -2.30  -10.01   25.50    1.02
 1989   -2.60    0.55   15.17  -25.90   -0.23
 1990  -12.16    3.17  -13.11  -30.94   -7.75
 1991   -7.44   -0.32   -1.28  -26.13   -2.02
 1992    4.40    1.06   -4.10   14.95    5.70
 1993   -0.62    8.74   13.81  -20.33   -4.71
 1994    4.91   -3.82    4.34   18.38    0.76
 1995    4.22    4.26   -0.43   11.95    1.10
 1996   -3.15    2.80   12.79  -27.86   -0.33
 1997    1.35   -0.68    3.96  -12.95   15.09
 1998    6.59    1.51   -5.54   35.67   -5.28
 1999    1.81   -1.98   -8.52   21.32   -3.57
 2000   -0.36   -3.73   -3.57   -1.42    7.27
 2001   18.57   25.77   29.95   17.16    1.42
 2002   -3.04   -2.78  -10.81   -0.09    1.54
 2003    2.57    0.21   -6.75   18.44   -1.61
 2004   -4.10   -2.17   -2.81  -12.14    0.73
 2005    7.71   -1.94   -4.75   30.05    7.49
 2006   26.94   30.00   38.98   39.51   -0.72
