Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         29.2     9.4    22.5    73.4    11.4
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960    2.52   -1.30   -1.91   17.57   -4.69
 1961   -0.16    0.41   -7.50  -21.48    1.32
 1962   -9.36   -1.39  -11.39  -32.93   -9.45
 1963  -10.99   -5.10  -11.16  -37.63   -1.09
 1964   -1.97   -3.69   -7.24   -4.02   -1.50
 1965   -8.17   -4.76  -16.23  -17.62    1.13
 1966  -10.34   -6.91   -9.51  -24.92   -4.33
 1967   -0.47   -4.55   -6.45   -4.04   -1.79
 1968   -1.81   -2.05    8.19  -15.35   -2.49
 1969   -9.62    3.52   -5.99  -27.88   -8.44
 1970   -4.71   -3.13  -12.09   -1.23   -4.57
 1971   -4.59   -1.17   -5.88  -13.36   -3.17
 1972   -9.12   -9.16   -5.43  -31.30   -1.03
 1973   -3.19   -3.33   -8.72   -8.43   -3.02
 1974   -5.27   -0.35   -5.99   -8.63   -6.57
 1975   -3.54   -0.96   -9.38    4.88   -9.12
 1976   -5.16   -3.79   -6.18  -29.85   -1.72
 1977    1.20   -2.00   -3.43    0.42   -8.29
 1978    4.34   -4.26   -1.93    9.69    3.07
 1979    2.89   -4.15    0.63   11.05    0.27
 1980   -1.40   -3.84   -0.06    3.01   -4.71
 1981   -0.24   -2.42   -3.39    7.55   -3.08
 1982   -5.70   -0.54   -3.97  -18.66    0.39
 1983   -5.35   -3.74    1.24  -18.45   -4.53
 1984   -8.12   -2.79   -7.56  -26.82   -0.96
 1985   -0.09   -1.45    8.38   -7.93   -3.44
 1986   -3.57   -2.80    4.27  -18.17   -0.39
 1987   -6.39   -1.59    6.17  -30.95   -3.34
 1988    2.85   -3.11  -12.79   18.27    0.20
 1989   -3.17    0.22   12.81  -29.32   -1.11
 1990  -13.64    1.91  -15.50  -35.59   -7.91
 1991   -8.16   -1.26   -2.93  -28.98   -2.72
 1992    2.62    0.18   -5.10    4.28    2.27
 1993   -3.38    5.44    8.44  -22.65   -4.77
 1994    4.41   -4.41   -1.63   11.96   -2.31
 1995    3.30   -0.96   -4.54   11.12   -0.66
 1996   -5.00    2.36   10.28  -33.29   -0.43
 1997   -1.08   -1.06   -1.93  -14.89    9.70
 1998    5.44    0.84   -8.10   32.20   -6.04
 1999   -2.27   -3.37  -16.52   11.96   -3.92
 2000   -3.53   -5.11   -6.16   -8.64    0.63
 2001   18.57   25.77   29.95   17.16    1.42
 2002   -3.04   -2.78  -10.81   -0.09    1.54
 2003    2.57    0.21   -6.75   18.44   -1.61
 2004   -4.10   -2.17   -2.81  -12.14    0.73
 2005    7.71   -1.94   -4.75   30.05    7.49
 2006   26.94   30.00   38.98   39.51   -0.72
