Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
      26.7737      24.1153      29.2381      28.3469      25.3945
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
 1960   -0.13   -0.02   -0.54   -0.13    0.64
 1961   -0.12    0.52    0.08   -0.78   -0.32
 1962    0.31    0.46    0.41    0.32    0.07
 1963    0.58    1.05    0.34    0.64    0.29
 1964   -0.34    0.33    0.20   -0.63   -1.25
 1965    0.01    0.13   -0.00    0.07   -0.17
 1966    0.43    0.30    0.44    0.78    0.20
 1967   -0.24    0.32   -0.21   -0.31   -0.56
 1968   -0.15   -0.35   -0.83    0.17    0.42
 1969    0.65    0.72    0.87    0.57    0.74
 1970    0.38    0.75    0.84    0.27   -0.26
 1971   -0.67   -0.12   -0.65   -0.62   -0.68
 1972   -0.21    0.01   -0.30   -0.31    0.29
 1973    0.09    1.07    0.23   -0.11   -0.14
 1974   -0.19    0.06   -0.07   -0.52   -0.19
 1975   -0.11    0.31   -0.10   -0.39   -0.18
 1976    0.03    0.13    0.02   -0.26    0.49
 1977   -0.04    0.10   -0.19    0.18    0.08
 1978    0.40    0.80    0.94   -0.45    0.32
 1979    0.73    1.03    0.67    1.12    0.77
 1980    0.92    1.22    0.99    1.06    0.92
 1981    0.48    0.60    0.02    1.31    0.50
 1982    0.08   -0.01    0.32    1.20    0.08
 1983    0.02   -1.13   -0.13    1.49    0.33
 1984    0.55    0.44    0.27    1.09    0.42
 1985    0.21    0.76   -0.15    0.67    0.43
 1986    0.70    0.55    0.13    1.55    0.67
 1987    0.97    0.58    0.06    2.11    1.24
 1988    0.41    1.19    0.83    0.40    0.33
 1989    0.17   -0.69   -0.21    1.51    0.59
 1990    0.86   -0.12    0.40    2.02    1.17
 1991    0.75    0.45    1.14    1.21    0.23
 1992   -0.27   -1.02    0.01    0.25   -0.20
 1993    0.61   -0.40   -0.07    2.06    1.18
 1994    0.59    0.40    0.88    0.46    0.70
 1995    0.80    0.60    0.83    0.94    1.07
 1996    0.41    0.55    0.57    0.83    0.45
 1997    0.58    0.12    0.37    1.14    0.73
 1998    0.86    0.57    1.56    0.89    0.98
 1999    0.83    1.55    1.20    0.69    0.59
 2000    0.85    0.81    1.16    1.41    0.78
 2001    0.87    0.50    0.96    1.20    1.04
 2002    1.07    0.97    0.95    1.21    1.23
 2003    1.05    1.48    1.24    1.24    0.89
 2004    0.89    0.96    0.94    0.88    0.81
 2005    0.92    1.39    1.03    0.64    0.86
 2006    1.03    1.23    0.73    0.99    1.18
