Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         29.2     9.4    22.5    73.4    11.4
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960    7.47  -11.87   -7.46   20.13  -39.95
 1961   -0.48    5.41  -28.63  -24.60   11.27
 1962  -27.69  -12.95  -65.35  -37.72  -80.58
 1963  -32.52  -47.36  -43.62  -43.10   -9.27
 1964   -5.83  -33.66  -29.19   -4.61  -11.99
 1965  -34.05  -55.23  -68.85  -29.15   10.78
 1966  -33.85  -63.08  -41.25  -31.60  -41.24
 1967   -1.97  -42.27  -24.64   -6.68  -15.30
 1968   -7.56  -19.04   46.98  -25.39  -19.90
 1969  -40.11   32.18  -34.40  -46.11  -80.47
 1970  -14.05  -29.07  -69.36   -2.03  -36.57
 1971  -14.41  -10.90  -22.99  -22.10  -25.37
 1972  -38.05  -83.67  -21.23  -51.78   -9.80
 1973   -9.51  -30.94  -50.05   -9.66  -24.14
 1974  -21.97   -4.43  -31.76  -14.28  -62.66
 1975  -10.48   -8.78  -36.67    5.59  -77.74
 1976  -15.26  -34.62  -35.45  -34.19  -16.42
 1977    3.54  -26.46  -13.10    0.48  -70.71
 1978   12.83  -38.91  -11.10   11.10   29.25
 1979    8.62  -37.93    2.39   13.06    2.16
 1980   -5.84  -50.80   -0.35    4.97  -44.92
 1981   -1.01  -31.99  -17.36   12.49  -29.37
 1982  -23.75   -7.12  -22.81  -30.87    3.68
 1983  -22.31  -34.72    7.11  -30.52  -43.19
 1984  -33.86  -36.95  -29.65  -44.37   -7.64
 1985   -0.27  -13.43   47.53   -9.36  -27.53
 1986  -14.88  -25.99   17.41  -30.06   -3.11
 1987  -26.65  -14.74   33.35  -51.20  -26.73
 1988   11.87  -28.92  -48.82   30.23    1.63
 1989  -13.22    2.90   48.91  -48.50  -10.61
 1990  -44.50   25.24  -61.51  -43.48  -72.34
 1991  -28.03  -16.63  -11.19  -38.51  -25.91
 1992    7.82    1.64  -29.27    5.05   21.65
 1993  -14.11   72.04   48.46  -37.46  -45.49
 1994   13.14  -58.38   -6.24   19.78  -18.47
 1995    9.84   -8.88  -26.05   13.14   -5.25
 1996  -14.91   30.18   39.26  -39.33   -4.07
 1997   -4.49  -14.05  -11.06  -18.22   92.40
 1998   16.23   11.16  -30.91   38.04  -57.60
 1999   -6.76  -44.58  -63.06   14.13  -31.33
 2000  -14.71  -67.64  -23.53  -14.29    5.97
 2001   55.40  239.40  114.32   20.27   11.34
 2002   -9.06  -25.78  -41.29   -0.11   12.29
 2003    7.68    1.97  -25.75   21.78  -12.87
 2004  -12.22  -20.15  -10.72  -14.34    5.82
 2005   23.00  -18.00  -18.13   35.50   59.91
 2006   80.36  278.65  148.82   46.68   -5.79
