Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         37.52    48.48    31.37    25.07    35.63
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -33.96      NaN      NaN      NaN      NaN
1961     -0.30     3.43     5.08    -6.39    10.97
1962      1.82    15.76     4.82    -0.08     5.74
1963     -7.44    -3.28    12.05    -6.85   -20.61
1964      7.12   -10.96    -0.91     2.66     7.93
1965     -0.34   -11.79    -6.13    -6.00    -0.24
1966     -0.75    -1.43     0.49     1.52    -1.15
1967     -1.00   -14.52   -10.81    -7.00    17.35
1968      5.93     9.65    -7.42     0.44    25.46
1969      2.24    13.06    -5.72     5.78    10.48
1970      1.02    -0.28     7.95     2.08   -12.62
1971     -0.29    -5.65     1.49     0.68    -2.36
1972      5.31    22.05     6.58    -3.22    -1.08
1973     -7.09   -16.30     0.52    -7.65   -21.87
1974     -3.81   -13.67    -9.79     1.21     6.31
1975      6.21     5.13     9.58     6.06    23.83
1976      1.62     6.28     2.77     2.51    -0.48
1977      6.45    -2.64    14.55     6.12   -13.84
1978      3.39     8.25    -0.13     0.55    16.29
1979     -3.11     5.00   -15.20     0.09     0.94
1980     -6.71    -8.52   -20.83    -1.98    -0.10
1981     -2.15    -9.51    -9.88     3.65     2.31
1982     -1.07     0.90    -9.94    -8.03    13.55
1983     -2.92    -2.47   -12.49    -1.92     9.29
1984     -1.86    -8.52    -9.39    -1.67     3.93
1985      0.64    24.32    15.44    -2.79   -13.66
1986      3.23     0.31     2.63     2.91   -11.12
1987      6.70     8.98     5.68     4.86     0.05
1988     -0.57     5.62    -1.93    -0.23    -1.92
1989     -2.39     0.49     6.49    -6.29    -7.13
1990     -7.53     6.38     0.91    -6.16    -5.72
1991     -0.60   -22.51    -1.48     4.22    10.38
1992      5.79   -21.64    -9.18     4.37    18.27
1993     -1.97   -30.18     5.15    -4.41    -6.34
1994     -6.08     7.30    -6.19     0.31   -16.17
1995      1.60     1.95    -6.99    10.00     4.95
1996      0.25    17.42    -8.13     6.00    10.27
1997      0.49    12.45     7.91    -6.38     4.14
1998      4.88    -6.06    20.93    -0.31    -6.76
1999      0.59    15.10    12.98    -4.59    -3.36
2000      1.17    16.12     0.86    -2.29     1.40
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.09     2.44     9.67    -0.32    -4.53
2047      0.96    13.99    -6.13    -6.24    18.98
2048      1.51    -9.95     7.01   -10.59     5.01
2049      5.79     5.08    -2.81    -1.75    17.59
2050      0.44     9.20    -8.34    -5.98     5.87
2051     -5.18   -22.42   -18.27     5.14    -5.75
2052     -0.09    -7.93    -0.77    -2.19     2.72
2053      2.22    -3.71    -0.16     5.01     4.79
2054      3.91     8.41    -0.16     0.30     8.50
2055      1.45    -1.04     0.60    -8.64     3.45
2056     -6.41    10.26    -0.77    -7.27    -5.98
2057     -0.64     8.52    -8.15    -2.44    17.78
2058      0.01    -2.35     3.25     4.55    -2.90
2059      0.65     4.47    11.50     0.53     6.33
2060     -4.08     9.60   -14.26    -6.08     9.77
2061     -7.92     4.37   -12.27     0.15    -8.67
2062     -8.25    -3.84    -7.05    -9.13    -0.12
2063     -3.98     5.27    -3.78    -2.58     0.73
2064     -4.59     0.74    -8.46    -3.05     3.46
2065      0.15    -5.51    -1.56     0.98    12.14
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      6.00    14.00     3.98     3.71    -6.13
2082      0.15     9.09     0.56    -5.02     0.80
2083      2.52     5.52     4.70    -9.23    13.36
2084      4.17   -14.76    -4.00     7.27    15.26
2085      4.81    -3.54     6.72     4.02     6.51
2086      0.59    -4.76     0.09    -2.22     5.57
2087      0.11     9.45     4.36    -3.57     4.46
2088     11.12     6.75    16.65     7.90    28.73
2089      7.85   -28.08    -1.65    -6.10    25.00
2090     -0.91    -1.07     1.05   -11.10    10.35
2091      7.87     3.04    -2.50    13.05    10.41
2092     -0.24   -38.43    -1.45    -0.32     9.59
2093     -0.24    -8.29    -1.34     5.56     5.74
2094     -6.01    -4.28   -10.75   -10.06     6.30
2095      3.46   -16.33     0.55    -2.41    12.48
2096     -4.84     8.55    -5.24    -5.88    -7.19
2097      1.75    14.93    10.41    -0.86     1.79
2098      2.33   -14.20    -7.94     0.25    16.48
2099      1.27   -15.60   -10.53     4.21    20.42
2100      1.71     7.19    -2.68    -9.69    20.26
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -2.66    13.22    -3.94     2.67    -3.25
2047      0.48    11.75    -0.02    -0.65     7.63
2048     -0.25     8.03     5.57    -3.27    -6.70
2049     -5.33     5.34   -20.08    -7.90     2.79
2050     -1.62     5.75     2.64    -2.46    -1.80
2051     -0.61   -20.22    -8.27     0.63    -2.51
2052      5.06   -10.31    -0.70     0.37    10.78
2053      2.94    -5.59     3.27    -2.38    12.23
2054      3.64    17.87     5.51    -3.70    12.37
2055     -4.56    -2.45   -10.96    -6.46     3.61
2056      3.35   -23.65     8.15     0.24     4.92
2057     -1.62     0.04     2.12     0.33     5.18
2058     -9.61   -10.77   -15.23    -9.61   -11.31
2059     -0.15    -1.42   -10.55     3.64    -1.93
2060      0.73    -6.29     0.15    -5.43    10.94
2061      1.45   -23.28     1.16    -6.81     6.51
2062      0.60     2.09   -14.71    -9.00    25.07
2063     -4.99     4.33   -16.22    -1.02    -1.29
2064      3.73    -1.91     2.42    -0.82    -1.66
2065      1.12   -25.93    -4.77    -8.29    -0.59
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -6.02    11.11   -13.53     2.48    -6.25
2082      8.81   -10.03   -11.80     7.43    22.26
2083    -13.72    14.82   -12.37    -6.79    -6.66
2084      2.49    13.35    -0.40     2.79     6.79
2085     -3.89    -3.48    -7.65   -13.00    12.93
2086      1.93    28.92     7.54    -5.39    15.38
2087      1.22    -8.61    10.82    -1.66    -0.39
2088     -4.83    -7.27   -12.97    -2.31    -1.30
2089     -0.89    15.90    -5.91     0.92    -5.36
2090     -2.30     9.14    -2.03     0.60     7.26
2091      6.10   -17.11   -11.94    -0.27    17.07
