Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         46.90    62.23    36.75    37.48    38.22
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960      1.55      NaN      NaN      NaN      NaN
1961      0.15    21.61     6.94     4.46   -12.58
1962     -3.41    -0.56     7.25    -5.28    -2.03
1963      7.82    20.33     6.87     5.67     7.20
1964      3.36     4.50     7.30   -13.21     8.13
1965      0.33    11.46     4.69    -2.34     7.49
1966     -5.29    24.15    -8.18   -15.41    -1.64
1967     -6.42    -2.49    -7.66     7.93   -13.62
1968      7.07   -34.77    15.73    25.56   -14.50
1969     -3.38    14.76     0.53    -1.03   -22.71
1970      9.32     2.51   -11.60   -10.57    24.47
1971     -3.44    12.20    10.87    -9.31    -8.57
1972      5.05    -3.24     9.76    11.26     6.71
1973      4.80     8.26     1.15    -0.73    21.36
1974      0.35    14.66     6.09    -0.69    -1.84
1975     -0.92    11.57     0.44    -1.18     4.00
1976    -12.60   -40.84    -7.83   -18.38   -13.91
1977     -2.46    10.97    -2.23    -6.82    -5.61
1978      0.50    24.21   -12.50    10.83    -0.39
1979     -2.65    10.23     1.32     6.77    -5.86
1980     -1.54   -21.09   -21.04     4.52     9.55
1981     -2.00    -1.93   -11.73     6.09    -3.19
1982     -6.01    17.61    10.44    -4.10   -22.36
1983     -2.88    17.69    14.45   -12.41     5.61
1984      0.53    14.67    -7.88     4.05    -7.34
1985      5.70   -17.20     0.12     0.38    15.45
1986     -2.93   -34.04     0.00    -2.23    12.40
1987     14.40     1.93    14.45    22.08    21.17
1988      7.41    17.78    14.06     4.05     5.45
1989     -3.69     5.70    -9.33     1.58     0.52
1990     -2.94     7.57     9.26   -10.65    -2.03
1991     -5.37   -21.89     5.77     8.21   -33.25
1992      5.87   -39.63     9.56    26.56   -27.08
1993      2.89     3.62     1.51   -21.92     0.06
1994      4.39    13.56    11.83     6.57     5.23
1995      0.59    12.00     6.77    -5.09    -7.61
1996     -3.88    13.43   -16.16    -1.10     1.52
1997     -4.74   -16.29    -9.17     0.23    -3.27
1998      2.28    -9.00    -8.75     1.67     6.30
1999     -6.04   -15.03    -9.65    -9.67     2.53
2000    -12.38    -8.33     2.50   -10.47   -20.07
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     11.49   -28.34    11.38     1.29    24.82
2047     -2.44   -12.93    -8.77     4.81   -17.29
2048      2.85   -12.25     1.14     1.78     9.13
2049     -3.42   -25.50    -2.25   -14.37    -3.86
2050      4.13   -11.11   -14.98     3.03    10.12
2051      7.44    -0.31    -4.58     6.77    10.47
2052      0.68    22.48    13.32    -1.87   -11.10
2053     -3.45    11.37    11.38    -9.31   -14.67
2054     13.98    16.41    14.87     0.16    26.37
2055     -1.86     4.08     5.33     6.31    -8.86
2056     -1.37    10.10     1.51     6.36    -3.69
2057      2.83   -32.04     5.23    -1.37     2.03
2058      6.36   -32.35    -1.59    11.69    16.77
2059     -0.37   -15.48    -1.54    -1.49     4.78
2060     -2.46    -8.22     3.72    -2.44    -3.10
2061      5.78   -26.12    12.32    14.78     9.43
2062      0.62    20.09     2.80     1.02     4.99
2063     -3.06    -8.45     7.71     2.86    -6.99
2064      4.24   -13.38    -8.80    12.54     2.28
2065      0.14     2.44   -19.67    15.30   -11.97
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     10.67    14.21     5.18     0.79    27.16
2082      7.51    -4.79     8.81    17.37     6.87
2083     13.77     4.02    25.13    27.30     2.27
2084      5.96    -8.98    14.96     7.06    12.09
2085      1.50    -2.78   -12.76     2.03   -12.54
2086      6.86    13.84    22.57    10.25    -0.86
2087      7.55   -28.43     7.91    10.26     2.95
2088      2.32    10.90     5.54    -1.56     5.61
2089     -0.70    -0.14     7.62    -1.86     1.75
2090      7.27    14.77     5.72    15.44    -2.39
2091      6.33    22.35    -9.06     7.49    13.90
2092      1.91    15.13     6.34    10.46   -21.30
2093      7.50     6.12     6.52    -6.35     4.97
2094      7.09    23.37    16.03    -0.17     9.37
2095      8.89   -15.99    -6.36    20.37    13.77
2096      6.62    -0.10   -17.32     6.52    18.76
2097      7.28     7.36     1.48     6.94    13.12
2098      5.40     6.90    13.69     8.65    -9.31
2099      3.71   -34.20     7.03     0.36     5.16
2100      1.60    -3.62     3.47     6.31   -26.26
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
