Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.42    13.36     8.52     7.05     3.13
1962      5.73     3.25     6.07     4.09     4.56
1963      1.89     6.94     7.98     3.25     6.14
1964     17.78     6.35    16.24     9.18    23.78
1965      4.24     7.20     6.27    12.57     9.50
1966      8.21    10.24     8.19     7.75     8.50
1967      1.80     1.65     7.86     3.16    13.74
1968     13.88     5.49    18.31     2.71    18.83
1969      1.75     2.40     6.39     7.59     4.68
1970     16.56     6.14     5.06    18.07     9.57
1971      4.09    10.10     3.36     6.26     6.08
1972      8.70    16.41     3.68     3.13     5.21
1973      6.33     3.17     5.16     3.55     6.76
1974      4.79     9.59     5.20     4.67     6.81
1975      7.46     8.20    12.06     8.04     9.67
1976      7.46     7.07    16.72     3.47     8.04
1977      8.75     7.55     8.60     6.30     4.17
1978      6.31    10.79     5.02     6.33    16.07
1979      8.14     2.69     2.10    10.76     2.42
1980      5.90     3.28     8.08     2.44    15.41
1981      5.63     4.90     9.44     7.60     4.56
1982      7.54     5.41     4.96     7.30    15.09
1983      0.73     7.90     3.16     0.86     7.44
1984      9.77     5.22     4.22     3.57    15.03
1985      8.82     7.65     3.93     2.57    14.16
1986      7.90     2.96     8.52     8.01     4.50
1987     10.46     5.57    10.78    10.47    12.11
1988      3.09     8.86     4.62     2.87     9.85
1989      8.60     1.96     3.84    17.38     7.35
1990      8.42     2.51     5.88     2.89    10.77
1991     12.07     5.35     6.32    18.47     8.26
1992      7.49     5.14     3.03     7.69    11.41
1993      9.18     9.96    16.79     2.07    11.08
1994     10.15     4.80     7.07     4.17    14.88
1995      9.17     4.92    12.74     6.08     4.82
1996     13.92     6.81     5.28     3.30    14.48
1997     14.97     4.81    10.65     7.35     7.31
1998     22.24     7.46    26.74    10.25     5.45
1999      5.51     7.73     7.19     2.31    10.39
2000     13.86    13.05    11.36     7.61    18.93
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     20.42     4.46    11.45    11.91    23.20
2047      7.77    10.47     3.58     7.72    10.73
2048     17.15     3.92     8.23    13.62    15.87
2049     25.93     4.56    20.38    19.50    29.08
2050     14.96     2.80     6.88     7.56    27.52
2051     16.54    13.03    12.25    15.32    13.02
2052      8.45    15.22     9.58     9.32    14.82
2053      9.32     7.88     9.59     7.99    16.22
2054     14.97    11.02     5.31    12.44    14.06
2055     21.31    16.94    14.79     6.98    29.16
2056     12.27     5.21    10.43    10.19    16.01
2057     17.51    18.06    10.16     6.13    20.35
2058     10.08     9.60     7.52     9.18    15.29
2059     27.16    24.65    13.20     8.29    28.08
2060     16.34     5.36    19.55    10.64     7.33
2061     14.73     7.41    13.78     7.63     9.08
2062     24.20     6.29     9.79    26.71    27.92
2063     31.29    14.47    10.81    17.24    32.68
2064     21.89    14.23     9.37    19.99     8.01
2065     21.38     3.12     7.78    14.83    17.63
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
