Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         23.78     6.70    15.33    16.92    15.88
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -0.82     4.29     3.22    -3.50    -2.28
1962     -1.96     1.97    -1.94     1.21    -2.29
1963     -0.21    -4.18    -1.69     0.70    -1.65
1964     -4.36    -1.33    -4.62    -4.97    -2.29
1965     -1.22    -3.18     3.92    -5.66     3.40
1966      8.21     8.65    -2.76     7.75     8.50
1967     -0.23     0.99    -2.56    -0.76     2.85
1968     -0.91    -2.64     1.95    -0.58    -2.04
1969     -4.02     1.13    -1.65    -2.80    -1.90
1970     -2.43     3.38     0.22    -2.11    -1.73
1971      1.49    -0.95     2.29    -0.38     1.76
1972     -2.68     0.74     1.47    -4.86     2.57
1973     -0.68    -5.27    -1.17     0.63    -1.41
1974     -1.87    -1.58     0.76     1.65    -4.38
1975     -3.09    -0.38    -2.08    -2.03    -3.33
1976      1.22     7.07     3.69     0.34    -1.07
1977     -3.59    -0.35     0.37    -5.70    -5.11
1978      1.67     1.55     0.11     1.86     0.99
1979      2.63     1.54    -1.05     3.53     2.26
1980     -0.31     3.28     1.68     2.44    -4.79
1981     -2.99    -4.84    -2.00    -1.05    -5.87
1982      2.80    -3.66     3.94     5.05     0.88
1983     -0.18     5.76     1.23    -1.55     3.11
1984      1.52     5.22     0.83     2.14    -1.17
1985      0.29    -0.41     2.89    -1.00     0.52
1986      2.37    -2.89    -2.05     5.26    -2.87
1987      2.47     5.57     8.23    -4.90     3.08
1988      3.09     4.15    -0.54    -4.43     9.85
1989     -1.74    -4.59    -2.56    -0.43    -2.54
1990     -1.31    -4.98    -2.73     2.89     0.17
1991      3.06     0.05    -3.55     0.92     8.26
1992     -5.32    -2.73    -2.11    -5.72    -4.02
1993     -1.10     3.66    -1.80    -1.76    -1.97
1994      1.46    -0.73    -0.22     0.23     4.82
1995      0.65    -3.16     2.68     2.61     0.97
1996      1.50     0.72     0.94     3.30    -4.13
1997      5.27    -2.06    -2.88     6.35     5.28
1998     -0.84    -0.42    -3.56    -0.18     0.53
1999     -3.36    -3.69    -3.04    -3.09    -0.68
2000      2.17    -3.31    -4.40     3.69    -1.93
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      6.13     2.89    -1.79    -2.14    13.47
2047      2.52    10.47    -0.93    -2.19     6.42
2048      0.88     2.90    -2.05     5.28     0.94
2049      5.62     0.97    -6.26     8.93    -2.19
2050      7.55    -1.30     6.88     2.21    -2.32
2051     -2.06     1.64    -2.09    -3.92     0.69
2052     -3.18     5.12     0.58    -3.53    -1.10
2053      3.54    -4.48    -2.38     6.42    -2.16
2054     -1.36    -3.29    -1.82    -2.37     1.26
2055      6.28    16.94     4.73     3.18     4.95
2056     12.27     4.32    10.43    10.19     3.23
2057      4.85     3.55     3.76     6.13    -1.65
2058      9.69     1.00    -1.07     6.20     1.85
2059      6.37    -2.01    -0.51     4.81     3.40
2060      3.84     0.85    -1.22    -4.72     7.33
2061      3.22     1.13     0.49     1.97     3.79
2062      1.16    -1.54    -1.06     1.87     1.77
2063      0.03    -4.89    -3.01    -6.37     3.11
2064     21.89    14.23     5.42    19.99     5.73
2065     12.37     0.36     2.75    14.83    -2.19
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     15.87    -1.21     0.94    11.45    20.65
2082      3.95    -3.20    -1.11     5.91     0.07
2083      3.36    -0.87    -1.00    -1.22     8.64
2084      6.11    -4.02    -0.92     3.78     3.04
2085      6.98    10.93     3.59    -1.91     9.76
2086      3.35     5.37     1.98    -3.23     7.85
2087      5.64     0.40    -3.37     0.13    12.54
2088      6.18     5.89    -2.07     6.91     1.90
2089     12.96    -5.41     2.89    11.52     4.53
2090     12.02    22.79    -1.37     1.17     6.16
2091      5.15    -3.26     2.98    -5.61    12.28
2092     16.58     9.36    -3.19    19.94     7.78
2093      1.40     1.03     3.14    -3.59     4.16
2094      1.79    -3.06    -2.74    -4.39     7.32
2095      5.03    -2.13     0.52     3.22    -0.04
2096      1.59    -3.26    -1.49    -2.65     5.43
2097      5.05    -2.32    -0.90     3.26     4.73
2098      3.97     8.33    -3.10     0.20     4.98
2099      8.99    -2.94    -0.93     2.94     9.09
2100     17.79    -6.33    -2.07    20.15     5.83
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.93    -6.16     5.05     1.36     2.64
2047     -0.81     1.19     1.26    -4.67     1.39
2048      2.95     4.43    -3.99     6.84     2.34
2049      8.35    -0.62    -1.30     9.05     1.85
2050      0.76     0.46     2.46    -0.25     4.60
2051     11.12    -3.12    -0.76    16.24    -0.35
2052      3.56    -2.21    -0.45     6.40    -1.85
2053      9.38    -0.85    -3.33    11.10    -0.41
2054      0.58     0.27    -4.54     0.84     4.21
2055      3.71    -0.88    -3.81    -2.20     3.79
2056      9.64    12.10     2.90     9.80     5.26
2057     -0.68    -1.81    -0.19    -1.81    -0.12
2058     -0.28    -4.10    -6.22    -1.64     4.29
2059      3.45     4.84    -0.02     3.39     1.68
