Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
        100.33    25.78    68.83    74.48    57.37
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.85    13.37     4.36     3.48     4.42
1962     13.83    -4.49   -18.14    13.84     2.56
1963      2.97    10.62    -3.09    -1.67    16.57
1964      6.50    10.50    -4.37     1.03    14.05
1965      2.80    -9.53     7.70    16.87    -4.90
1966    -11.87   -10.61    -7.33    -9.84    -6.98
1967     -7.23    -3.72   -12.23    -5.61    18.40
1968     11.09     2.51    18.80     7.04   -15.31
1969     -3.46   -13.07     0.49    -9.39     0.66
1970     -5.60     6.13    -1.92    -8.03     3.31
1971    -21.18    -4.05   -17.99    -5.01   -14.54
1972    -14.67    -3.73    -3.86   -11.78    -8.11
1973      2.69     7.26     1.96     1.66     7.04
1974    -11.19    -1.09   -11.52    -3.76    -5.65
1975      1.32     9.64     4.90     5.18     1.90
1976     15.38     8.33    33.93     1.98     1.73
1977      5.13    -7.78    15.84     1.68     0.44
1978     10.07    -7.02     7.40    -0.39    19.54
1979     -2.60    -9.17    -3.70     7.85   -10.32
1980      9.67     8.02    12.43    -2.16    32.50
1981      7.23     6.26    18.27     8.03   -21.74
1982     -1.00   -16.35     0.49    -3.45    18.46
1983     -6.59    -0.20    -5.35   -13.71    -9.07
1984     12.85     7.95     8.24     8.10    20.05
1985     -8.45     4.50    -2.48    -5.24   -13.16
1986      2.96     3.17     4.96     4.82   -12.45
1987     -8.10    -1.91     8.51    -3.22    -4.45
1988      1.84    18.92   -27.27    13.80    -3.72
1989    -15.97    -6.67   -10.90    -9.17   -20.52
1990     14.40     7.52    11.48    -2.51    17.75
1991     -3.31     2.50     4.46    -7.26   -11.50
1992    -11.37     1.95   -36.39     4.23   -23.39
1993     16.01    -8.43    32.90    -9.58    23.58
