Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.98     9.96     9.99     9.99    10.00
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.81     1.29    20.31    35.45    33.37
1962     18.93    29.93    25.23    16.97    20.75
1963     11.70     9.81    16.34    15.53     9.85
1964     16.30     6.72    34.65    39.73    20.76
1965     28.51    25.75    39.90    68.24    29.17
1966     23.67    16.67    17.49    57.64    30.31
1967     17.04    26.75    18.79    16.19     8.55
1968      9.37     3.36    15.50    24.41     9.18
1969     11.66    14.74    10.08    11.20     9.30
1970     26.48    12.95    39.48    71.15    37.33
1971     12.41    11.06    13.65     6.43    11.12
1972     11.31     6.47     3.74    11.88    21.16
1973     11.26    14.25    19.59     7.87    10.52
1974      9.21     6.34    10.76    10.26     6.95
1975      8.29     2.65    10.39    12.02     8.90
1976     10.91    14.21    14.73    12.95    10.59
1977     13.64    26.75    10.73     8.76     7.91
1978     12.35    12.96     6.61     9.25    16.18
1979     13.04    13.30    11.84    11.77    10.59
1980      5.07     4.05     2.35     3.22     4.75
1981      5.53     3.10     6.61     4.03     6.59
1982     10.13    15.13     5.84     6.19     6.37
1983     11.03     6.42    16.55    11.03     8.82
1984     14.94    18.55     4.62    18.52    12.64
1985     15.13    26.91    17.36     4.84    10.40
1986      8.00     2.93     8.29    23.53     7.18
1987      8.78     9.63     7.75     5.11     6.76
1988      7.13    12.94     1.85     0.51     2.46
1989      5.70     2.74     3.92     5.68     8.86
1990      6.30     4.83     6.61     2.10     2.90
1991      3.13     0.82     1.25     1.47     6.55
1992      5.09     2.61     4.92     1.29     7.59
1993      8.75     8.11    10.04     5.22     8.26
1994      7.77     3.60     4.75     6.37    15.08
1995     11.05    15.82    18.98     7.17     5.15
1996      8.22     6.77     3.46     5.71    10.90
1997     11.91    14.75     4.74     8.36    12.88
1998      6.69     8.97     8.46     6.92     5.24
1999     10.25     9.15    19.69    10.04     9.44
2000      4.05     3.04     3.96     0.85     3.15
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.12     0.04     0.94     0.00     4.36
2047      1.38     0.79     0.64     0.00     0.37
2048      1.69     2.95     0.65     0.03     1.53
2049      9.79    21.25     3.92     1.05     0.57
2050      0.47     0.49     0.03     0.00     0.01
2051      2.63     3.63     0.35     0.59     1.00
2052      2.50     4.86     0.34     0.31     0.06
2053      0.89     0.03     1.43     0.56     1.00
2054      0.59     0.73     0.23     0.00     0.29
2055      0.84     0.57     0.03     0.00     0.28
2056      0.88     0.59     0.00     0.00     1.61
2057      0.63     1.16     0.00     0.00     0.20
2058      0.92     0.03     0.05     0.00     2.46
2059      1.79     1.08     0.41     0.00     0.83
2060      1.02     0.64     0.16     0.00     0.00
2061      0.24     0.36     0.04     0.00     0.03
2062      0.97     0.17     0.15     0.00     0.66
2063      0.46     0.38     0.00     0.00     0.24
2064      1.28     0.04     0.92     0.79     1.88
2065      1.16     1.80     0.01     0.00     0.05
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.15     0.03     0.00     0.00     0.00
2082      0.12     0.02     0.00     0.00     0.00
2083      0.05     0.00     0.01     0.00     0.15
2084      0.56     1.51     0.21     0.00     0.00
2085      0.11     0.00     0.06     0.00     0.11
2086      0.20     0.00     0.00     0.00     0.07
