Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97    10.00     9.99    10.00    10.01
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      2.70     1.27     1.28     0.97     0.61
1962      3.73     4.07     3.35     1.13     6.31
1963      7.64     6.92     8.93     5.68     5.35
1964      5.44     3.54     4.50     3.60     3.71
1965      7.53    12.13     3.56     7.26    16.19
1966      7.28    13.43     6.33     6.22     6.11
1967      4.94     2.46     5.14     2.67     2.01
1968      7.37    15.47     5.74     5.88    17.30
1969     15.40    11.17    18.91    19.98    15.01
1970      6.58     9.90     4.72     4.87     4.76
1971      5.41     5.61     3.03     3.28     3.70
1972      6.74    16.84     4.12     5.38     6.60
1973     13.00    18.49    10.79    15.88     8.68
1974      6.87     3.93     6.64     4.17    13.29
1975      9.39    16.82     7.07     6.92    10.41
1976      9.97    11.44     9.29     9.27     5.79
1977      4.76     5.84     5.39     0.94     5.29
1978      3.98     3.83     3.08     2.92     9.99
1979      6.83     1.37     6.09     5.64     1.24
1980      1.79     5.92     1.04     0.24     0.89
1981      6.40     9.00     4.56     4.97    13.59
1982      8.53    17.56     4.67     9.81    11.61
1983      9.69    14.27     9.88     6.32    11.36
1984      7.93    11.45     5.99     5.52     7.56
1985     10.78     3.08    10.17     8.43    11.50
1986     10.91     5.91    10.32    12.95    11.66
1987     20.15    14.72    33.36    20.60    14.49
1988     13.94    15.33     8.74    19.72    19.21
1989     15.35     6.50    19.57    16.17     9.51
1990      5.76     1.27     5.98     4.62     2.07
1991      7.17     8.13     6.39     6.80     8.33
1992      9.51    15.39     7.91     6.87    11.30
1993     19.38    11.86    18.75    33.40    21.82
1994     18.85     9.84    30.79    25.54    12.95
1995     12.50     9.11    16.64    12.27     5.38
1996      9.88     6.82     9.36    10.97    15.36
1997      9.77     8.30    11.48     9.75     3.32
1998      7.45     7.65     6.47     4.40     7.64
1999     19.70    23.71    17.34    21.37    30.86
2000     18.58    19.68    17.64    32.37    11.85
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
