Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00    10.00     9.99    10.02    10.01
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     13.24    19.02     9.97    20.96     5.26
1962     11.38    13.06    10.29    12.43    12.99
1963     12.50    18.67     4.77     6.75    20.35
1964     10.45    14.76     9.72    14.31     6.24
1965     10.91     6.63    15.30    12.97    11.15
1966     11.39    18.77    12.49     9.58     7.43
1967     14.04     6.96    15.56    19.91     9.92
1968     12.59    12.34    17.60     8.30    14.68
1969      6.09     8.79     6.38     4.93     5.21
1970      7.08    12.01     8.16    10.41     3.76
1971     12.88     9.37    12.16    10.29    13.20
1972     10.66    14.79     9.89    14.99     7.40
1973      9.91     5.57    14.24     5.93    15.09
1974     15.31    16.45    11.91     9.87    19.73
1975      8.45     9.51    11.71     9.12     4.99
1976     10.87    10.19     8.74    12.41    13.11
1977     15.92    14.33    21.08    12.78    11.55
1978     10.35     8.13     4.85    10.10    14.42
1979     10.79     5.38     8.31    13.98     8.42
1980     14.39    12.79    12.01    24.22     9.64
1981     10.12    10.13     8.54     5.76    19.92
1982     12.71    11.30    16.99     8.98    13.37
1983     11.32    13.88     6.59    17.41     9.29
1984     10.49    16.50    13.51    10.23     4.26
1985      8.88     7.57    14.09     7.56     7.91
1986      9.30     7.82     8.03     3.34    14.41
1987      6.29     6.32     5.82     7.72     7.06
1988      7.56    13.03     7.08     9.06     5.58
1989      8.22     3.56    14.19     8.61     9.62
1990      9.51    11.64     6.84    13.10     6.75
1991     10.49     9.04    10.18     9.14    11.52
1992     11.77    15.91    13.93    11.88     7.17
1993      7.47     5.42     6.77     3.77    14.40
1994      8.01     7.13     7.93    11.28     7.00
1995      8.54    10.46     3.93     6.68    10.09
1996      6.89     9.57     4.95     5.23     6.67
1997      9.59     7.82     7.77    11.68     6.31
1998      8.78     9.09    12.81     7.81     6.68
1999      7.43     5.18     6.84     7.40    10.96
2000      7.49     7.54     6.20     6.07     6.67
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.10     1.94     3.56     1.01     2.07
2047      5.71     3.36     3.42     7.80     3.96
2048      6.60     4.30     6.18     7.13     3.76
2049      3.58     4.37     2.29     1.60     4.82
2050      6.22     5.76     1.62     0.49    15.03
2051      2.26     3.32     3.57     1.04     2.49
2052      2.39     1.95     0.41     1.31     4.39
2053      3.32     1.17     0.56     1.88     4.83
2054      3.12     4.11     3.26     1.70     1.03
2055      2.30     1.62     2.20     1.69     3.49
2056      2.15     0.85     0.12     1.68     3.85
2057      3.37     5.85     1.66     2.37     4.02
2058      5.72     0.69     1.97    13.41     3.90
2059      2.84     2.40     1.58     1.37     3.92
2060      3.61     3.02     1.08     2.68     3.41
2061      1.31     0.43     1.49     0.00     2.63
2062      2.61     0.59     0.90     0.47     6.84
2063      2.35     1.76     5.18     1.61     1.78
2064      1.84     2.34     0.00     1.10     2.92
2065      3.01     0.72     3.14     1.90     2.83
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      1.27     1.68     1.06     0.49     0.64
2082      1.51     0.73     0.10     2.56     0.97
2083      1.26     0.86     0.05     0.29     2.03
2084      1.74     0.40     2.03     1.06     1.99
2085      0.68     0.32     0.00     0.74     0.61
2086      1.14     0.59     0.24     0.39     1.89
2087      0.91     0.48     0.61     0.91     0.78
2088      0.72     0.36     1.32     0.06     0.61
2089      0.84     0.87     0.52     0.53     0.78
2090      0.60     0.10     0.15     0.07     1.65
2091      0.68     0.25     0.57     0.13     0.90
2092      0.82     0.61     1.05     0.57     0.89
2093      1.04     1.93     0.26     0.15     1.20
