Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         64.3    11.0   100.8    86.8    58.5
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -0.80   -1.34   13.23   -8.55   -6.53
 1961    4.57   11.34   -9.07   11.53    4.45
 1962   -2.73   -5.42  -21.48   13.84    2.14
 1963   -1.48   -5.29  -13.66   -4.20   17.23
 1964   -2.10   -0.68    7.89  -20.11    4.50
 1965    7.44   -2.33   36.16  -11.53    7.45
 1966    1.40   -4.35   -7.75   14.51    3.18
 1967   -0.70   -0.61    3.59    6.67  -12.45
 1968   -4.27   -3.08   -4.54  -15.18    5.70
 1969   -7.67   -3.23   13.35  -13.87  -26.92
 1970   -7.11    4.07    3.20  -10.63  -25.08
 1971   -1.22    1.72   18.50  -15.91   -9.19
 1972  -10.79   -4.13  -31.40   -1.45   -6.19
 1973    0.53   -4.33  -12.27   24.22   -5.50
 1974   -7.31   -8.26  -19.84   14.39  -15.52
 1975   -8.19    2.11   -3.31  -25.48   -6.08
 1976   14.71   19.76   15.65   10.69   12.74
 1977   -3.89   -6.23   14.39   -7.57  -16.17
 1978   -6.42   -8.04   -5.03  -12.05   -0.56
 1979    0.34   -0.65    0.09   -5.98    7.89
 1980    7.55   17.26   13.79    7.47   -8.33
 1981   -1.02   -6.75   19.12   -2.33  -14.13
 1982   -3.91   -9.44   12.39    3.68  -22.26
 1983   -4.82    0.36   -7.96   -5.16   -6.51
 1984   -0.12   13.77  -16.01  -14.40   16.15
 1985   -6.32   -3.43  -22.58    3.91   -3.18
 1986   19.52   -6.45   44.63   20.70   19.18
 1987   -1.24   -5.66  -14.07    8.08    6.69
 1988    0.32    2.71    5.32   -2.43   -4.31
 1989    7.77    4.80   17.34   -9.05   17.99
 1990    1.04    2.08   27.76   -6.34  -19.35
 1991   -9.93   -5.99    3.59   -9.41  -27.92
 1992    9.60   -5.20   17.05   19.87    6.70
 1993    6.06   -9.10   13.03    2.41   17.91
 1994   -1.81   11.81  -45.73   -5.26   31.94
 1995   -6.75   -5.70  -35.48   22.01   -7.85
 1996   -4.80    3.48  -18.89    7.49  -11.30
 1997    7.87   -5.90    3.78  -10.03   43.63
 1998    7.35   -1.41   10.94  -14.30   34.15
 1999    3.02   12.74   -7.99   12.86   -5.53
 2000   -6.84    1.68  -10.56    9.84  -28.31
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    9.56    6.33   32.87  -14.47   13.50
 2002   10.98    0.84    9.71   -8.86   42.22
 2003   -2.67    2.55   -5.65    2.79  -10.37
 2004    8.15    7.24   -6.61  -24.56   56.54
 2005    4.32    4.08   24.95  -18.89    7.15
 2006    5.73   -1.85   13.31    5.87    5.59
 2007    3.71   -4.92  -21.26  -15.25   56.29
 2008    0.57   -2.34    0.69   -2.91    6.84
 2009   -4.91   -4.53   11.84   -7.12  -19.84
 2010   -9.00   -1.78  -14.84   -3.48  -15.88
 2011    2.79    1.42   18.23   -2.48   -6.01
 2012   11.78    5.52   36.49   18.53  -13.43
 2013    1.16    6.74  -14.70    2.16   10.44
 2014   -8.67   -3.63  -36.15    4.62    0.48
 2015    9.22   10.30   29.55   -6.64    3.69
 2016   -2.34    6.76    1.30   -4.10  -13.32
