Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        26.42   25.85   27.51   27.52   24.79
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.16   -0.02   -0.61    0.31   -0.34
 1961   -0.39   -0.78   -0.01   -0.18   -0.58
 1962   -0.93   -1.28   -0.35   -1.01   -1.06
 1963   -0.50   -0.52   -0.33   -0.49   -0.68
 1964    0.33   -0.04   -0.12    0.65    0.83
 1965    0.25    0.62    0.15    0.58   -0.36
 1966   -1.34   -1.60   -1.11   -1.54   -1.10
 1967   -0.86   -1.15   -1.04   -0.97   -0.27
 1968    0.12   -0.02   -0.10    0.49    0.10
 1969    0.10   -0.11   -0.45    0.44    0.52
 1970   -0.02   -0.08   -0.59    0.06    0.54
 1971    0.31    1.13    0.04    0.07   -0.02
 1972    0.41    0.50    0.84    0.07    0.25
 1973   -0.65   -0.74   -0.13   -0.95   -0.79
 1974   -1.02   -1.19   -0.57   -1.68   -0.64
 1975    0.07    0.20   -0.53    0.31    0.32
 1976   -0.09    0.24   -0.20    0.05   -0.44
 1977    0.15    0.29   -0.22    0.20    0.34
 1978   -0.26   -0.18   -0.48   -0.11   -0.28
 1979   -0.10   -0.56    0.14    0.26   -0.24
 1980    0.03    0.03   -0.14    0.00    0.23
 1981   -0.58   -0.55   -0.59   -1.05   -0.11
 1982   -0.42   -0.60   -0.77   -0.53    0.22
 1983   -0.16   -0.23   -0.13   -0.33    0.06
 1984   -0.10   -0.02   -0.38    0.35   -0.34
 1985    0.22   -0.18    0.66    0.15    0.26
 1986   -0.41    0.06   -0.75   -0.42   -0.51
 1987   -0.08   -0.04    0.34   -0.27   -0.34
 1988   -0.19   -0.60   -0.62    0.03    0.40
 1989    0.39    0.60    0.22    0.94   -0.18
 1990    0.20    0.09   -0.31    0.54    0.47
 1991    0.49    0.25    0.13    0.41    1.15
 1992   -0.23   -0.10   -0.33   -0.36   -0.11
 1993    0.13    0.59    0.01    0.09   -0.16
 1994    0.96    0.54    2.02    1.35   -0.07
 1995    0.11   -0.40    0.97   -0.38    0.24
