Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        24.71   24.40   25.21   25.52   23.73
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.13   -0.24   -0.36    0.19   -0.11
 1961   -0.05   -0.22   -0.49    0.05    0.47
 1962   -0.43   -0.63   -0.40   -0.17   -0.53
 1963   -0.51   -1.09   -0.37   -0.01   -0.58
 1964   -0.76   -1.05   -1.02   -0.65   -0.31
 1965   -0.62   -0.80   -0.82   -0.96    0.09
 1966   -0.48   -0.18   -0.85   -0.47   -0.44
 1967   -0.18   -0.34    0.08   -0.01   -0.45
 1968   -0.28   -0.05   -0.26   -0.15   -0.67
 1969   -0.42   -0.58   -0.89   -0.46    0.27
 1970   -0.55   -1.11   -0.45    0.02   -0.66
 1971   -0.12   -0.51   -0.25   -0.06    0.34
 1972   -0.07    0.03    0.26   -0.02   -0.56
 1973   -0.04   -0.20   -0.12    0.01    0.13
 1974    0.17    0.18    0.21    0.27    0.01
 1975   -0.31   -0.94    0.05   -0.17   -0.19
 1976   -0.34   -0.29   -0.73   -0.02   -0.33
 1977   -0.05   -0.63   -0.09    0.23    0.30
 1978    0.01    0.25   -0.59    0.07    0.32
 1979    0.02    0.47   -0.17   -0.08   -0.12
 1980    0.37    0.31    0.14    0.46    0.59
 1981   -0.02    0.46    0.18   -0.03   -0.69
 1982    0.21    0.68    0.19    0.40   -0.42
 1983   -0.41   -0.61   -0.03   -0.59   -0.44
 1984   -0.85   -0.36   -1.13   -1.39   -0.53
 1985    0.15    0.69   -0.08   -0.28    0.25
 1986    0.00   -0.47   -0.10    0.21    0.38
 1987    0.48    0.32    0.55    0.57    0.48
 1988    0.68    0.59    0.79    0.74    0.60
 1989   -0.02    0.21    0.29   -0.58    0.02
 1990    0.34    0.87    0.12   -0.01    0.38
 1991    0.35    0.64    0.80    0.19   -0.24
 1992   -0.66   -0.33   -0.76   -0.96   -0.60
 1993   -0.34   -0.31   -0.52   -0.49   -0.03
 1994    0.27   -0.11    0.27    0.55    0.36
 1995    0.33    0.26    0.66    0.43   -0.03
 1996   -0.51   -0.31   -0.46   -0.79   -0.47
 1997    0.01   -0.22   -0.34    0.53    0.06
 1998    0.12   -0.27    0.13   -0.07    0.68
 1999    0.79    0.72    1.15    0.85    0.43
 2000    0.53    0.44    0.55    0.92    0.22
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.51    0.23    0.64    0.68    0.50
 2005    0.25    0.77   -0.10   -0.30    0.65
 2006    0.78    0.72    0.56    1.17    0.67
 2007    0.32    0.06    0.47    0.65    0.10
 2008    0.84    0.69    0.80    0.79    1.09
 2009    0.84    0.83    0.67    0.93    0.95
 2010    0.63    0.93    0.61    0.51    0.46
 2011    1.13    1.35    0.63    1.24    1.31
 2012    0.81    0.28    0.78    1.10    1.09
 2013    0.83    0.29    0.95    1.04    1.04
 2014    0.57    0.56    0.27    0.81    0.64
 2015    1.00    0.60    0.68    1.21    1.52
 2016    1.25    1.20    1.37    1.59    0.83
 2017    0.80    0.65    0.80    0.66    1.10
 2018    0.94    1.48    0.44    0.85    0.97
 2019    0.80    1.16    0.42    0.82    0.82
 2020    1.08    1.10    1.34    1.25    0.61
 2021    1.21    0.87    1.60    1.20    1.17
 2022    0.54    1.23    0.61    0.20    0.13
 2023    1.08    1.50    0.91    1.12    0.81
 2024    0.53    0.35    0.36    0.79    0.63
 2025    0.68    0.31   -0.02    1.07    1.36
 2026    1.02    1.11    1.01    0.86    1.09
 2027    0.69    0.62    0.29    0.98    0.86
 2028    0.79    0.91    0.09    0.74    1.42
 2029    0.82    1.11    0.75    0.59    0.84
 2030    1.12    1.09    1.16    0.97    1.25
 2031    1.41    1.43    1.64    1.75    0.83
 2032    1.56    1.43    1.79    1.55    1.48
 2033    1.47    1.45    1.26    1.35    1.80
 2034    1.25    0.55    1.56    1.61    1.28
 2035    1.49    1.56    1.16    1.47    1.78
 2036    1.69    2.05    1.53    1.16    2.01
 2037    1.56    0.98    1.54    1.94    1.81
 2038    1.53    1.75    1.41    1.04    1.91
 2039    1.89    1.76    1.97    2.13    1.69
 2040    1.57    0.80    1.90    1.79    1.79
 2041    2.13    2.25    2.52    2.22    1.51
 2042    1.91    1.64    2.08    1.87    2.06
 2043    1.46    1.46    1.45    1.02    1.93
 2044    1.95    1.74    1.81    2.01    2.24
 2045    1.84    2.14    1.65    1.74    1.83
 2046    2.01    1.89    2.18    2.12    1.86
 2047    2.14    1.82    2.20    2.51    2.02
 2048    1.98    1.67    1.71    2.10    2.43
 2049    1.97    2.15    2.09    1.75    1.88
 2050    2.11    2.66    1.76    2.11    1.91
 2051    2.25    2.32    2.23    2.74    1.71
 2052    2.41    2.81    2.57    2.27    1.99
 2053    1.85    1.03    1.92    2.21    2.22
 2054    1.88    2.27    1.37    1.93    1.97
 2055    2.30    1.86    2.40    2.74    2.20
 2056    2.46    1.92    2.35    2.81    2.76
 2057    2.34    2.46    2.78    1.78    2.35
 2058    2.54    2.43    2.23    2.56    2.93
 2059    2.27    2.50    2.34    2.33    1.90
 2060    2.36    2.01    2.24    2.56    2.64
 2061    2.61    2.34    2.90    2.96    2.23
 2062    2.50    2.67    2.72    2.07    2.54
 2063    2.63    2.07    2.96    3.02    2.47
 2064    2.19    2.48    2.13    2.13    2.02
 2065    2.67    2.74    2.50    2.59    2.83
 2066    2.72    2.67    2.89    2.73    2.60
 2067    2.80    2.74    2.58    2.82    3.05
 2068    3.17    3.06    3.17    2.94    3.50
 2069    2.49    2.77    2.48    2.36    2.36
 2070    3.03    2.74    3.21    3.19    2.97
 2071    3.21    3.23    3.27    3.22    3.13
 2072    2.94    3.05    3.75    3.24    1.73
 2073    2.80    2.84    2.78    2.92    2.67
 2074    3.28    3.67    3.39    3.21    2.84
 2075    3.17    3.20    3.20    3.39    2.90
 2076    3.16    3.05    3.17    3.27    3.13
 2077    3.45    3.31    3.82    3.73    2.96
 2078    3.31    3.59    2.82    3.67    3.18
 2079    3.53    3.66    3.43    3.48    3.56
 2080    3.42    3.45    3.61    3.25    3.37
 2081    3.65    3.76    4.14    3.28    3.43
 2082    3.38    3.85    2.83    3.25    3.60
 2083    3.50    3.51    3.56    3.92    3.02
 2084    3.58    3.66    3.87    3.85    2.92
 2085    3.59    3.27    3.63    3.90    3.56
 2086    3.34    2.74    3.73    3.85    3.06
 2087    3.57    3.66    3.61    3.91    3.08
 2088    3.85    3.72    4.19    4.17    3.32
 2089    3.92    3.57    3.98    3.87    4.27
 2090    4.07    3.75    4.70    3.67    4.14
 2091    3.71    4.27    3.95    3.56    3.08
 2092    3.58    3.10    3.96    3.94    3.31
 2093    4.10    3.56    4.24    4.32    4.27
 2094    4.26    3.87    5.01    4.41    3.75
 2095    4.29    3.85    4.74    4.37    4.19
 2096    4.56    4.43    5.26    4.26    4.28
 2097    4.24    4.33    4.14    4.39    4.10
 2098    4.29    4.41    4.99    4.43    3.34
 2099    4.37    3.77    4.62    4.45    4.67
 2100    4.57    4.32    5.46    4.83    3.65
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.84    0.68    1.30    0.94    0.45
 2005    0.57    0.74    0.48    0.54    0.52
 2006    0.74    0.61    0.91    0.48    0.97
 2007    0.61    1.37   -0.29    0.32    1.06
 2008    0.71    1.15    0.61    0.43    0.63
 2009    0.54    0.81    0.16    0.65    0.56
 2010    0.42    0.32    0.60    0.23    0.54
 2011    0.50    0.18    0.48    0.64    0.71
 2012    0.70    0.65    0.58    1.25    0.34
 2013    0.62    0.97    0.69    0.51    0.29
 2014    0.53    1.00    0.16    0.22    0.74
 2015    0.78    0.10    0.63    1.55    0.82
 2016    0.91    0.88    1.23    0.54    0.97
 2017    1.07    1.61    0.82    0.81    1.03
 2018    0.91    1.15    1.01    0.76    0.71
 2019    1.09    1.87    0.71    0.84    0.95
 2020    1.05    0.82    0.56    1.20    1.62
 2021    1.05    0.83    0.85    1.51    1.02
 2022    0.89    0.86    0.98    0.79    0.94
 2023    1.15    1.22    1.45    1.31    0.63
 2024    1.40    1.63    1.35    1.54    1.08
 2025    1.21    0.85    1.13    1.53    1.34
 2026    1.60    1.63    1.78    1.34    1.64
 2027    1.12    1.67    1.22    1.22    0.38
 2028    1.26    1.14    1.40    1.81    0.67
 2029    1.42    1.54    1.40    0.92    1.80
 2030    1.46    1.33    1.45    1.73    1.34
 2031    1.45    1.38    1.43    1.34    1.63
 2032    1.30    1.02    1.24    1.50    1.42
 2033    1.04    1.17    0.35    1.80    0.83
 2034    1.57    1.37    1.65    1.44    1.85
 2035    1.49    1.45    1.17    1.94    1.40
 2036    1.37    1.35    1.49    1.56    1.07
 2037    1.89    1.52    2.15    2.10    1.80
 2038    1.74    1.86    1.48    1.84    1.78
 2039    1.41    1.27    1.47    1.73    1.19
 2040    1.07    0.89    1.06    1.05    1.28
