Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        21.63   19.20   23.00   24.14   20.17
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.66   -0.48   -0.70   -0.88   -0.59
 1961   -0.27   -0.79    0.13    0.19   -0.62
 1962   -0.05    0.44   -0.09   -0.02   -0.54
 1963   -0.37   -0.24   -0.47   -0.08   -0.69
 1964   -1.04   -1.07   -0.63   -0.70   -1.76
 1965   -0.58   -0.27   -0.67   -0.35   -1.02
 1966   -0.81   -1.62   -0.69   -0.60   -0.35
 1967   -0.62   -1.07   -0.24   -0.44   -0.71
 1968   -0.47   -0.49   -0.57   -0.19   -0.62
 1969   -0.27   -0.52   -0.32   -0.22   -0.02
 1970   -0.00    0.09    0.14    0.63   -0.88
 1971   -0.08    0.72   -0.25   -0.45   -0.35
 1972   -0.20   -0.08   -0.51   -0.55    0.34
 1973   -0.25   -0.33   -0.23   -0.40   -0.03
 1974   -0.39    0.06   -0.16   -0.36   -1.11
 1975   -0.73   -0.92   -0.98   -1.11    0.08
 1976    0.03   -0.26   -0.25    0.48    0.15
 1977    0.62    1.00    0.07    0.77    0.65
 1978    0.03    0.39   -0.09   -0.36    0.16
 1979   -0.23   -0.38   -0.13   -0.05   -0.36
 1980    0.30   -0.43    0.21    0.82    0.60
 1981    0.40    0.79    0.45    0.02    0.33
 1982   -0.17   -0.19    0.01   -0.19   -0.30
 1983   -0.44   -0.39   -0.16   -0.53   -0.68
 1984   -0.38   -0.04   -0.29   -1.10   -0.11
 1985   -0.08   -0.12    0.16    0.10   -0.47
 1986   -0.20   -1.21    0.06    0.44   -0.11
 1987    0.40    0.71    0.33    0.37    0.21
 1988   -0.43   -1.56   -0.20    0.13   -0.07
 1989    0.34   -0.06    0.92    0.14    0.35
 1990    0.00    0.51    0.07    0.01   -0.58
 1991   -0.17   -0.21   -0.11   -0.09   -0.26
 1992   -0.08    0.54   -0.72   -0.11   -0.02
 1993    0.03   -0.03   -0.34    0.21    0.28
 1994   -0.15   -0.10   -0.26   -0.13   -0.10
 1995    0.15   -0.12    0.32    0.15    0.24
 1996    0.41    0.64    0.79   -0.32    0.52
 1997    0.30    1.02    0.36    0.17   -0.37
 1998    0.26   -0.09    0.43    0.28    0.40
 1999    0.72    0.03    0.35    1.03    1.49
 2000    0.65    0.85    0.23    0.74    0.78
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.75    0.78    0.88    0.60    0.74
 2002    0.38    0.35    0.51    0.10    0.56
 2003    0.39    0.66    0.39   -0.20    0.70
 2004    0.46    0.45    0.37    0.39    0.65
 2005    0.37    0.65    0.31    0.05    0.49
 2006    0.40    0.08    0.29    0.30    0.93
 2007    0.92    1.11    0.70    1.12    0.75
 2008    1.06    1.02    0.69    1.14    1.38
 2009    1.10    1.82    1.13    0.78    0.65
 2010    0.69    0.96    0.28    0.34    1.16
 2011    0.82    1.27    0.37    0.26    1.36
 2012    0.81    1.45    0.53    0.08    1.18
 2013    0.77    1.29    0.69    0.61    0.49
 2014    0.31    0.10    0.49    0.68   -0.01
 2015    1.14    1.33    0.44    1.33    1.45
 2016    1.44    1.24    1.19    1.73    1.60
 2017    1.19    1.63    1.20    0.68    1.27
 2018    1.60    1.53    1.31    1.78    1.78
 2019    1.63    2.18    1.25    1.61    1.50
 2020    1.23    2.03    1.33    1.14    0.42
 2021    0.65    0.78    0.46    0.63    0.75
 2022    1.02    0.81    1.02    1.14    1.10
 2023    1.53    1.55    1.49    1.44    1.66
 2024    1.48    1.43    1.63    1.17    1.70
 2025    1.46    2.26    1.28    0.94    1.38
 2026    0.96    1.58    0.54    0.68    1.04
 2027    0.74    0.82    0.85   -0.17    1.48
 2028    1.24    1.23    1.42    1.37    0.93
 2029    0.99    0.84    1.22    0.76    1.13
 2030    0.91    1.23    1.18    0.91    0.32
 2031    1.64    1.74    1.77    1.50    1.55
 2032    1.56    1.73    1.96    0.99    1.57
 2033    1.33    1.84    0.89    0.70    1.89
 2034    1.54    1.75    1.73    1.32    1.37
 2035    1.26    1.12    1.04    1.72    1.15
 2036    1.64    1.16    1.41    1.99    2.01
 2037    1.71    2.01    1.69    1.30    1.85
 2038    1.53    1.71    1.52    1.33    1.55
 2039    1.14    1.50    0.64    0.83    1.60
 2040    1.47    0.62    1.68    1.60    1.99
 2041    1.99    1.90    1.98    2.21    1.87
 2042    2.03    2.26    1.79    1.82    2.25
 2043    1.90    2.54    1.45    1.79    1.81
 2044    1.56    1.45    1.99    1.50    1.30
 2045    1.64    1.14    2.00    2.19    1.23
 2046    2.28    2.41    2.34    2.33    2.03
 2047    2.18    2.37    1.89    2.12    2.33
 2048    1.89    2.29    1.79    1.43    2.07
 2049    2.13    2.70    1.63    1.73    2.46
 2050    2.05    3.06    2.06    1.40    1.71
 2051    1.32    2.00    1.19    0.82    1.28
 2052    1.77    2.02    1.81    1.27    1.99
 2053    1.71    2.22    1.94    0.68    2.00
 2054    1.87    1.98    1.45    1.34    2.70
 2055    2.26    2.46    2.40    1.84    2.35
 2056    1.73    1.86    1.93    1.01    2.13
 2057    1.96    1.76    2.22    1.64    2.21
 2058    3.08    3.44    2.80    2.95    3.14
 2059    3.06    3.18    3.39    3.19    2.50
 2060    2.59    3.38    2.71    1.85    2.44
 2061    2.53    2.52    2.23    2.80    2.56
 2062    2.74    3.44    2.66    2.21    2.64
 2063    2.55    3.37    2.38    2.13    2.31
 2064    2.23    2.57    2.34    1.98    2.03
 2065    2.89    3.20    2.40    2.83    3.14
 2066    2.66    2.81    2.25    3.10    2.48
 2067    2.58    2.58    3.13    2.15    2.47
 2068    2.76    2.96    2.60    2.36    3.14
 2069    3.01    3.92    3.33    2.83    1.97
 2070    3.08    3.43    3.04    2.10    3.75
 2071    2.73    2.97    3.69    1.75    2.53
 2072    3.18    3.72    2.95    2.99    3.07
 2073    2.91    3.52    3.22    2.10    2.79
 2074    3.13    3.73    2.73    2.94    3.13
 2075    2.57    3.43    2.42    1.73    2.70
 2076    3.11    2.78    3.11    2.68    3.89
 2077    3.28    3.66    3.73    2.58    3.17
 2078    3.07    2.58    2.98    3.21    3.52
 2079    2.89    3.28    3.08    2.43    2.78
 2080    3.32    4.03    2.99    3.23    3.04
 2081    3.06    3.68    3.14    2.49    2.94
 2082    3.63    3.59    3.10    3.26    4.59
 2083    3.56    3.70    3.77    3.44    3.36
 2084    3.64    3.66    3.83    3.44    3.61
 2085    3.60    4.25    3.84    2.60    3.71
 2086    3.63    4.66    3.25    2.69    3.92
 2087    3.46    4.13    3.45    2.43    3.84
 2088    2.80    2.74    3.24    2.24    2.98
 2089    3.58    3.48    3.65    3.31    3.89
 2090    4.01    5.49    4.00    2.66    3.89
 2091    3.65    3.50    3.89    3.25    3.96
 2092    4.08    5.15    4.29    3.44    3.42
 2093    3.51    4.31    2.92    3.30    3.50
 2094    3.86    4.25    3.99    3.09    4.13
 2095    4.16    5.00    4.28    3.33    4.05
