Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         65.6    24.7    84.0   115.9    37.7
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960   20.67  -15.19   27.44   32.26   -6.11
 1961   26.20   18.95   12.54   21.71   74.05
 1962    3.30   16.02   -8.46    9.10    3.45
 1963   10.82    2.71   23.20    6.15    2.12
 1964   11.45  -21.82    9.19   16.33   19.82
 1965    1.47   -8.74    0.39   -7.74   40.40
 1966    5.47   -3.37    3.32    7.73    7.90
 1967   18.51    5.08   15.31   10.67   58.90
 1968   22.95   51.84   41.65   10.91    1.07
 1969    8.93   56.81   -2.01   -7.88   45.39
 1970    3.88   73.25  -15.84   10.15  -17.15
 1971    1.71  -23.74   -0.37    2.68   18.14
 1972   -6.86  -39.58    4.74  -11.06    0.28
 1973   -5.70  -32.94   -7.08    1.99  -10.36
 1974   -0.55   15.91   -3.00    6.35  -29.95
 1975   -1.12  -16.46   -5.59   15.68  -33.01
 1976    5.62  -21.96   20.42   -6.13   23.92
 1977   13.10    1.91   15.90    4.26   43.59
 1978    8.94   12.17   -5.07    8.68   35.16
 1979   -3.30   21.08    8.47  -12.87  -13.71
 1980   -6.12  -34.77    1.09   -0.39  -21.23
 1981    4.42   57.81  -11.83   16.58  -31.96
 1982    5.01   20.97    0.43  -16.24   71.38
 1983    4.21  -15.54   16.06    2.86   -5.49
 1984  -23.16  -71.34  -10.67  -16.62  -40.27
 1985   -7.21  -14.10    1.49   -3.26  -34.13
 1986  -10.07  -27.09    8.84  -10.45  -41.34
 1987   -7.07   16.57   19.59  -27.10  -20.44
 1988    2.50  -22.05  -16.86   25.19   -7.58
 1989    6.10   33.78   -0.74    1.44   18.17
 1990   -4.57   64.03  -19.36   -1.71  -24.84
 1991   -9.13   53.49  -10.69  -12.78  -35.35
 1992    1.55  -26.34  -16.04    7.12   42.63
 1993    3.42   13.05   26.08   -9.05  -15.56
 1994   -1.70  -52.84   -5.78   13.16   -4.91
 1995   -4.20   -8.95   -4.65    1.32  -17.10
 1996    9.63   39.06   37.74   -6.12  -25.05
 1997   12.95  -22.44    7.85  -12.60  126.82
 1998    7.51   24.74  -10.15   13.97   15.76
 1999   -9.28  -12.50  -31.28   -1.34   18.28
 2000    0.62  -40.55  -11.80    6.17   38.40
 2001   10.18   32.77    1.16   10.54   13.53
 2002   -5.04  -16.08   -6.20  -10.80   22.56
 2003    1.87  -14.54    3.05    4.56    2.06
 2004    0.92  -24.90   -5.59   -0.64   37.23
 2005    4.33   11.91    6.14   12.90  -31.10
 2006   14.23   40.11    6.85   11.32   21.83
