Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         27.80    17.58    26.58    21.52    24.48
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960    -15.80      NaN      NaN      NaN      NaN
1961     -0.89     4.55     2.33     1.27    -5.61
1962      3.14   -11.79    -6.10     2.99     6.30
1963      3.91    30.36     1.58     2.30    -3.58
1964     -5.08     5.49     1.92    -8.98   -12.95
1965     -5.81    -4.15    -6.12    -4.30    -1.94
1966     -0.73    -1.71    -7.30     9.04    -4.01
1967     -4.35    -8.46    -6.46    -0.67    -4.87
1968     -0.30    -0.16     4.05    -8.56    -4.93
1969      2.32   -12.07     5.25    -8.51    -7.43
1970    -18.52    -6.74   -19.88   -15.25   -15.25
1971     -3.33   -13.23    -7.40    -0.82     9.43
1972     -2.38    -2.33     1.78     1.61   -12.11
1973      7.19    -6.32    10.64     9.51    -0.41
1974      3.72     5.00     4.35    -2.58   -14.38
1975      2.31    -4.29     1.39    15.65    -6.48
1976     -1.31    11.98     1.52     5.47     3.44
1977     -0.95     4.92    -3.42     5.46     8.22
1978     -2.20    -9.60    -4.27    -2.34     7.01
1979      6.02    -3.74    12.76    -1.82     6.95
1980     -5.58    15.95    -0.15    -4.57   -13.15
1981      1.49    -9.04    11.51   -16.87    -7.86
1982     -6.21    -8.43    -9.25     2.73    -9.73
1983     -1.67    -9.78    -5.36     6.97    -6.97
1984     -7.19     4.86    -5.92     1.71   -16.22
1985      5.14     4.54     8.70     6.67     1.66
1986     -3.63    -0.65     1.77    -6.61   -16.33
1987      0.22    -1.64    -5.67     3.10     0.22
1988      1.14    10.57    -6.06     2.94    13.62
1989     -2.53    -4.50    -1.18   -11.26    -8.32
1990     -0.95    -9.82     1.92     7.05    -8.18
1991     -2.04     0.04    -0.89    -3.28    10.60
1992      4.75     9.22    -1.37    -4.97    11.43
1993      2.21    11.41     8.82    -5.03     4.73
1994      5.40   -10.64     1.89    17.57    -5.77
1995     10.07    -2.72     7.68     1.49    23.30
1996      1.36    16.61     2.35   -10.15    -0.14
1997     -5.43    -3.53    -6.01    -4.79    -0.09
1998      0.29    -1.63    -9.61     0.27    13.42
1999     12.61    13.54     9.36     2.14    27.36
2000      2.37    35.41    -8.77     9.84    10.94
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.69     3.80     7.86    -6.43    -0.81
2047      1.95    -1.50    -5.31    14.07    10.61
2048      1.89     8.19    -7.14    15.21     6.87
2049      1.43   -11.83     5.71    -1.30     0.62
2050     12.11    -8.85    27.26    -1.22     2.23
2051     10.29     4.27    22.24     9.43     5.39
2052     -3.45     9.60   -11.25     8.78     0.17
2053      6.99    12.01    16.02     2.95     9.41
2054     10.80     5.73    21.30     1.55     5.53
2055      0.53   -12.72    -3.82     2.03     3.94
2056      2.17    -3.65    -1.12    12.45     8.42
2057      8.96    -5.36     3.03    18.95     7.12
2058      3.02     7.34    -6.73     0.58    16.47
2059      2.67    10.10     9.04     4.43     3.79
2060      6.26     3.96     5.50    -5.86    16.41
2061      8.67    16.83    10.06    -4.56    13.26
2062      1.45    24.28     8.37    -1.56    -3.58
2063      5.14    -2.98    17.66    -3.28    -0.30
2064      3.43     1.10     8.25     6.53    -7.82
2065      3.08    20.05    -2.82     5.92     6.80
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      4.14    12.66    -1.42     4.77     7.51
2082      3.05    11.68    13.96    -4.27     3.91
2083      6.83    -7.07     6.14     0.27    12.97
2084     -0.52    15.60    -6.17     7.67     4.52
2085     -1.64    -2.54     0.31     1.19    -6.05
2086     17.27     5.72    14.41     9.18    26.19
2087     11.74    23.05     8.34    -3.97    18.76
2088     10.97    21.93     4.09    16.58    23.80
2089     10.41     2.26    20.83    -8.93    18.55
2090      8.68    -6.13    11.68     3.62    18.10
2091      4.53    18.44     2.94    -7.07    12.87
2092     10.37     7.74    -2.76    12.68    25.65
2093      9.05    23.28     6.96    20.07     6.07
2094      6.83    18.05    -6.36     8.79    20.34
2095      6.10    13.58    -5.24     4.90    17.49
