Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         19.73    18.05    15.42    19.26    14.02
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960    -17.78      NaN      NaN      NaN      NaN
1961      1.16     3.52     5.74    -6.22     4.14
1962      4.42    -0.42     9.55     8.25     3.80
1963     -2.09     4.70     7.34    -8.81    -7.11
1964     -9.58    -1.45    -9.61   -12.58    -6.02
1965      4.05     0.89     6.34     5.49     0.18
1966      5.15    17.28     6.47    22.58     4.47
1967     -4.43     5.59    -8.23     3.51    -2.17
1968    -11.45    -0.17    -8.10    -8.52   -10.45
1969     -6.54     0.39     0.20   -14.71    -8.47
1970     11.50    -5.10    11.20    22.41    11.64
1971      1.78    -9.81     0.57    -9.34     4.07
1972      2.08    -6.40     4.25     6.98     2.96
1973     -1.27    -1.85    -6.81    -8.57    -1.36
1974      5.38     0.67     8.81    -5.62     2.31
1975     -0.61     0.77    -1.49   -18.04    -1.28
1976      8.89     0.42     5.90    31.42    13.64
1977      1.23    -5.83    12.54     3.72    -9.50
1978     -4.47     3.51    -8.31    -2.29     3.52
1979      4.38     0.39    10.19    -4.49    -0.99
1980     -3.71    19.65    -6.47   -18.40     1.31
1981      9.42    -0.55    -0.51    -7.85    14.70
1982      7.77   -16.81     1.75    11.48    13.61
1983      3.98     2.83     4.88     3.83     4.19
1984     -1.10   -11.45     0.83     4.36    -2.98
1985     -2.37    -0.78     5.92    -1.04    -9.31
1986      3.62    10.08     1.10   -13.80     4.91
1987     -8.33    -7.09    -8.50    -2.87    -7.82
1988     -8.75     3.69    -5.26     1.12    -8.61
1989     -5.34    -0.90    -2.49     1.94    -7.48
1990      1.80     3.51   -10.18    23.04     3.08
1991     -0.17     2.98     7.39   -18.37    -3.81
1992     -6.84     6.20    -7.91    -3.92    -1.89
1993     -3.70     3.33    -6.98    -7.29    -5.75
1994     -0.72     1.69    13.07     1.65   -11.44
1995     -5.12     2.43    -6.43    -6.69    -3.76
1996     -1.12   -10.70    -1.46    10.17     1.32
1997     -7.65     2.57    -5.00    -8.95    -9.08
1998     -3.69     1.32    -5.70    -6.48    -0.41
1999      3.12    11.23    -4.90    21.89     4.19
2000     -0.29    -1.39    -9.36   -11.60     6.43
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
