Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         18.74    13.78    13.79    20.35    18.08
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960     -2.96      NaN      NaN      NaN      NaN
1961      2.15    -0.88     2.76   -11.20     4.05
1962     -4.71    -1.71     1.13    -1.87    -8.19
1963      1.61    -0.20     0.24     6.42     3.51
1964     -1.10     2.66    -6.84   -13.85    -3.67
1965      0.48     3.24    -5.66    -4.43    -0.47
1966     -5.33     9.74    -5.07     3.17    -1.81
1967     -2.78    -5.81     1.36     1.79    -3.86
1968      0.99    -2.96    -6.44   -12.58     6.04
1969     -1.88     2.43    -1.46     5.94    -1.17
1970      3.37     0.36     0.89   -12.49    -0.25
1971      1.59     2.11    -0.04    -0.15     3.74
1972      1.43     6.07     1.45    -6.56    -1.69
1973      1.45     2.92     0.35    -0.50    -0.14
1974     -1.70     4.29     1.07    -4.06    -6.55
1975      3.49     2.41     2.71    -4.17    -3.59
1976     -5.28     7.38    -6.30     5.60     0.37
1977      3.45    -7.57    -0.75     5.38     7.18
1978     -0.65     2.26     0.26     2.05     0.90
1979     -3.73    -1.70    -0.67     7.28    -4.35
1980      1.68    -2.68     4.65     3.49     4.57
1981     -1.38    -1.87     2.47     6.67     1.97
1982     -1.68    -5.81    -5.54     4.50     1.03
1983     -0.81    -1.12     1.02     4.77     0.55
1984     -3.95    -5.41    -1.95     0.37    -8.86
1985      3.79    -3.65    -2.23     9.72    -5.86
1986      0.14    14.19    -4.33    -0.83    -0.12
1987     -2.09    -0.10     0.55     6.44    -1.79
1988     -0.55    -4.98     4.39     1.97    -0.18
1989     -1.50    -6.81     0.53     1.22     2.28
1990     -2.82    -2.63    -3.17     8.49    -3.96
1991      2.88    -0.61    -1.03    -7.62    -4.25
1992     -2.75     7.67    -1.56    -5.80    -2.05
1993      0.74    -3.05     0.50   -13.54     5.13
1994     -1.41    -3.22    -2.38    -8.54    -0.30
1995      0.11    -1.49     2.04     3.71     0.39
1996     -0.36    -0.27    -0.92     2.76     0.57
1997     -0.62     0.54    -0.46    -2.83     8.39
1998      4.86    -4.21     5.33    -3.88     4.30
1999      2.30     6.97     3.10    -3.46     2.56
2000     -2.40     0.64    -5.30    14.16     2.78
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.26    -0.22    -6.59    -2.73     4.74
2047     -2.16     5.13     3.73     3.77    -1.38
2048     -0.91    -2.37     0.27     3.46     4.21
2049     -3.52    -9.05    -5.19    -4.15    -1.95
2050     -3.47     0.74    -2.29    -3.74    -3.73
2051      1.96    -1.40     1.41    -1.30     3.54
2052      0.13    -1.75     1.67    -9.03     6.22
2053      1.98    -5.63     4.49     6.52    -0.81
2054      0.54     1.39    -3.29    -4.39    -3.24
2055      0.16     8.27    -0.70     8.34     0.26
2056      0.69     4.72     5.88     4.64     3.48
2057     -0.80    -4.70    -1.80    -8.82     8.16
2058      2.59    -0.40     8.72     0.71    -0.08
2059      4.67    -8.18     7.33     3.38     2.77
2060      8.14     6.10     0.92    19.33    10.81
2061      3.29    12.04     4.34     5.00     1.66
2062      2.95     2.82     5.02    -1.05     2.40
2063      1.61     3.30    -1.69    -4.60     9.27
2064      0.11     2.76    -6.88     1.10     9.87
2065      1.09     1.43     4.19     5.89    -0.18
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      9.83    -4.62    12.20     6.65    12.77
2082      3.17     2.73     5.43    -1.06     8.07
