Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      0.38     0.36    -0.29     0.95    -1.48
1962      0.28     0.06     1.92    -0.22     0.10
1963     -2.21     1.01    -0.31    -1.79    -2.94
1964     -1.36    -0.95    -0.47    -3.01    -1.73
1965      0.27    -0.01    -0.13    -0.80    -0.85
1966     -0.83    -0.06    -0.08     1.52    -2.16
1967      0.18    -0.53    -0.71     0.64    -0.72
1968     -1.52    -1.45    -0.64    -1.37    -0.53
1969     -0.07    -1.28    -0.57    -0.65    -1.27
1970     -0.14    -1.28     0.73    -0.81     0.42
1971     -1.41    -0.83    -0.55    -1.44    -0.32
1972     -0.28     1.24    -0.59     1.36     0.15
1973     -0.56    -0.98    -1.37    -1.31     0.42
1974      1.77    -0.11     0.17    -1.44    -0.70
1975     -0.89    -0.33     0.19    -0.50    -0.79
1976     -1.49     0.14     0.28    -2.01     1.25
1977      0.42    -1.46     0.97     1.42     1.16
1978     -0.17     2.25     0.51     0.66     1.08
1979      1.06    -0.24     0.71     0.17    -0.19
1980     -0.29     1.50    -0.23    -0.09     0.35
1981      0.13     0.15    -0.25     0.73     1.51
1982     -0.25    -0.79     0.43     0.80    -1.23
1983      2.63    -0.43     0.34     1.12    -0.26
1984     -2.19    -0.01    -0.47     0.32    -0.98
1985      0.28    -0.15     1.71     0.36    -4.25
1986      0.11     0.94     0.81    -0.38     0.25
1987      0.42     0.05    -0.05    -0.28    -0.49
1988     -0.21     0.52    -0.34    -0.21    -0.96
1989      0.08    -0.85     0.44    -0.39     0.69
1990     -0.33    -0.01     0.15    -0.41     0.05
1991     -0.78     0.14     0.56    -1.75    -0.05
1992     -2.10     0.37    -2.76    -0.98    -0.09
1993     -0.15    -0.37    -0.19    -1.34     0.35
1994      0.03    -1.21     0.38    -0.08    -1.39
1995      0.44    -0.24     0.31     0.04    -0.58
1996      0.03     0.10    -0.05     1.59     0.73
1997     -1.37    -1.07    -2.29    -0.49    -1.19
1998      0.10    -0.46    -1.12    -0.08    -0.33
1999     -0.14     1.20    -0.84     1.26     0.53
2000     -1.84     1.51    -0.36    -0.97    -0.47
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.25     1.65    -0.05    -2.41    -0.47
2047      1.67     0.21    -0.33    -0.76     3.11
2048      2.20     0.15     0.15     1.30     4.70
2049      2.32     0.24     0.00    -1.03     2.22
2050      1.51     1.07    -0.06    -1.26     1.73
2051      0.93     0.49     1.12    -0.10     1.56
2052      3.48     1.25     1.71     1.42     1.07
2053      1.48     1.45    -1.12     0.50     0.50
2054      0.53    -1.39    -0.46     0.02     0.53
2055      1.74     0.36     1.14     2.23     1.42
2056      1.25     0.55     1.60    -1.06     0.99
2057      2.45    -0.94    -0.32     0.13     1.12
2058      1.49     0.08    -0.27     0.41     0.51
2059      1.37    -0.75     1.61     1.37     0.74
2060      2.16     0.77     1.62     2.26     3.51
2061      0.46     0.47     1.42     0.91     2.36
2062      1.47    -1.11     1.13     2.98     1.78
2063      3.54    -0.44    -0.05    -1.36     0.64
2064      2.16     0.04     0.73     1.94    -0.44
2065      0.51     0.98     0.81     1.37     3.16
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
