Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.99    10.00     9.94     9.99    10.01
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.54     8.06     7.41    11.96     9.03
1962     17.64     5.17    13.13    16.30    27.33
1963     29.48    24.34    51.57    35.85    20.01
1964     14.69     9.66    18.92    14.92    15.84
1965      7.97     3.46     8.45     7.29    10.17
1966     10.37     7.78     2.92    10.33    12.25
1967     15.57    16.89     2.81     4.70    33.05
1968     36.32    24.71    45.07    38.63    41.26
1969     14.60    37.55    20.17    10.87    10.02
1970     15.60    14.85     0.73     8.88    28.85
1971     28.23    41.48    22.52    26.78    30.22
1972     13.57    12.33    18.58    16.10    13.39
1973     21.60    11.36    19.04    23.86    21.98
1974      9.71    24.81    10.41    10.76     3.04
1975      6.54     1.09     0.93     4.74    10.88
1976     22.38     3.98    40.80    24.51    25.47
1977     12.25    27.79    20.46    11.49     4.88
1978      7.57     4.55     4.19     6.20     9.48
1979      8.58     5.19    13.23    11.37     6.05
1980     11.37    13.26    10.07     9.52    14.34
1981     13.25    12.23    15.77    15.74    10.80
1982      9.89     9.95    13.13     9.13     7.92
1983      5.85    12.24     5.35     4.38     3.29
1984      6.58     5.15     2.31     9.26     4.83
1985      7.62     7.19     5.02     5.79    11.43
1986     10.83    17.77     9.58    13.65     5.54
1987      4.53     3.89     5.51     3.81     3.25
1988      3.32     4.45     3.74     2.07     4.28
1989      9.88     3.64    13.90    11.09     9.60
1990      7.44     9.43     7.28     7.81     6.59
1991      5.32     1.77     4.31     4.38     6.91
1992      6.53     1.96     4.33     4.73    10.27
1993      6.66    13.20    10.91     5.51     3.78
1994      2.78     2.23     2.11     1.68     3.58
1995      6.43     1.13     4.41     5.15     9.79
1996     14.72    21.04    22.86    14.29    11.61
1997      7.57     0.75     0.81    13.07     6.17
1998      7.37     4.60     2.06     8.22     6.88
1999      5.84     6.57     3.97     5.66     5.18
2000      9.71     6.74     8.29     9.33    12.32
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.73     0.10     0.09     0.09     1.71
2047      0.39     0.74     0.35     0.06     0.04
2048      0.27     0.00     0.12     0.03     0.00
2049      0.95     0.08     0.04     0.03     1.28
2050      0.64     0.12     0.16     0.48     0.29
2051      2.58     1.55     0.25     4.48     0.00
2052      0.76     0.00     0.00     0.00     2.20
2053      0.52     0.76     0.60     0.12     0.19
2054      0.85     0.42     0.47     0.82     0.43
2055      0.05     0.00     0.09     0.00     0.04
2056      1.71     0.00     0.00     1.83     1.30
2057      1.42     0.66     1.02     0.81     1.13
2058      0.90     3.42     1.05     0.04     0.20
2059      0.59     0.00     0.49     0.55     0.39
2060      0.42     0.16     0.24     0.22     0.42
2061      0.29     1.13     0.00     0.05     0.00
2062      0.23     0.12     0.00     0.18     0.00
2063      0.03     0.19     0.00     0.00     0.00
2064      1.51     0.00     0.00     3.01     0.01
2065      0.48     0.12     0.00     0.03     0.27
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.01     0.00     0.00     0.00     0.00
2082      0.00     0.00     0.00     0.00     0.00
2083      0.01     0.00     0.00     0.00     0.00
2084      0.00     0.00     0.00     0.00     0.00
2085      0.00     0.00     0.00     0.00     0.00
2086      0.00     0.00     0.00     0.00     0.00
2087      0.00     0.00     0.00     0.00     0.00
2088      0.00     0.00     0.00     0.00     0.00
2089      0.00     0.00     0.00     0.00     0.00
2090      0.00     0.00     0.00     0.00     0.00
2091      0.03     0.00     0.00     0.00     0.00
2092      0.00     0.00     0.00     0.00     0.00
2093      0.00     0.00     0.00     0.00     0.00
2094      0.02     0.00     0.00     0.00     0.04
2095      0.07     0.00     0.00     0.00     0.10
2096      0.00     0.00     0.00     0.00     0.00
2097      0.06     0.00     0.00     0.00     0.00
2098      0.00     0.00     0.00     0.00     0.00
2099      0.00     0.00     0.00     0.00     0.00
2100      0.00     0.00     0.00     0.00     0.00
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.31     0.12     0.63     0.00     0.36
2047      0.36     0.06     0.00     0.15     0.04
2048      0.90     2.21     0.00     0.09     0.73
2049      1.35     4.52     0.58     0.05     0.47
2050      0.09     0.18     0.13     0.02     0.00
2051      1.96     0.26     0.00     2.83     0.60
2052      3.04    13.40     0.90     0.28     1.17
2053      0.31     0.61     0.00     0.00     0.00
2054      0.22     0.00     0.08     0.03     0.29
2055      0.21     0.73     0.14     0.00     0.17
2056      0.48     0.31     0.00     0.09     0.44
2057      0.27     0.66     0.00     0.00     0.00
2058      1.16     0.28     0.00     0.01     3.35
2059      0.09     0.00     0.00     0.00     0.28
2060      0.08     0.00     0.00     0.10     0.11
2061      0.04     0.00     0.00     0.00     0.00
2062      0.12     0.00     0.00     0.00     0.38
2063      1.30     1.34     0.10     0.43     1.89
2064      1.14     1.76     0.43     0.52     0.00
2065      0.15     0.12     0.00     0.00     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.54     2.95     0.00     0.00     0.00
2082      0.00     0.00     0.00     0.00     0.00
2083      0.00     0.00     0.00     0.00     0.00
2084      0.00     0.00     0.00     0.00     0.00
2085      0.04     0.00     0.00     0.00     0.00
2086      0.20     0.00     0.00     0.01     0.14
2087      0.06     0.00     0.01     0.00     0.00
2088      0.06     0.00     0.00     0.00     0.06
2089      0.01     0.00     0.00     0.00     0.00
2090      0.00     0.00     0.00     0.00     0.00
2091      0.00     0.00     0.00     0.00     0.00
2092      0.03     0.00     0.00     0.00     0.00
2093      0.00     0.00     0.00     0.00     0.00
2094      0.04     0.00     0.00     0.00     0.00
2095      0.07     0.00     0.00     0.00     0.00
2096      0.14     0.31     0.00     0.00     0.00
2097      0.00     0.00     0.00     0.00     0.00
2098      0.00     0.00     0.00     0.00     0.00
2099      0.00     0.00     0.00     0.00     0.00
2100      0.00     0.00     0.00     0.00     0.00
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.91     1.84     1.58     3.14     3.14
2047      3.31     0.83     0.97     5.10     1.27
2048      1.16     0.48     0.16     0.01     1.31
2049      1.05     0.99     0.00     0.02     1.71
2050      0.95     0.44     0.00     0.21     1.23
2051      1.36     0.51     0.11     1.48     1.15
2052      1.31     0.39     3.26     1.49     0.28
2053      0.29     0.26     0.18     0.10     0.00
2054      0.06     0.00     0.00     0.00     0.12
2055      2.81     1.66     1.58     1.54     3.78
2056      1.30     0.84     0.66     0.44     2.55
2057      1.05     0.28     0.20     0.20     1.88
2058      1.30     3.55     0.00     0.77     0.16
2059      0.53     1.35     0.19     0.00     0.03
2060      0.32     0.00     0.00     0.07     0.27
2061      0.41     0.00     0.00     0.09     0.88
2062      0.30     0.24     0.23     0.11     0.28
2063      1.59     0.00     0.00     1.97     0.03
2064      1.20     0.95     0.00     0.00     2.07
2065      0.36     0.00     0.52     0.51     0.22
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
