Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.99    10.00    10.00     9.99     9.99
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.84     8.26     7.69    10.23     9.40
1962      7.67    20.30     7.11     6.66     7.28
1963      4.89     2.93     5.00     4.20     3.52
1964      3.65     3.28     3.30     4.08     2.97
1965      3.85     1.32     3.36     5.63     5.03
1966      4.14     1.51     4.16     2.94     5.89
1967      4.28     4.71     5.14     4.95     2.50
1968      6.23     4.55     7.03     7.31     6.79
1969      5.26     7.66     4.15     4.73     5.34
1970      7.65    10.46     6.69     7.78     3.32
1971      5.15     2.59     6.57     2.78     2.53
1972      4.27     3.76     4.04     3.22     7.84
1973      9.02    10.31    11.13     7.46     6.31
1974      7.86     6.03     7.87     8.09     6.71
1975      6.47     9.81     5.45     8.96     3.32
1976      7.35     4.02     6.74     6.54     6.75
1977      9.65    10.74     8.12     8.26    10.46
1978      8.73    11.02    10.90     8.20     5.41
1979      9.07     5.73     5.97    10.35    10.11
1980     13.42    13.42    18.37    11.60     8.91
1981     11.49     3.80    13.38    13.32    13.85
1982     11.78    13.23    16.22     7.94     2.25
1983      3.45     0.36     3.59     2.58     3.13
1984     10.90     4.99     5.80    17.91    15.52
1985     11.86    15.06    10.79    13.84     9.13
1986      7.59     6.89     5.31    11.57     4.57
1987     11.53     7.80     7.98    17.76    16.29
1988     13.27    13.36    12.40    11.53    12.65
1989     11.83    20.03    11.22     8.63     9.99
1990     11.94     6.12    16.23    10.63    11.23
1991     10.86    14.40    12.43     6.96     8.35
1992      7.49    14.01     5.02     7.11     8.36
1993      7.87     8.67     5.72    12.19     8.82
1994      9.17     5.64     6.07     8.46    15.90
1995     12.82     8.96    10.69    17.02    11.07
1996     12.81     9.78    14.69    11.37    16.28
1997     11.11    18.70    12.89     9.46    11.91
1998     11.14     6.93    11.66     5.90    22.98
1999     22.10    33.33    26.02    22.20    25.77
2000     19.68    24.06    16.34    18.67    25.72
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     61.38    57.68    76.87    63.62    59.73
2047     63.87    62.48    79.84    65.10    59.97
2048     65.88    64.13    71.63    71.48    65.24
2049     66.34    67.27    78.45    70.38    60.70
2050     62.48    58.00    71.50    65.50    65.20
2051     68.84    60.69    72.38    75.24    68.05
2052     66.01    67.20    78.28    69.04    58.62
2053     63.88    54.48    67.70    73.98    64.96
2054     67.70    65.82    79.24    66.12    66.48
2055     73.56    68.47    76.67    76.22    73.36
2056     69.66    65.09    78.40    70.25    71.63
2057     69.38    65.85    81.95    70.88    68.53
2058     71.96    69.03    78.66    71.54    72.18
2059     66.15    75.47    74.98    66.90    62.04
2060     72.49    66.31    78.47    75.41    73.29
2061     72.16    61.24    83.11    78.45    67.41
2062     67.21    65.60    76.94    66.11    69.23
2063     72.14    76.58    77.74    73.36    70.09
2064     73.77    59.98    80.69    80.12    71.53
2065     70.27    70.35    76.70    67.51    71.96
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     77.26    69.29    82.83    83.20    75.47
2082     80.12    75.03    83.36    80.38    81.03
2083     82.69    74.83    86.07    89.60    80.82
2084     81.88    76.22    87.45    89.49    76.96
2085     82.84    71.24    88.95    88.37    80.32
2086     84.82    90.90    87.10    91.74    77.60
2087     83.00    84.10    89.04    86.64    81.54
2088     85.58    88.52    86.39    91.87    82.81
2089     84.00    80.19    91.24    88.24    82.84
2090     83.10    81.03    87.07    87.34    82.02
2091     82.36    82.91    88.50    84.87    79.63
2092     85.20    77.00    86.91    90.78    86.05
2093     86.08    84.28    89.85    91.24    81.90
2094     86.33    78.42    88.68    93.52    84.21
2095     86.23    84.97    91.60    92.68    82.23
2096     85.97    84.94    91.17    90.62    80.97
2097     85.81    85.50    90.00    92.25    82.93
2098     87.52    82.12    92.61    92.48    86.00
2099     88.68    90.54    87.90    94.86    90.33
2100     87.43    83.80    94.63    94.63    84.32
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     64.91    67.71    70.75    67.59    62.58
2047     65.55    58.77    72.83    70.74    64.37
2048     62.67    55.63    66.29    72.06    59.28
2049     58.61    50.28    70.68    66.20    55.70
2050     68.03    61.58    69.30    74.50    69.13
2051     70.61    71.59    74.57    77.28    62.82
2052     63.09    66.60    69.88    63.76    64.06
2053     65.38    57.25    71.73    71.75    65.55
2054     62.52    60.14    71.06    66.31    62.84
