Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         10.00    10.04    10.00    10.01    10.03
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.31     3.63    14.24     4.54    10.18
1962      7.73     6.09     7.89     7.98     7.32
1963      9.37    13.25     8.33     5.51     5.50
1964      3.29     0.68     2.99     4.17     7.66
1965     11.45     6.98     7.60    10.46    20.25
1966      8.99     3.30     7.44     9.86     5.06
1967      5.15     0.16     4.95     4.92    13.42
1968     12.97    12.52    13.44    13.31     6.95
1969     10.96    24.82    14.77     5.89     5.64
1970     10.71     5.13     4.77    20.04    10.05
1971      8.42    19.00     5.98     5.55     3.69
1972      6.12     1.34     4.07     3.83    12.88
1973      8.74     2.59     7.74     8.99     7.46
1974      4.06     1.55     4.44     3.52     4.19
1975      7.95     4.43     4.93    12.49     2.31
1976      9.68     7.78     9.63    14.38     8.21
1977     14.08    12.47     8.23    23.25    16.96
1978     10.54    11.74    15.23     5.05     9.49
1979     13.78    11.84    15.77    14.45     9.04
1980      9.52     7.80    15.00     7.71     9.85
1981     16.59    30.95    15.44    15.19    17.06
1982      5.58     8.29     4.17     1.68     5.71
1983      8.74    11.69     5.83    12.31    11.11
1984     10.35     6.86    11.11    12.56     6.84
1985     10.74    16.01     8.50    10.33     7.00
1986      8.10    13.39    12.79     4.88     8.94
1987     11.09    13.62    10.37     6.16     7.40
1988     17.49     3.05    25.23    18.10    10.46
1989     11.28    13.79    13.77     7.34    10.69
1990     12.50     1.86     4.29    17.47    36.33
1991     14.06    28.71    24.32     8.35     6.52
1992      8.88     1.56     6.87    12.25     4.69
1993      5.72     0.19     2.29     6.73    14.32
1994     10.23    25.99    12.38     4.92     8.04
1995      8.29     3.64     5.06    12.23    16.68
1996     12.47    14.75    16.12     8.04     8.28
1997      7.40     4.07     9.63     5.92    11.06
1998      6.36     7.20     4.44     8.07     4.91
1999     10.44     9.89    11.73     8.63    10.64
2000     16.00    27.26    12.84    17.18    10.55
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     33.52    27.67    27.95    59.56    48.42
2047     29.16    47.10    31.44    39.20    26.93
2048     33.57    31.25    32.37    55.29    51.98
2049     46.27    74.08    67.06    57.89    54.14
2050     33.91    37.84    39.61    46.71    48.66
2051     26.92    26.06    30.47    46.54    32.83
2052     33.45    57.39    52.31    42.47    41.84
2053     40.25    44.15    53.84    57.31    46.96
2054     32.78    27.45    45.63    42.07    57.22
2055     27.78    29.97    26.53    39.65    44.78
2056     43.74    71.60    46.83    62.88    44.89
2057     44.41    39.60    49.19    66.04    56.72
2058     41.25    79.93    45.23    43.90    59.53
2059     36.94    62.62    60.71    43.48    39.77
2060     34.56    27.77    53.27    44.60    51.39
2061     48.44    79.08    61.45    62.62    58.17
2062     48.35    60.14    63.35    70.08    62.52
2063     44.40    71.26    50.51    57.28    57.73
2064     47.88    76.49    71.65    62.39    48.13
2065     42.99    45.99    50.63    59.36    57.38
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     62.71    90.32    73.24    81.31    68.77
2082     59.57    91.12    79.26    70.03    65.43
2083     61.25    82.32    65.78    79.14    76.51
2084     64.15    81.85    75.00    84.27    69.54
2085     63.73    77.03    76.53    78.59    74.28
2086     62.45    87.58    72.27    82.59    68.06
2087     63.84    78.70    70.48    79.08    78.96
2088     66.00    90.63    82.91    79.20    71.39
2089     67.92    76.08    82.06    82.15    84.74
2090     61.85    91.69    81.48    64.88    72.66
2091     67.88    90.06    79.89    85.71    76.67
2092     66.93    91.15    76.58    83.59    67.85
2093     64.96    82.31    76.70    74.15    73.36
2094     66.43    93.77    82.17    84.33    76.16
2095     62.44    88.37    71.93    76.44    76.14
2096     65.52    78.08    83.08    84.23    71.80
2097     67.01    92.60    81.07    85.33    74.71
2098     67.04    77.95    78.17    82.33    78.51
2099     75.78    91.30    82.63    96.85    82.86
2100     71.37    98.85    82.52    88.02    74.30
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     39.53    42.51    57.26    49.76    52.94
2047     33.30    59.13    34.59    31.44    48.10
2048     24.94    14.16    25.55    44.54    40.97
2049     40.42    59.65    56.76    46.73    48.45
2050     37.68    26.62    34.30    62.97    49.31
2051     45.06    85.24    62.26    51.86    51.15
2052     41.06    51.54    45.44    54.56    54.51
2053     44.68    71.00    59.00    60.68    48.22
2054     35.74    40.78    33.47    60.36    50.76
2055     44.68    81.47    67.76    49.89    46.26
2056     38.88    57.89    50.11    47.88    51.19
2057     44.24    54.44    54.01    62.64    54.34
2058     44.65    67.01    62.59    52.56    56.49
2059     44.43    70.87    60.66    52.39    48.10
2060     47.69    56.21    60.83    62.38    57.78
2061     45.30    58.47    63.16    55.81    58.43
2062     36.75    57.49    50.57    47.15    47.98
2063     37.83    43.63    37.74    54.69    58.22
2064     42.60    68.19    65.57    44.94    47.50
2065     40.14    43.64    40.26    63.98    55.03
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     62.45    89.52    78.43    77.55    67.63
2082     60.50    69.74    69.18    84.02    63.43
2083     58.73    89.86    74.93    63.97    65.10
2084     58.84    69.75    69.45    82.26    70.50
2085     54.05    67.13    69.58    66.01    65.06
2086     60.06    83.97    75.20    75.53    70.99
2087     58.48    90.23    77.20    60.92    61.21
2088     53.82    62.80    60.84    67.87    71.40
2089     59.46    89.50    77.37    76.36    59.97
2090     60.69    77.81    73.95    81.61    68.84
2091     61.76    70.25    73.43    73.06    84.05
2092     66.25    92.66    75.95    82.10    77.26
2093     65.76    89.17    81.39    80.54    75.35
2094     59.65    78.58    74.64    70.70    70.77
2095     62.60    79.64    77.23    76.69    73.44
2096     60.82    81.80    75.89    74.60    70.84
2097     62.46    92.17    78.74    75.66    71.45
2098     68.00    95.96    83.67    79.02    72.96
2099     62.20    80.65    77.13    79.65    67.60
2100     63.59    91.06    78.82    72.05    76.76
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN      NaN      NaN      NaN
2047       NaN      NaN      NaN      NaN      NaN
2048       NaN      NaN      NaN      NaN      NaN
2049       NaN      NaN      NaN      NaN      NaN
2050       NaN      NaN      NaN      NaN      NaN
2051       NaN      NaN      NaN      NaN      NaN
2052       NaN      NaN      NaN      NaN      NaN
2053       NaN      NaN      NaN      NaN      NaN
2054       NaN      NaN      NaN      NaN      NaN
2055       NaN      NaN      NaN      NaN      NaN
2056       NaN      NaN      NaN      NaN      NaN
2057       NaN      NaN      NaN      NaN      NaN
2058       NaN      NaN      NaN      NaN      NaN
2059       NaN      NaN      NaN      NaN      NaN
2060       NaN      NaN      NaN      NaN      NaN
2061       NaN      NaN      NaN      NaN      NaN
2062       NaN      NaN      NaN      NaN      NaN
2063       NaN      NaN      NaN      NaN      NaN
2064       NaN      NaN      NaN      NaN      NaN
2065       NaN      NaN      NaN      NaN      NaN
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081       NaN      NaN      NaN      NaN      NaN
2082       NaN      NaN      NaN      NaN      NaN
2083       NaN      NaN      NaN      NaN      NaN
2084       NaN      NaN      NaN      NaN      NaN
2085       NaN      NaN      NaN      NaN      NaN
2086       NaN      NaN      NaN      NaN      NaN
2087       NaN      NaN      NaN      NaN      NaN
2088       NaN      NaN      NaN      NaN      NaN
2089       NaN      NaN      NaN      NaN      NaN
2090       NaN      NaN      NaN      NaN      NaN
2091       NaN      NaN      NaN      NaN      NaN
2092       NaN      NaN      NaN      NaN      NaN
2093       NaN      NaN      NaN      NaN      NaN
2094       NaN      NaN      NaN      NaN      NaN
2095       NaN      NaN      NaN      NaN      NaN
2096       NaN      NaN      NaN      NaN      NaN
2097       NaN      NaN      NaN      NaN      NaN
2098       NaN      NaN      NaN      NaN      NaN
2099       NaN      NaN      NaN      NaN      NaN
2100       NaN      NaN      NaN      NaN      NaN
