Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 YEAR  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.28   -0.29   -0.39   -0.24   -0.31
 1961   -0.19   -0.15   -0.21   -0.26   -0.43
 1962   -0.27   -0.35   -0.33   -0.32   -0.30
 1963   -0.27   -0.35   -0.27   -0.30   -0.35
 1964   -0.42   -0.39   -0.34   -0.39   -0.52
 1965   -0.44   -0.46   -0.47   -0.39   -0.32
 1966   -0.32   -0.46   -0.42   -0.21   -0.17
 1967   -0.11   -0.16   -0.20   -0.10   -0.20
 1968   -0.34   -0.30   -0.23   -0.41   -0.27
 1969   -0.17   -0.18   -0.14   -0.25   -0.26
 1970   -0.12   -0.38   -0.15   -0.13   -0.20
 1971   -0.14   -0.15   -0.17   -0.20   -0.22
 1972   -0.25   -0.21   -0.29   -0.21   -0.13
 1973   -0.18   -0.12   -0.24   -0.21   -0.18
 1974   -0.16   -0.35   -0.21   -0.15   -0.28
 1975   -0.18   -0.16   -0.17   -0.20   -0.20
 1976   -0.10   -0.24   -0.15   -0.09   -0.18
 1977   -0.04   -0.10    0.01   -0.06   -0.05
 1978   -0.10   -0.01   -0.07   -0.11   -0.17
 1979   -0.10   -0.08   -0.15   -0.06   -0.06
 1980   -0.05   -0.12   -0.07    0.08    0.03
 1981    0.03   -0.02    0.05    0.06   -0.03
 1982   -0.05   -0.07   -0.12   -0.02   -0.09
 1983   -0.13   -0.20   -0.15   -0.10   -0.15
 1984   -0.10   -0.11   -0.16   -0.09    0.04
 1985   -0.03   -0.03   -0.08   -0.02    0.00
 1986   -0.08   -0.11   -0.02    0.01   -0.06
 1987    0.13    0.12    0.05    0.03    0.05
 1988    0.09   -0.01    0.08    0.13    0.13
 1989    0.13    0.09    0.20    0.11    0.15
 1990    0.13    0.05    0.05    0.16    0.15
 1991    0.19    0.32    0.21    0.13    0.04
 1992   -0.10   -0.13   -0.09   -0.17   -0.08
 1993    0.05   -0.11   -0.02    0.03    0.21
 1994    0.23    0.31    0.22    0.23    0.11
 1995    0.12    0.20   -0.12    0.18    0.11
 1996    0.12    0.21    0.08    0.16    0.11
 1997    0.14    0.08    0.12    0.24    0.18
 1998    0.29    0.43    0.22    0.29    0.24
 1999    0.28    0.21    0.18    0.28    0.24
 2000    0.37    0.22    0.46    0.39    0.32
Projections under SRES A2 scenario
 2000    0.51    0.56    0.37    0.56    0.46
 2001    0.31    0.19    0.41    0.56    0.36
 2002    0.36    0.21    0.41    0.45    0.26
 2003    0.36    0.22    0.40    0.48    0.37
 2004    0.41    0.43    0.26    0.44    0.44
 2005    0.40    0.32    0.49    0.24    0.23
