Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        26.64   26.77   27.35   26.18   26.45
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.49   -0.61   -0.62   -0.42   -0.39
 1961   -0.36   -0.31   -0.41   -0.26   -0.49
 1962   -0.12   -0.38   -0.44    0.06    0.14
 1963   -0.01    0.30    0.34   -0.18   -0.35
 1964   -0.36   -0.40   -0.38   -0.31   -0.39
 1965   -0.53   -0.29   -0.50   -0.54   -0.73
 1966   -0.55   -0.59   -0.59   -0.62   -0.39
 1967    0.11    0.07    0.21    0.15   -0.01
 1968   -0.36    0.17   -0.20   -0.41   -0.79
 1969   -0.92   -0.82   -0.94   -1.00   -0.87
 1970   -0.35   -0.50   -0.23   -0.37   -0.35
 1971   -0.12   -0.20   -0.13   -0.10   -0.08
 1972   -0.10   -0.09    0.13   -0.21   -0.19
 1973   -0.32   -0.18   -0.36   -0.29   -0.40
 1974   -0.15   -0.16   -0.22   -0.03   -0.22
 1975   -0.23   -0.19   -0.03   -0.33   -0.31
 1976   -0.44   -0.37   -0.55   -0.54   -0.26
 1977   -0.09   -0.06   -0.14   -0.06   -0.10
 1978   -0.26   -0.19   -0.32   -0.23   -0.27
 1979    0.21    0.15    0.30    0.33   -0.01
 1980   -0.24   -0.21   -0.33   -0.19   -0.23
 1981    0.12    0.15    0.24    0.16   -0.06
 1982   -0.16   -0.16   -0.17   -0.21   -0.09
 1983   -0.20   -0.33   -0.27    0.01   -0.32
 1984   -0.16   -0.08   -0.19   -0.17   -0.16
 1985   -0.15   -0.10    0.02   -0.24   -0.22
 1986   -0.05   -0.13   -0.02    0.01   -0.12
 1987    0.14   -0.10    0.05    0.30    0.17
 1988    0.35    0.34    0.43    0.43    0.17
 1989   -0.05    0.01   -0.03   -0.15    0.00
 1990    0.27    0.09    0.21    0.32    0.38
 1991    0.37    0.65    0.67    0.19    0.12
 1992   -0.01   -0.17   -0.15   -0.00    0.21
 1993    0.15   -0.03    0.06    0.18    0.32
 1994    0.37    0.46    0.36    0.36    0.34
 1995    0.27    0.19    0.21    0.27    0.37
 1996    0.12    0.17    0.05    0.05    0.25
 1997    0.31    0.07    0.06    0.35    0.66
 1998    0.39    0.67    0.57    0.29    0.16
 1999    0.01    0.30   -0.20   -0.12    0.22
 2000    0.31    0.20    0.29    0.34    0.38
Projections under SRES A2 scenario
 2000    0.47    0.39    0.62    0.61    0.19
 2001    0.19    0.13   -0.10    0.30    0.38
 2002    0.77    0.68    0.97    0.92    0.41
 2003    0.40    0.36    0.20    0.54    0.45
 2004    0.48    0.59    0.48    0.59    0.26
 2005    0.57    0.36    0.64    0.72    0.45
 2006    0.58    0.34    0.42    0.69    0.74
 2007    0.88    0.80    0.80    1.03    0.81
 2008    0.73    0.64    0.43    0.89    0.89
 2009    0.85    1.24    0.75    0.83    0.71
 2010    0.73    0.63    0.63    0.86    0.71
 2011    0.75    0.62    0.60    0.69    1.07
 2012    0.89    1.08    1.00    1.03    0.47
 2013    0.63    0.51    0.38    0.71    0.86
 2014    0.70    1.12    0.81    0.64    0.39
 2015    0.72    0.47    0.53    0.75    1.03
 2016    0.95    1.33    1.21    0.81    0.62
 2017    0.42    0.51    0.17    0.45    0.57
 2018    0.80    0.84    0.79    0.87    0.68
 2019    0.63    0.76    0.61    0.59    0.60
 2020    0.64    0.66    0.44    0.82    0.60
 2021    0.89    0.62    0.71    0.93    1.20
 2022    0.73    0.94    0.78    0.72    0.55
 2023    0.82    0.64    0.70    1.10    0.68
 2024    0.80    0.60    0.83    1.01    0.62
 2025    0.63    0.75    0.43    0.65    0.74
 2026    1.12    1.14    1.24    1.06    1.08
 2027    0.91    1.19    0.90    0.95    0.70
 2028    0.76    0.73    0.63    0.78    0.90
 2029    1.14    1.26    1.19    1.12    1.02
 2030    0.82    1.17    0.79    0.75    0.72
 2031    1.17    1.23    1.18    1.24    1.04
 2032    1.35    1.35    1.50    1.29    1.27
 2033    1.25    1.20    1.07    1.22    1.50
 2034    1.48    1.93    1.76    1.41    0.98
 2035    1.15    0.93    0.86    1.38    1.30
 2036    1.41    1.42    1.27    1.49    1.43
 2037    1.32    1.70    1.42    1.27    1.03
 2038    1.52    1.57    1.62    1.51    1.40
 2039    1.22    1.42    1.33    1.20    0.99
 2040    1.61    1.47    1.70    1.58    1.66
 2041    1.73    2.02    2.07    1.71    1.24
 2042    1.31    1.39    1.19    1.48    1.15
 2043    1.54    1.59    1.50    1.64    1.43
 2044    1.42    1.52    1.18    1.51    1.46
 2045    1.56    1.62    1.92    1.60    1.12
 2046    1.35    1.29    1.28    1.38    1.42
 2047    1.37    1.52    1.37    1.36    1.30
 2048    1.49    1.56    1.54    1.58    1.27
 2049    1.44    1.33    1.36    1.59    1.41
 2050    1.62    1.78    1.74    1.55    1.48
 2051    1.56    1.62    1.57    1.55    1.51
 2052    1.52    1.50    1.41    1.55    1.61
 2053    2.15    1.95    2.33    2.17    2.06
 2054    1.93    2.27    1.88    1.88    1.83
 2055    1.95    1.92    2.01    1.89    1.98
 2056    2.12    2.48    2.27    2.03    1.84
 2057    2.12    1.98    1.95    2.22    2.24
 2058    2.41    2.50    2.57    2.47    2.10
 2059    1.93    2.35    1.76    1.96    1.79
 2060    1.91    2.06    1.69    1.86    2.11
 2061    2.46    2.71    2.49    2.64    2.00
 2062    1.97    2.17    1.91    1.96    1.90
 2063    2.33    2.19    2.17    2.39    2.49
 2064    2.43    2.94    2.66    2.36    1.94
 2065    2.30    2.44    2.10    2.33    2.38
 2066    2.24    2.45    2.33    2.21    2.05
 2067    2.48    2.11    2.37    2.61    2.67
 2068    3.00    3.19    3.21    3.06    2.59
 2069    2.48    2.74    2.42    2.42    2.45
 2070    2.99    2.79    3.08    3.14    2.83
 2071    2.49    2.93    2.40    2.48    2.32
 2072    2.65    2.59    2.53    2.90    2.47
 2073    2.48    2.91    2.46    2.45    2.25
 2074    2.98    2.64    2.69    3.17    3.24
 2075    3.21    3.35    3.18    3.32    2.98
 2076    2.88    2.88    2.89    2.90    2.84
 2077    3.25    3.16    3.25    3.35    3.18
 2078    3.48    3.51    3.44    3.55    3.38
 2079    3.30    3.48    3.32    3.44    2.97
 2080    3.13    3.08    3.06    3.12    3.27
 2081    3.43    3.50    3.34    3.63    3.20
 2082    3.56    3.70    3.42    3.66    3.47
 2083    3.66    3.60    3.43    3.67    3.91
 2084    3.98    4.14    4.19    4.09    3.50
 2085    3.26    3.70    3.09    3.22    3.16
 2086    3.68    3.70    3.31    3.88    3.78
 2087    3.82    3.95    3.72    3.85    3.81
 2088    3.92    4.04    3.78    4.12    3.71
 2089    3.79    3.89    3.51    3.82    3.95
 2090    3.99    4.51    4.08    3.94    3.62
 2091    3.78    3.79    3.39    4.01    3.85
 2092    3.95    4.40    4.06    4.12    3.33
 2093    3.52    3.59    3.30    3.62    3.55
 2094    4.61    4.26    4.55    4.85    4.59
 2095    4.16    4.84    4.34    4.10    3.62
 2096    3.81    3.90    3.74    3.87    3.75
 2097    4.15    4.24    4.07    4.21    4.09
 2098    4.78    4.55    4.81    5.08    4.53
 2099    4.64    5.03    4.87    4.71    4.05
 2100    4.51    4.47    4.22    4.46    4.90
Projections under SRES A1B scenario
 2000    0.47    0.39    0.62    0.61    0.19
 2001    0.24   -0.04   -0.07    0.35    0.60
 2002    0.72    1.00    0.78    0.80    0.34
 2003    0.36    0.32    0.24    0.48    0.32
 2004    0.78    0.65    0.81    0.82    0.80
 2005    0.80    0.90    0.87    0.81    0.65
 2006    0.97    0.99    1.00    1.13    0.73
 2007    0.54    0.60    0.21    0.54    0.84
 2008    0.92    1.18    1.05    0.93    0.61
 2009    0.63    0.54    0.43    0.76    0.72
 2010    0.81    1.16    0.96    0.73    0.51
 2011    0.62    0.58    0.50    0.59    0.82
 2012    0.73    0.93    0.93    0.71    0.45
 2013    0.57    0.50    0.38    0.65    0.70
 2014    0.69    0.89    0.62    0.64    0.69
 2015    0.82    0.85    0.74    0.90    0.76
 2016    0.65    0.59    0.45    0.68    0.86
 2017    0.92    1.02    1.01    0.92    0.75
 2018    0.37    0.33    0.33    0.40    0.41
 2019    0.76    0.43    0.37    0.94    1.13
 2020    1.18    1.49    1.57    1.08    0.73
 2021    0.73    1.20    0.72    0.61    0.60
 2022    0.89    0.89    1.09    0.93    0.63
 2023    0.82    0.87    0.73    0.77    0.94
 2024    0.83    1.07    1.10    0.70    0.55
 2025    0.69    0.75    0.53    0.59    0.95
 2026    1.08    1.16    1.39    1.09    0.69
 2027    1.32    0.96    1.05    1.50    1.58
 2028    1.32    1.70    1.54    1.25    0.95
 2029    1.04    1.15    0.90    1.01    1.13
 2030    1.32    1.60    1.49    1.27    1.03
 2031    0.94    1.03    0.76    1.01    0.96
 2032    1.31    1.62    1.23    1.25    1.28
 2033    1.21    1.35    1.28    1.10    1.21
 2034    1.35    1.37    1.21    1.52    1.25
 2035    1.40    1.66    1.41    1.46    1.14
 2036    1.25    1.16    1.21    1.40    1.16
 2037    1.19    1.25    1.08    1.22    1.23
 2038    1.42    1.64    1.59    1.47    1.02
 2039    1.08    1.18    1.11    1.09    0.97
 2040    1.28    0.97    0.86    1.51    1.61
 2041    1.64    1.81    1.74    1.70    1.33
 2042    1.27    1.38    1.16    1.22    1.35
 2043    1.42    1.53    1.51    1.53    1.09
 2044    1.29    1.27    1.26    1.28    1.36
 2045    1.74    1.79    2.03    1.75    1.39
 2046    1.64    1.59    1.46    1.68    1.79
 2047    1.86    1.92    2.01    1.95    1.57
 2048    1.64    1.69    1.63    1.58    1.69
 2049    1.65    1.76    1.59    1.62    1.67
 2050    1.73    1.92    1.81    1.78    1.46
 2051    1.66    1.77    1.35    1.76    1.77
 2052    2.02    2.34    2.03    2.03    1.78
 2053    2.02    1.88    2.10    1.91    2.16
 2054    2.58    2.75    2.58    2.85    2.13
 2055    2.09    2.15    2.11    2.15    1.94
 2056    1.95    1.94    1.69    2.04    2.10
 2057    2.20    2.24    2.52    2.19    1.86
 2058    2.13    2.05    1.96    2.17    2.32
 2059    2.47    2.73    2.55    2.58    2.06
 2060    1.79    2.08    1.67    1.82    1.68
 2061    1.96    1.88    1.85    2.13    1.91
 2062    2.12    2.12    1.99    2.19    2.16
 2063    2.48    2.31    2.62    2.66    2.22
 2064    2.43    2.37    2.35    2.59    2.33
 2065    2.59    2.46    2.36    2.76    2.69
 2066    2.53    3.02    2.49    2.58    2.17
 2067    2.52    2.24    2.11    2.95    2.55
 2068    2.75    2.93    2.68    2.80    2.62
 2069    2.80    2.97    2.83    2.91    2.51
 2070    2.32    2.61    2.33    2.26    2.21
 2071    2.49    2.42    2.42    2.51    2.58
 2072    2.69    2.99    2.63    2.76    2.44
 2073    2.70    2.63    2.33    2.89    2.85
 2074    3.00    3.07    3.03    3.17    2.68
 2075    2.96    2.67    2.58    3.19    3.22
 2076    3.15    3.24    3.10    3.27    2.99
 2077    3.35    3.32    3.33    3.55    3.13
 2078    2.81    3.09    2.60    2.81    2.83
 2079    2.90    3.02    2.99    3.03    2.55
 2080    3.00    3.12    2.86    3.08    2.97
 2081    3.37    3.75    3.67    3.40    2.76
 2082    2.96    2.92    2.77    3.20    2.83
 2083    3.25    3.31    3.37    3.45    2.82
 2084    3.14    3.12    3.03    3.22    3.16
 2085    3.30    3.45    3.46    3.36    2.95
 2086    3.28    3.16    3.15    3.59    3.06
 2087    3.48    3.39    3.29    3.68    3.45
 2088    3.45    3.58    3.34    3.65    3.21
 2089    3.55    3.54    3.26    3.60    3.78
 2090    4.06    4.18    4.14    4.34    3.54
 2091    3.56    3.36    3.25    3.81    3.67
 2092    3.51    3.68    3.53    3.60    3.24
 2093    3.54    3.63    3.46    3.73    3.30
 2094    3.46    3.52    3.22    3.76    3.27
 2095    3.62    3.81    3.61    3.83    3.23
 2096    3.66    3.53    3.20    3.88    3.90
 2097    4.06    4.47    4.36    4.13    3.40
 2098    3.50    3.68    3.45    3.57    3.35
 2099    3.73    3.81    3.51    3.84    3.76
 2100    3.99    4.32    4.23    4.14    3.34
Projections under SRES B1 scenario
 2000    0.73    0.56    0.74    0.95    0.52
 2001    0.01    0.44   -0.05   -0.19    0.07
 2002    0.46    0.04    0.16    0.68    0.75
 2003    0.86    1.00    0.87    0.97    0.61
 2004    0.43    0.46    0.40    0.53    0.32
 2005    0.49    0.58    0.44    0.61    0.32
 2006    0.44    0.35    0.22    0.62    0.46
 2007    0.84    0.91    0.81    0.96    0.68
 2008    0.95    0.91    0.99    0.99    0.89
 2009    0.27    0.64    0.24    0.32    0.00
 2010    0.75    0.18    0.64    0.96    0.94
 2011    0.76    0.85    0.90    0.83    0.44
 2012    0.49    0.63    0.37    0.56    0.41
 2013    0.54    0.74    0.57    0.57    0.33
 2014    0.45    0.33    0.31    0.49    0.63
 2015    0.67    0.41    0.59    0.84    0.70
 2016    0.97    0.78    0.98    1.11    0.88
 2017    0.84    0.92    0.85    0.85    0.75
 2018    0.94    0.99    0.76    1.01    0.99
 2019    0.98    1.01    0.85    1.14    0.90
 2020    0.80    0.95    0.88    0.76    0.66
 2021    1.07    0.79    1.14    1.21    0.98
 2022    0.80    0.91    0.76    0.76    0.82
 2023    0.98    1.00    1.08    0.93    0.91
 2024    0.70    1.02    0.93    0.57    0.45
