Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
        146.0   108.1   198.9   128.4   141.9
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    3.72   40.34   -8.21   13.13   -9.49
 1961    3.12   24.61    0.42   15.90  -19.42
 1962    1.02  -19.12   -9.77   14.47   10.16
 1963   15.23   74.29   15.14   11.24   -9.81
 1964  -19.09  -22.25   -6.05  -27.05  -26.18
 1965    3.48   -5.87    2.51   14.78   -4.06
 1966    1.31   18.57   -5.14   12.72  -12.18
 1967   -4.89   -0.91  -11.83    3.29   -7.07
 1968  -10.07    1.61    0.69  -25.94  -11.93
 1969   -6.47  -29.02   19.69  -24.23  -10.28
 1970  -36.07  -14.06  -41.63  -41.14  -33.32
 1971   -0.98  -45.53  -14.09   11.97   24.38
 1972    2.43    0.53    9.69    3.21   -7.72
 1973   21.83    3.47   32.19   28.68    8.38
 1974   -2.85   19.31   17.82  -11.95  -32.10
 1975    0.82  -22.78   -5.87   29.89  -12.87
 1976    2.49   -1.33    7.01    6.79   -7.09
 1977   12.94   23.18   -3.91   32.87    7.29
 1978   -9.16   -5.95  -12.69  -12.15   -2.25
 1979    6.61   -2.74    4.73   13.09    6.19
 1980  -15.32   17.68  -13.57  -18.68  -30.48
 1981  -12.62   -6.15   22.64  -43.92  -27.58
 1982   -7.68  -19.72   -8.49    7.26  -18.43
 1983   -7.41  -18.04  -15.59   11.02  -12.77
 1984    2.00   21.72  -11.27   21.79  -13.29
 1985   -0.10   11.37   20.05  -14.48  -16.84
 1986  -12.55  -20.92    7.78  -16.85  -31.59
 1987    0.10   -6.04   -3.79    9.19   -2.28
 1988    6.27   19.63  -10.61    1.44   28.98
 1989  -12.61    3.92   -2.11  -21.43  -25.06
 1990  -13.28  -34.12   -0.60  -11.48  -22.65
 1991    4.50   12.71  -12.36   -3.95   34.15
 1992    9.45   25.28    5.22  -15.24   37.10
 1993   10.37   23.67   17.06    2.29    3.96
 1994    2.10  -32.81   -2.34   40.38  -20.13
 1995   21.27   -1.55   24.69    2.81   50.32
 1996    1.92   46.80   -4.45  -22.60   17.65
 1997  -17.65  -30.07    3.02  -36.08  -18.06
 1998    8.40  -16.33  -19.55   21.80   43.97
 1999   34.78   48.88   11.02   25.46   72.13
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000   -3.71   47.66   11.03  -27.22  -22.10
 2001  -10.36   -5.71  -14.09   -4.31  -14.81
 2002   -5.46  -50.77    8.46    6.48  -16.35
 2003   12.95   15.32   16.42    3.04   18.81
 2004   16.51   -2.67    6.07   38.26   14.66
