Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (%)
 YEAR  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    0.47    5.60    3.60   -8.31   -2.12
 1961    0.71    3.57    1.93   -0.99    0.07
 1962    1.02   -0.14    1.94    1.99    2.60
 1963    2.12    2.25    4.00   -2.87   -0.40
 1964   -4.17   -5.06    0.66  -12.05   -5.74
 1965    0.12    7.12    0.56   -2.84    0.37
 1966    2.06    4.23    3.33    5.24   -2.23
 1967    0.60    0.97    1.21   -1.18   -3.92
 1968   -2.46   -4.79   -1.12   -2.63    0.34
 1969   -5.79   -7.27   -1.22   -3.96   -6.75
 1970   -6.34   -3.28   -5.43  -12.99   -0.74
 1971   -0.98    1.40   -1.69   -7.14   -0.59
 1972    1.66    3.99    2.91    1.09   -4.75
 1973    2.13   -1.02    3.73    3.23   -1.56
 1974    2.11    1.17    3.04    1.01    3.34
 1975    0.82   -1.59    2.26   -1.08   -3.34
 1976    2.49   -6.20    6.21   -0.41   -0.10
 1977    3.21   -5.48    2.32   -1.44    0.72
 1978   -0.81    1.97   -1.41   -6.74   -3.23
 1979    5.30    2.71    1.04   10.30    6.19
 1980    0.33   -1.81    0.95   -5.61   -3.98
 1981    1.70    0.24   -2.32    7.53    2.45
 1982   -1.18   -6.61   -2.39    0.67    1.16
 1983   -0.46   -0.03    2.49    4.56   -1.64
 1984    1.32   -1.75   -3.90    7.36   -1.33
 1985   -1.10   -9.11    3.22   -0.43   -0.20
 1986    5.02    6.53    3.85   -1.68   -0.67
 1987   -0.70   -0.33   -2.97   -2.92   -2.28
 1988   -2.95   -0.44   -0.75   -6.79   -2.34
 1989    0.82   -0.42    1.40    7.04    0.77
 1990    2.57   -4.15   -0.57    3.55    2.39
 1991   -1.89    1.61   -7.37    0.12    0.58
 1992    1.49    1.74   -1.66    0.88   -0.61
 1993   -0.97    2.41    0.20   -4.10    3.37
 1994   -1.91   -5.08   -0.14   -4.51   -0.81
 1995   -2.92   -6.61   -2.24   -4.10   -1.93
 1996   -1.58   -2.42   -4.66    4.44    0.72
 1997   -1.76   -1.52    3.67   -8.55    1.79
 1998    1.52   -0.43   -4.92    4.98    4.06
 1999   -0.26    6.42    1.78  -10.89    2.87
 2000   -1.09   -0.00   -0.51   -3.73   -3.25
Projections under SRES A2 scenario
 2000   -0.58    2.32   -0.21   -1.53    3.56
 2001    0.88    5.75   -1.68    7.60   -1.36
 2002    0.08   -1.00    6.74   -5.81    0.26
 2003    1.22   -3.09   -3.82    5.98   -5.31
 2004    2.56   -0.46    3.10   -0.20    2.76
 2005    1.29    2.84    2.34    5.46    0.64
 2006    1.13   -1.47   -4.65    2.47    6.98
 2007   -0.68   -2.52    2.01   -1.42   -1.73
 2008    4.83   -4.60    4.08    3.16    1.33
 2009    4.59    8.58    1.18    6.46    1.48
 2010    0.90    0.40    1.38   -8.50    2.17
 2011    1.58   -5.42    1.02   -4.45    4.20
 2012    1.46    5.67   -2.92   -0.69    3.81
 2013   -1.77   -2.49   -0.24    2.47   -0.77
 2014    2.87  -10.40    2.06   -2.32    5.00
 2015   -0.41   -4.72   -1.31   -0.23   -3.03
 2016   -1.46    2.80   -2.30   -3.83    6.50
 2017    2.80   -1.42    3.74   -2.65    3.98
 2018    2.59    1.81   -1.69    1.77    1.64
 2019    1.16    2.16    0.08    2.54    3.27
 2020    0.93    6.19   -3.22    1.05    1.89
 2021   -0.65   -0.76    1.72    1.06    0.06
 2022    2.04    4.53    2.29    3.11    5.84
 2023    3.87   12.55    3.80    3.72    3.56
 2024    6.29    3.43    6.87    3.45    8.66
 2025    0.88   -2.31    0.52   -0.54    5.60
