Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
         92.1   130.8   114.0    49.6   101.3
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.08    5.01    3.60  -12.95   -0.22
 1961    0.71   -4.62   10.42  -27.86   13.03
 1962  -10.91   -4.51    2.04  -10.75  -31.09
 1963    1.96   -9.92    1.30   -2.87   16.11
 1964  -12.35   -4.42  -16.37  -26.00   -5.74
 1965   -2.99   17.34  -18.38  -14.95    4.62
 1966    2.06   17.44  -15.46   27.37   -7.98
 1967   -3.27   -9.03    6.02   -5.62   -7.22
 1968   -7.58    2.19   -8.25  -42.62    7.62
 1969    7.27   28.98    3.16    9.08   -7.98
 1970   -8.54   -7.77   -7.13  -20.80   -2.79
 1971    3.11   -0.37    0.48   -0.57   11.46
 1972   -8.87   -4.75    0.64  -23.59  -13.52
 1973   -3.85   17.26    0.72  -30.03  -10.07
 1974   -2.20   15.23    1.49  -12.55  -14.59
 1975    6.27   21.82    9.62   -1.40   -5.89
 1976   -3.74   20.83  -20.61    9.69  -14.68
 1977   -1.33  -25.07    4.32   -2.03   13.21
 1978    0.63    3.33   11.22  -21.60    0.91
 1979    5.30   14.41   15.12   10.30  -16.87
 1980    2.36  -12.46   16.05  -11.73    8.91
 1981    0.83    8.13   -7.79    7.81   -0.30
 1982    2.86  -16.28  -11.89   34.50   15.29
 1983   -0.46  -10.45    0.87   12.22   -1.64
 1984   -1.61  -15.01    4.42    5.27   -1.33
 1985   -1.10   -9.11   -0.46    7.00   -0.20
 1986    7.12   23.58  -14.46   22.26    7.36
 1987   -0.70    5.73   -1.88    0.09   -5.43
 1988   -4.40  -16.85    3.96    8.19  -11.29
 1989   -8.58  -24.22   -3.84  -16.91    4.97
 1990    2.58   -4.15    1.98   27.50   -7.20
 1991   -5.01    0.07  -14.99   -3.09    0.58
 1992    3.53   23.30   -3.54    0.88   -3.82
 1993   -0.97    2.41   -7.18  -21.64   16.58
 1994    0.80   -4.38   -2.25   -5.96   13.11
 1995   -5.63  -10.95   -3.67    2.76   -8.75
 1996   -7.33  -15.44   -6.97    8.67  -11.17
 1997    7.02    1.64    4.47   12.52   10.93
 1998   15.47   -0.25   20.75   15.00   23.38
 1999    6.44   19.77   10.56  -12.76    2.87
 2000    4.71   11.14  -15.84   15.93   14.98
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -7.06   21.74  -14.68  -17.03  -16.80
 2002    9.57  -15.31   23.79   -5.81   25.04
 2003   -1.83   10.62  -14.17   29.32  -19.00
 2004   -0.87  -13.78   13.87   -4.26   -4.14
 2005    3.08    7.04    2.34   10.19   -4.15
 2006   -8.26    8.54   -5.86  -24.14  -15.07
 2007   13.09    9.46   10.99   22.11   12.68
 2008    8.76   -2.37   -5.17   24.76   23.57
 2009   12.17    6.89    5.04   25.28   16.16
 2010   -5.68   -4.25   -1.78  -17.68   -3.48
 2011    7.37   -5.42   -1.31   -4.45   35.87
 2012    0.83   21.23   -3.82   -6.28   -6.87
 2013   -2.90  -11.07  -13.13  -22.24   28.25
 2014   -0.49    4.13   -2.35  -11.61    4.87
 2015   -1.02   -4.72   -8.52    0.95    9.31
 2016   -7.04   -1.24   -9.42  -12.26   -5.94
 2017   -2.02  -20.67   15.20   -6.86   -2.20
 2018   -3.34  -34.43  -11.36   32.78    8.87
 2019   11.55   19.24   -2.23   37.15    3.71
 2020   13.30   -2.15   10.66   23.16   23.12
 2021   10.58    8.42    4.25    1.06   25.76
 2022    9.71   -5.01    6.40    3.07   30.43
 2023    3.87    5.76   10.17  -13.65    6.59
 2024    0.21   -4.41   -2.05   12.23   -1.11
 2025    2.24   -2.31    2.80    3.15    4.93
 2026   -0.41  -20.04    2.79   16.40    1.93
 2027    2.07   13.18    3.00    6.02  -11.11
 2028   11.54   11.35   23.33    1.45    5.01
 2029   -0.40  -10.18    7.46   -8.91    4.74
 2030    6.34    1.34    8.48   14.40    2.99
 2031    8.11   -1.46    5.26    4.64   21.83
 2032    7.97   -7.80   -3.11   42.36   11.58
 2033   16.32   16.87   -4.91   29.06   31.40
 2034    5.10   17.92  -11.97   14.91    6.86
 2035   -1.59  -30.05    7.75   -5.98   15.29
 2036    3.10   -1.08    4.45   -1.18    7.97
 2037   -0.97    3.31    1.00    2.41   -9.08
 2038   -0.27  -15.63    1.87   17.52   -1.06
 2039   13.81    1.44  -11.35   38.59   36.59
 2040    5.99    8.99  -16.07   56.28   -4.58
 2041   -0.07  -10.45    1.07    8.46    2.03
 2042   12.25    9.35    1.98    6.81   29.83
 2043    5.31   10.42    1.56   12.09    0.71
 2044    0.20    6.62  -13.82  -26.65   27.99
 2045    2.78   -4.78  -23.66   17.36   29.51
 2046    0.65    0.44  -31.04    6.81   32.46
 2047    3.10   18.21    8.73  -12.80   -5.87
 2048    2.95  -21.98  -17.48   37.34   24.96
 2049   -5.14  -25.68   -9.14   17.27    2.42
 2050   -1.24   -7.03    0.29  -13.80   10.22
 2051    1.13  -39.17    6.18   14.80   21.23
 2052    1.73   -5.55   10.24   -6.78    4.00
 2053    0.53  -16.99   24.60  -16.53   -0.32
 2054  -10.39    4.37  -14.62  -29.39   -5.95
 2055    2.44   19.16   -5.57    3.11   -3.39
 2056    3.11   -7.17    7.25   -2.75   11.12
 2057  -10.01   -7.69  -17.92  -13.71   -0.69
 2058    2.54  -27.04    8.89   -1.54   23.51
 2059    2.47  -13.68   11.86   10.27    0.70
 2060   14.62   20.50  -10.56   14.11   38.22
 2061   20.24   11.24   15.70   23.36   31.08
 2062   13.45    6.41   10.20   20.11   18.85
 2063   -0.13    7.73  -15.83   -1.40   11.60
 2064    1.86  -23.50  -12.29    8.77   35.10
 2065    8.06   11.72   13.45   -1.76    5.24
 2066   -2.94  -12.99  -11.56   -2.95   15.42
 2067  -13.34   14.30  -20.51  -25.80  -20.92
 2068   11.66    2.84   11.41   22.15   12.67
 2069    7.35   -9.02    3.89   29.54   10.87
 2070   -0.15    1.90   -5.49  -16.30   14.63
 2071    5.39    3.08   -1.28   13.08    9.89
 2072    0.02  -16.60   15.67  -10.77    3.75
 2073    6.15  -28.52   -0.04   34.61   24.38
 2074   22.10   -3.86    9.93   49.90   39.99
 2075    8.52   -2.86    1.73   15.62   21.31
 2076    7.39   -2.51  -20.59   46.88   21.64
 2077   11.31   10.23    8.57  -10.66   29.65
 2078    7.47  -12.75   23.62    7.35    6.78
 2079    8.83  -15.79    2.84   16.61   31.68
 2080    2.70   -7.96   -2.32    9.85   12.86
 2081   27.68   -7.33   31.33   34.35   49.38
 2082   13.95    8.28    1.53   16.85   30.92
 2083   11.48   -9.08   13.56   -4.47   37.25
 2084    7.85   -9.83  -19.48   44.68   29.80
 2085    8.82   -2.36    6.20    3.38   24.96
 2086    5.02   -0.90    7.51    6.58    6.28
 2087   15.49    6.45    2.75   40.29   21.42
 2088   -2.41  -26.29  -14.49   16.93   19.12
 2089    5.85  -26.57    8.61   23.95   18.84
 2090    7.21   -1.13    3.67   31.50    2.51
 2091   -9.01  -12.24  -21.46  -10.16    8.54
 2092    8.64   25.85   -5.22   12.96    6.60
