Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual      JF     MAM    JJAS     OND
      23.9480      24.7232      24.9057      22.7755      24.0370
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
YEAR   Annual      JF     MAM    JJAS     OND
1960    -0.21   -0.67   -0.68    0.26   -0.06
1961    -0.42   -0.77   -0.44   -0.03   -0.67
1962    -0.10   -0.92   -0.70    0.60    0.11
1963    -0.09   -1.11   -0.65    1.11   -0.43
1964    -0.35   -0.45   -0.52    0.04   -0.61
1965    -0.62   -1.20   -0.88   -0.27   -0.44
1966    -0.22   -0.79   -0.59    0.38   -0.27
1967    -0.51   -0.49   -0.51   -0.60   -0.40
1968    -0.48   -0.72   -0.71   -0.29   -0.35
1969    -0.21   -0.20    0.02   -0.30   -0.34
1970    -0.33   -0.40   -0.28   -0.26   -0.43
1971    -0.53   -0.87   -0.38   -0.27   -0.82
1972    -0.63   -1.14   -0.90   -0.46   -0.24
1973    -0.13    0.17   -0.49    0.19   -0.42
1974    -0.53   -0.90   -0.41   -0.38   -0.59
1975    -0.50   -0.73   -0.51   -0.38   -0.48
1976    -0.71   -0.81   -0.50   -0.89   -0.62
1977    -0.37   -0.75   -0.48   -0.19   -0.25
1978    -0.37    0.05   -0.55   -0.51   -0.27
1979    -0.22   -0.18   -0.36   -0.20   -0.13
1980    -0.24   -0.21   -0.15   -0.36   -0.19
1981    -0.25    0.04   -0.37   -0.17   -0.41
1982    -0.34   -0.20   -0.48   -0.56   -0.00
1983     0.05    0.73    0.51   -0.36   -0.31
1984     0.07    0.08   -0.14    0.31   -0.04
1985    -0.11   -0.05   -0.18   -0.06   -0.14
1986    -0.02    0.09    0.09   -0.11   -0.10
1987     0.50    0.42    0.55    0.47    0.56
1988     0.25    0.39    0.31    0.33   -0.02
1989     0.30    0.04    0.08    0.42    0.53
1990     0.26    0.32    0.48   -0.01    0.35
1991     0.10    0.11    0.07    0.28   -0.13
1992     0.11    0.34    0.16   -0.21    0.31
1993     0.35    0.20    0.43    0.13    0.64
1994     0.37    0.18    0.50    0.22    0.55
1995     0.60    0.49    0.62    0.76    0.42
1996     0.27    0.18    0.12    0.35    0.38
1997     0.45    0.44    0.26    0.33    0.79
1998     1.20    1.63    1.61    1.04    0.71
1999     0.42    0.37    0.38    0.54    0.32
2000     0.38    0.26    0.46    0.35    0.42
2001     0.43    0.26    0.45    0.27    0.73
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
