Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual      JF     MAM    JJAS     OND
      23.9480      24.7232      24.9057      22.7755      24.0370
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
YEAR   Annual      JF     MAM    JJAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961     0.04   -0.07    0.37   -0.26    0.20
1962     0.16   -0.02    0.19   -0.04    0.50
1963     0.42   -0.23    0.33    0.77    0.48
1964     0.10    0.55    0.42   -0.24   -0.07
1965     0.12   -0.18    0.14    0.14    0.26
1966     0.42    0.20    0.47    0.47    0.46
1967     0.12    0.07    0.26   -0.12    0.34
1968     0.11   -0.04    0.02    0.05    0.39
1969     0.35    0.27    0.75    0.09    0.37
1970     0.26    0.33    0.50    0.11    0.18
1971    -0.14   -0.22   -0.22    0.01   -0.21
1972    -0.18   -0.21   -0.32   -0.24    0.04
1973     0.12    0.41    0.07    0.23   -0.16
1974    -0.35   -0.63   -0.43   -0.18   -0.32
1975    -0.29   -0.27   -0.23   -0.34   -0.29
1976    -0.65   -0.73   -0.60   -0.72   -0.53
1977    -0.05   -0.21   -0.03   -0.13    0.14
1978    -0.19    0.09   -0.33   -0.38    0.00
1979     0.32    0.31    0.24    0.08    0.74
1980     0.39    0.37    0.60    0.20    0.44
1981    -0.12   -0.02   -0.18   -0.08   -0.18
1982    -0.44   -0.26   -0.47   -0.63   -0.30
1983    -0.13    0.62    0.45   -0.74   -0.37
1984     0.02   -0.23   -0.23    0.44   -0.14
1985    -0.24   -0.43   -0.47   -0.02   -0.19
1986    -0.37   -0.40   -0.42   -0.28   -0.40
1987     0.28    0.08    0.25    0.38    0.32
1988     0.04    0.17    0.16    0.26   -0.44
1989    -0.25   -0.55   -0.55   -0.31    0.33
1990    -0.11    0.44    0.07   -0.61    0.00
1991     0.08    0.09    0.06    0.30   -0.21
1992    -0.32   -0.35   -0.13   -0.53   -0.19
1993     0.18   -0.14    0.07    0.32    0.33
1994     0.16   -0.03    0.34    0.06    0.25
1995     0.26    0.05    0.25    0.49    0.11
1996    -0.05    0.31    0.03    0.10   -0.55
1997     0.34    0.04   -0.39    0.52    1.04
1998     1.05    1.32    1.43    1.04    0.49
1999     0.37    0.05    0.50    0.67    0.06
2000     0.16   -0.01    0.14    0.24    0.19
2001     0.28    0.06    0.55    0.31    0.12
2002     0.57    0.43    0.64    0.76    0.35
2003     0.71    0.42    0.34    1.04    0.83
2004     0.67    0.88    0.67    0.47    0.80
2005     0.52    0.68    0.75    0.12    0.73
2006      NaN     NaN     NaN     NaN     NaN
