Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         20.57     2.50     7.85    19.44     8.02
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.27     1.94    -2.52     5.40    -0.73
1962     21.69     1.58    13.75    18.86    -1.00
1963      0.61     0.01     6.29     0.42    -1.50
1964     -6.36    -0.41     3.94    -5.50    -1.67
1965     -0.18    -0.09     6.96    -1.68     3.54
1966      9.71    -0.39    -2.88    -6.98    21.36
1967     -1.88     1.41     0.89    -3.52     4.43
1968      4.47     2.86     0.80     4.79    -0.66
1969     -2.51     0.46    -1.08    -1.88     0.81
1970      2.03     0.73     2.88     3.16     0.76
1971     -5.53    -1.75    -0.37    -4.40    -1.51
1972     -5.52     0.62     0.17    -5.15    -2.40
1973     -7.22    -0.95    -0.23    -6.32    -2.03
1974      2.51    -0.88     1.45     2.96    -0.03
1975     -1.39    -1.26     2.15    -1.03     1.54
1976     -5.94     0.84    -0.89    -6.00    -0.06
1977      7.19     1.72     1.51     2.58    13.61
1978     -2.64    -0.12    -6.08    -2.05     1.94
1979     -4.16    -0.80    -2.47    -3.83    -1.14
1980      8.63    -1.05     0.10     9.76     0.31
1981     13.85    -0.49    21.93    -4.07     0.70
1982     -3.57    -0.12    -0.59    -2.70    -2.02
1983     -4.51    -1.71    -3.36    -3.47    -1.69
1984     -6.84     1.75    -0.73    -5.83    -3.43
1985     -6.41    -1.66    -0.08    -5.34    -0.01
1986      7.31     3.84    -4.21     7.68    -0.23
1987      6.94     5.61    -5.02     8.06     1.32
1988     -7.60    -1.61     2.27    -6.87    -0.71
1989      6.57    -1.06    -2.77     7.70    -1.93
1990     -3.06     0.40    -1.50    -2.17    -0.12
1991     15.75     0.62     1.42    16.88    -0.63
1992     -1.06    -0.93    -4.17     0.05     0.93
1993      8.32    -0.67     0.62     9.27     1.46
1994      2.54     1.04    -3.19     3.67    -0.76
1995     -7.02    -1.27     0.41    -6.15     2.39
1996      1.27     0.05    -0.69     2.39    -0.36
1997      0.11    -0.08    -0.76     0.94    -3.83
1998     -4.72     0.08    -2.10    -3.60    -2.04
1999     -5.82    -0.89     4.30    -6.12    -0.05
2000     -1.70     0.43    -1.97    -0.59    -1.50
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
