Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         18.60     2.44     7.75    16.18     8.87
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -7.33    -1.36     2.29    -8.51    -3.59
1962     -0.61     2.31     3.69    -7.99     2.97
1963     -8.02     0.61    -0.68    -5.60    -4.21
1964      2.43    -1.23     1.66     3.37    -4.61
1965     -6.61     5.32     0.41    -5.38    -5.45
1966      4.22    -1.15     0.68     6.23    -0.26
1967     -4.41    -0.85     0.10    -2.26    -3.54
1968      4.74    -0.96    -1.55     6.53    -4.46
1969     -6.87     0.31    -3.73    -8.77     0.42
1970     -8.06     2.64    -1.59    -8.29     0.77
1971      3.24    -0.47    -3.97     5.66    -5.53
1972     14.25     1.74     2.42    16.07     5.35
1973      8.04    -0.55     2.63     8.25    -2.94
1974      2.41    -0.70    -0.78     4.00     1.70
1975     12.89    -1.34    -1.17    14.20    -1.01
1976     -7.80    -0.49     2.75   -10.00    -1.42
1977     -9.51     1.00    -2.54    -7.38    -4.03
1978      2.12     0.27     0.45     2.17     9.82
1979     -7.68    -1.53    -1.13    -6.66    -2.59
1980     -2.39    -1.18     2.67    -2.43    -4.68
1981     -0.31    -0.71     1.48    -1.45     7.09
1982      7.46    -1.12     0.02     9.75    -4.61
1983     -2.04     0.18     0.05     0.38    -1.14
1984     12.29    -1.50    -0.72     4.40    19.91
1985     -2.06     1.33     2.30    -6.03    -2.15
1986     -2.71     0.29    -1.50    -0.71    -2.98
1987     -1.65    -1.42     1.00    -0.66    -0.54
1988      4.57     1.02     2.80     5.13    -1.18
1989      2.08    -1.71     2.65     0.42     3.00
1990     11.62     2.21    -0.74    12.25     6.26
1991      0.36    -0.91     1.51    -8.23     7.35
1992     -1.67     0.03     2.28     0.64    -4.45
1993      0.13    -0.34     2.03    -0.96    -1.82
1994    -10.38     2.84    -2.29   -10.04    -1.37
1995     -0.17     0.66    -2.46     0.95    -3.29
1996     -3.08    -0.38    -4.03    -1.23    -2.36
1997     -7.45    -0.91    -3.45    -5.09    -4.53
1998     -6.39     1.41    -0.87    -7.26    -4.58
1999     -8.10    -0.37     0.23    -7.82    -4.06
2000     -1.82    -1.29     2.94    -4.26     4.25
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
