Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.97    10.00     9.99    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.48     6.16    17.71    21.64    13.21
1962     14.59    24.57    12.04    12.85     7.25
1963      8.85     4.75    16.35    12.00    12.82
1964     16.77    20.77    23.84    12.45    20.16
1965     11.93    25.96    13.78    28.32    10.73
1966     12.09    18.84    16.32    26.56    11.31
1967      7.21     0.29     9.46     6.64    19.36
1968     12.16     8.33     7.10    13.54    23.94
1969     13.22    13.50    21.08    19.92    11.66
1970     11.54    16.22    11.77    12.42    15.30
1971     11.30    14.72    14.31    16.41     4.91
1972     11.83    13.08    11.59    12.31     9.88
1973     10.76     5.90    14.58    11.76    13.86
1974      9.06    10.03    21.05     6.58     8.81
1975     10.86     8.85     1.94     8.74    11.13
1976     16.70    21.40    20.29    26.18    11.39
1977      4.29     0.52    15.30     6.51     4.63
1978      6.95     8.57    11.39     9.20     6.59
1979     11.69    12.11    17.84    10.09     8.23
1980      9.09     8.55     5.69    10.29     7.01
1981     10.31    13.22    12.63    14.35     9.86
1982     11.79     9.47    12.76    24.45    13.12
1983     15.49    18.88    13.98    11.28    15.50
1984      9.00    10.31    10.06    11.71     7.32
1985     10.24     5.83     9.31    21.74     8.28
1986     14.40    10.59     8.71    15.38    16.67
1987      7.93     2.24    12.43    15.35    16.56
1988     11.21     8.40     7.33     6.77     7.13
1989      7.76     9.06     5.30     7.23     8.78
1990     11.33    12.11    12.85     1.94    12.57
1991      4.44     1.77     3.69     2.88     8.17
1992     12.77    16.60    10.30     5.70    12.66
1993     11.78    15.27    12.71     9.76    13.21
1994      4.05     3.13     0.25     2.49     3.01
1995      5.72     5.45     1.65     1.89     4.90
1996      9.70    10.41     7.48     7.19     9.65
1997      8.73    10.58     5.47     0.82    10.21
1998      7.20     3.47     1.96     3.75     9.22
1999     11.97    12.26     5.31     4.67    12.05
2000      6.94     2.96     1.73     1.58     7.60
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.54     0.70     0.76     0.03     2.86
2047      2.35     2.25     0.55     0.51     3.28
2048      4.90     1.39     0.14     0.88    10.37
2049      2.57     1.01     0.00     0.02     2.49
2050      3.61     2.43     0.15     0.06     3.01
2051      0.48     0.02     0.14     0.02     0.40
2052      1.65     1.90     0.00     0.02     0.13
2053      3.06     5.69     0.05     0.46     0.05
2054      1.38     0.05     0.23     0.18     5.45
2055      3.32     0.78     2.07     0.74     1.33
2056      1.07     1.28     0.58     0.22     0.05
2057      0.94     0.00     0.00     0.00     0.00
2058      0.25     0.42     0.36     0.34     0.29
2059      1.99     2.19     0.71     0.02     2.39
2060      1.07     0.51     0.21     0.06     0.13
2061      0.27     0.00     0.25     0.00     0.61
2062      1.49     0.89     1.18     0.03     1.49
2063      0.25     0.78     0.15     0.35     0.05
2064      0.34     0.08     0.78     0.75     0.03
2065      1.30     0.15     0.00     0.00     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.02     0.00     0.28     0.00     0.06
2082      0.00     0.15     0.48     0.02     0.00
2083      0.00     0.19     0.00     0.00     0.17
2084      0.06     0.20     0.00     0.00     0.05
2085      0.14     0.00     0.06     0.00     0.00
2086      0.02     0.00     0.15     0.02     0.03
2087      0.00     0.00     0.00     0.00     0.00
2088      0.84     1.24     0.28     0.00     0.00
2089      0.03     0.48     0.00     0.00     0.00
2090      0.32     0.33     0.00     0.00     1.15
2091      0.00     0.03     0.28     0.02     0.00
2092      0.55     0.03     0.00     0.00     0.00
2093      0.14     0.00     0.00     0.00     0.00
2094      0.02     0.00     0.00     0.00     0.10
2095      0.08     0.03     0.06     0.00     0.00
2096      0.32     0.05     0.00     0.00     0.00
2097      0.00     0.00     0.00     0.00     0.00
2098      0.00     0.00     0.00     0.00     0.00
2099      0.00     0.00     0.00     0.00     0.00
2100      0.02     0.00     0.24     0.00     0.00
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.36     0.30     2.56     0.24     0.02
2047      1.00     0.67     0.90     0.00     1.93
2048      3.34     2.77     0.20     0.45     4.75
2049      1.64     2.84     0.11     0.02     0.00
2050      0.63     0.02     1.28     0.00     0.00
2051      2.24     1.44     0.17     0.05     1.10
2052      0.59     0.36     1.91     0.00     0.26
2053      0.93     1.19     0.25     0.23     2.58
2054      0.02     0.00     0.69     0.00     0.00
2055      1.56     0.83     0.45     0.02     0.00
2056      0.78     0.05     0.02     0.02     0.13
2057      1.81     0.25     0.42     0.02     2.89
2058      2.08     1.83     0.02     0.00     0.00
2059      2.63     3.32     0.78     0.21     3.68
2060      0.67     1.22     0.48     0.00     0.08
2061      0.47     0.00     0.15     0.00     0.03
2062      0.77     0.03     0.00     0.43     0.00
2063      0.61     0.00     0.32     0.00     0.00
2064      0.92     0.89     0.14     0.00     0.03
2065      1.09     0.17     0.28     0.03     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.40     0.96     0.10     0.05     0.00
2082      0.43     0.03     0.14     0.00     0.00
2083      0.00     0.14     0.91     0.00     0.00
2084      0.03     0.00     0.00     0.00     0.00
2085      0.03     0.00     0.13     0.12     0.28
2086      0.03     0.00     0.00     0.00     0.08
2087      0.08     0.00     0.14     0.02     0.31
2088      0.58     0.23     0.00     0.02     0.00
2089      0.20     0.00     0.03     0.00     0.00
2090      0.00     0.00     0.00     0.03     0.00
2091      0.23     0.00     1.76     0.00     0.00
2092      0.00     0.00     0.00     0.00     0.00
2093      0.00     0.00     0.45     0.00     0.00
2094      0.12     0.02     1.46     0.00     0.00
2095      0.25     0.02     0.06     0.00     0.00
2096      0.62     0.28     0.00     0.02     0.00
2097      0.27     0.86     0.15     0.00     0.00
2098      0.32     0.14     0.28     0.00     0.00
2099      0.20     0.76     0.00     0.00     0.00
2100      0.01     0.00     0.00     0.00     0.00
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      5.63     7.46     6.96     0.20     5.53
2047      1.64     3.03     4.26     0.09     2.02
2048      4.71     1.57     2.20     0.00     7.81
2049      3.72     3.60     0.02     1.09     0.10
2050      3.23     2.72     0.00     1.48     5.09
2051      5.02     6.87     1.77     0.08     0.25
2052      2.12     0.71     3.37     0.15     4.04
2053      1.41     3.01     0.30     0.33     1.15
2054      3.30     1.23     0.94     0.00     3.82
2055      2.04     2.32     2.92     0.81     0.00
2056      1.20     0.28     0.10     3.21     1.53
2057      4.18     3.83     3.69     0.02     0.32
2058      1.27     0.27     0.95     0.00     1.51
2059      1.85     0.34     4.39     0.03     0.00
2060      0.84     0.16     2.17     0.00     1.98
2061      3.39     4.39     0.00     0.17     0.88
2062      1.19     0.68     0.30     0.00     0.03
2063      1.99     0.00     0.90     0.02     7.09
2064      1.16     0.00     2.25     0.08     1.71
2065      2.38     1.17     0.67     0.03     5.43
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      2.94     4.50     0.46     0.23     0.36
2082      1.13     0.68     0.00     0.00     0.20
2083      1.63     0.68     1.48     0.00     0.02
2084      0.90     1.18     2.08     0.11     0.05
2085      0.59     0.02     0.00     0.02     1.88
2086      1.22     0.27     0.00     0.61     0.67
2087      1.61     0.71     0.56     0.20     1.63
2088      3.03     0.58     0.00     0.00     1.91
2089      1.00     1.33     0.24     0.02     0.13
2090      0.42     0.00     0.15     0.02     1.89
2091      0.42     0.55     1.41     0.00     1.07
2092      3.22     4.88     1.01     0.06     0.26
2093      1.88     3.30     5.43     0.15     0.02
2094      1.14     0.37     0.39     0.00     0.38
2095      0.05     0.84     0.00     0.02     0.00
2096      2.04     0.49     0.00     0.00     4.15
2097      1.18     1.22     1.11     0.02     0.00
2098      0.63     0.27     0.97     0.00     0.00
2099      1.06     0.72     0.00     0.02     1.61
2100      0.57     0.00     0.14     0.22     1.86
