Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99     9.97    10.11    10.03    10.04
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.21     7.36     2.02     4.99     4.38
1962      9.00     0.30     8.70    10.70    11.53
1963      6.45     6.45     4.82     5.28     6.56
1964      5.49     8.89     2.71     3.28     4.62
1965      2.57     3.24     4.21     0.97     4.50
1966      2.15     8.60     1.82     0.33     3.15
1967     11.97    21.84    17.23    10.40    13.92
1968      6.04     9.00     6.96     2.64     7.71
1969      2.48     1.69     1.96     2.03     3.26
1970      6.02     9.97    13.78     2.88     4.80
1971      6.11     2.53     5.47     3.03    10.99
1972      8.47     3.46    10.28     8.71     4.13
1973      5.61     3.62    14.56     3.29     6.01
1974      9.68     9.10    13.77    15.55    10.38
1975      9.31     7.68     4.75     6.42     9.17
1976      2.35     1.52     0.73     0.25     3.81
1977      8.62    10.75     9.90     7.79     7.83
1978      8.24     8.48    12.64     5.60    12.82
1979     10.46    11.60    12.11     6.98    12.64
1980      9.14     6.04     7.83     4.66    11.90
1981      6.22    11.51     1.46     4.10     9.30
1982      5.43     5.91     2.72     6.25     5.15
1983      6.67     3.45     3.85     1.20     9.50
1984      9.28    13.02     9.05     4.27     8.82
1985      3.46    19.53     0.83     1.25     3.75
1986      6.28     5.29     5.45     5.01     9.35
1987      8.92    18.66     7.78    11.11    10.10
1988     12.58    26.67     9.06    21.52     8.16
1989     10.15     7.26     6.16     7.69     9.54
1990     15.32     8.61    16.62    17.18    11.59
1991     11.27     9.70    13.82     6.43    12.70
1992     12.85     9.72    18.31     8.59    13.42
1993      9.81    15.32     3.57     8.25    13.39
1994     15.41    15.45    19.67    14.12    11.46
1995     16.86    17.83    16.21    19.26    14.53
1996     11.47    12.42    12.35    11.09     6.72
1997     25.40     6.80    29.07    50.72    25.76
1998     15.65    12.56    10.14    27.76    11.01
1999     12.56     4.52    11.47     9.97    12.46
2000     14.08    11.01     7.84    21.46     9.00
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
