Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.89     9.98     9.99    10.03
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.91     6.49    10.30    12.72    10.68
1962     11.37    14.50     8.98     3.26     2.61
1963      9.55     7.57    11.12    45.90     2.22
1964      9.31     7.78    13.00     6.16     0.94
1965      1.66     0.01     0.92     0.01     1.29
1966      5.13     4.63     5.59    16.53     8.27
1967      8.42     6.55     6.04    12.57     9.92
1968      9.45     7.91     6.51    24.95     5.08
1969     11.45    12.63    12.93    15.63    12.31
1970      8.06     8.01     6.69     7.21    14.84
1971     13.58    17.90    11.28     8.03     5.61
1972      3.23     0.43     4.90     0.00     4.16
1973     12.79    16.60    11.92    12.94     6.20
1974     11.02     8.48     7.90    17.05     8.45
1975     16.89    24.56    18.27    14.47    19.34
1976      5.03     6.52     3.85     0.44    14.70
1977     10.87    11.48    11.28    10.70     4.44
1978      9.71     6.05    10.58    11.45     4.62
1979      4.71     1.82     3.46     0.93     7.37
1980     14.60    21.34     7.65     0.90     8.04
1981     12.71    17.37    11.17     6.20     4.21
1982      3.24     0.43     3.17    18.10     8.71
1983      6.95     1.80     7.08    11.29    10.68
1984      8.55    10.39     3.79    15.46    15.17
1985     11.26     9.29    20.05     8.86    11.98
1986      6.44     2.59     7.32     0.01     9.86
1987     11.27     8.37    12.13    10.62     7.61
1988     12.30     6.17    24.36     1.90     1.52
1989     10.81     3.55    16.99     7.60    21.18
1990      8.63     7.40     6.13     1.81    22.57
1991     13.18    14.40     8.51    11.74     2.18
1992      5.21     3.69     3.70     8.74     2.32
1993      4.26     1.95     2.27     0.44     0.76
1994      8.36     5.04     5.94    17.25    27.41
1995     15.71    19.83    17.43    43.67    18.12
1996      8.86     8.06    10.23     1.44     8.71
1997     11.80     8.42    13.15    10.85    10.06
1998     19.34    35.48    20.40    25.85     5.37
1999     10.78     9.29     7.93    13.85    14.78
2000     14.21     7.69    27.46    11.93    13.76
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     22.65    36.46    29.24    66.81    21.62
2047     26.62    44.11    40.33    81.45    15.23
2048     23.83    26.23    35.81    64.53    23.58
2049     28.78    28.43    46.45    82.62    61.60
2050     17.70    21.27    25.68    12.80    35.32
2051     21.20    20.94    38.45    51.69    47.96
2052     27.37    36.84    42.78    80.01    37.34
2053     28.75    41.90    44.80    72.37    35.49
2054     29.73    39.79    46.35    40.78    22.79
2055     28.69    34.07    40.96    95.31    46.43
2056     27.23    46.67    33.83    75.43    45.61
2057     28.95    35.66    49.53    67.91    28.13
2058     27.20    37.44    46.10    58.27    31.57
2059     32.14    53.81    37.54    77.72    45.17
2060     31.27    40.20    44.59    83.12    48.86
2061     26.88    35.24    42.15    50.82    14.05
2062     42.66    72.68    49.67    92.95    66.58
2063     28.89    40.53    46.85    83.72    22.63
2064     28.42    46.46    30.08    79.05    53.79
2065     33.17    45.00    57.10    92.31    46.17
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     40.31    57.61    63.61    84.75    34.77
2082     47.00    62.90    57.21    95.29    70.27
2083     39.96    50.75    47.49    92.67    76.33
2084     49.07    58.58    60.58    99.81    60.57
2085     50.52    55.76    70.84    91.81    77.60
2086     40.86    46.60    53.28    93.26    78.89
2087     45.15    56.01    74.80    93.13    54.07
2088     47.15    54.12    63.58    95.07    74.57
2089     45.36    64.27    47.65    92.97    77.13
2090     45.79    58.30    62.35    92.64    57.41
2091     52.99    80.89    61.39    97.98    86.96
2092     45.68    81.11    52.43    93.77    56.27
2093     44.36    72.69    47.93    96.05    70.38
2094     47.97    69.25    62.54    96.83    65.68
2095     48.42    62.43    64.39    97.93    67.13
2096     47.05    53.07    68.43    98.49    70.75
2097     43.45    63.48    48.44    94.92    62.83
2098     54.52    70.76    81.04    93.19    69.77
2099     49.20    55.52    70.59    98.67    70.11
2100     46.61    64.66    51.27    99.43    65.64
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     30.19    49.35    41.42    65.50    46.00
2047     26.56    41.32    43.03    62.47    17.34
2048     25.33    39.27    31.10    78.54    35.75
2049     24.77    28.97    45.82    55.99    34.39
2050     20.83    22.12    33.42    43.47    39.91
2051     29.91    31.80    45.35    70.78    65.34
2052     25.03    42.12    34.21    75.29    31.46
2053     26.68    32.96    37.72    54.87    49.77
2054     29.95    33.05    52.39    70.53    58.58
2055     30.86    37.79    59.96    52.20    34.89
2056     26.13    31.22    47.81    91.02    29.58
2057     33.16    33.88    55.08    79.77    63.36
