Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.99     9.98    10.00    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.65    13.02    17.94     4.82     5.69
1962     11.29     9.86     4.37     9.68    12.81
1963      7.43    14.07     5.88     1.20    12.44
1964      7.30     3.58     8.05    13.37     2.84
1965      7.31     3.95     3.69     6.48     4.67
1966      5.45     8.85     2.00     1.31     1.52
1967      8.07     4.63     8.30    11.12     7.99
1968      8.63     7.96     5.17     2.72     8.49
1969      6.79    11.20     3.44     0.82     6.13
1970      7.58    10.46     5.68     8.09    10.16
1971      5.38     5.41     6.72     2.86     4.03
1972      5.41     3.35     3.09     6.06     2.61
1973     10.42     2.79     3.73    10.78    22.35
1974      9.64     6.10    16.17     9.71    11.04
1975      9.02    12.25    14.28     1.23    10.37
1976      7.55     5.94    13.62     4.79     4.65
1977      8.03     8.56     5.94    14.04     8.91
1978      5.22     1.51     6.55     5.52     4.34
1979     10.87     6.08    15.03     3.90     8.41
1980      9.28     8.97    12.15     8.22     7.06
1981     12.58    12.83     7.04     7.65    14.77
1982      8.53    12.69     8.92     7.63     5.73
1983      7.29     6.41     1.19    11.58    11.30
1984     14.67    10.94    13.45    17.93    22.59
1985     10.91    11.77    11.35    21.59     2.57
1986     11.97    11.99     7.66    16.51    10.46
1987     12.31    12.34     8.59    10.98    10.53
1988     13.02    11.96     9.19    12.42     9.72
1989     11.40    11.37     7.29    21.69    20.05
1990     14.97    15.88    20.14    15.50    11.46
1991      9.90    12.40     7.59     8.11    16.83
1992      7.62     2.89     9.58     0.98     5.34
1993      8.39     3.29    14.86     4.58     4.43
1994     10.37     4.92     4.42    18.00    14.70
1995     14.52    12.00    12.84    14.02    14.29
1996     11.13    17.16    14.31     8.15     7.81
1997      9.58     9.99    13.72     4.48     7.88
1998      8.37    21.07    14.77     6.19     5.07
1999     14.17    26.46     9.60    16.83    11.29
2000     14.50    12.68     9.67    19.36    17.05
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     26.44    21.41    14.80    39.73    41.03
2047     31.36    44.15    29.74    53.01    40.79
2048     28.89    28.16    32.77    62.24    41.57
2049     29.92    34.31    30.10    54.33    41.09
2050     29.24    27.84    29.65    55.07    41.41
2051     29.56    39.29    35.78    55.93    37.37
2052     28.89    20.41    25.94    46.77    44.69
2053     32.62    54.46    30.61    65.94    44.91
2054     29.62    38.23    25.26    49.70    39.88
2055     35.53    61.49    47.25    69.37    42.67
2056     31.58    47.46    41.61    61.58    32.52
2057     30.14    48.29    43.00    50.66    32.65
2058     36.57    48.61    48.21    64.03    53.63
2059     26.19    55.11    39.49    47.83    41.89
2060     35.61    46.58    44.70    59.27    53.40
2061     37.93    60.65    54.93    68.87    50.04
2062     36.65    58.23    52.41    59.11    54.67
2063     36.24    63.42    45.81    68.24    50.50
2064     34.00    59.57    47.35    57.79    32.01
2065     35.44    40.38    39.38    57.07    57.06
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     42.73    67.51    44.70    79.06    52.85
2082     44.20    63.81    68.42    75.70    58.65
2083     45.45    67.47    62.16    74.90    66.18
2084     42.93    58.12    51.98    76.32    59.30
2085     39.60    63.57    63.00    74.46    50.05
2086     47.26    71.09    62.22    82.87    61.96
2087     41.91    63.20    56.42    69.17    54.43
2088     47.48    72.23    53.62    80.92    67.76
2089     43.95    67.81    79.27    71.56    50.71
2090     50.52    78.12    75.95    75.05    55.01
2091     39.37    60.27    53.76    58.11    59.28
2092     44.85    71.86    64.45    67.64    56.56
2093     51.90    69.82    61.07    88.23    65.14
2094     51.31    68.79    66.42    84.02    70.52
2095     50.58    60.71    78.36    78.88    68.97
2096     49.81    71.80    63.39    81.93    64.65
2097     47.48    64.31    63.59    68.19    67.17
2098     49.17    67.06    71.49    84.30    69.40
2099     52.32    80.56    71.84    79.41    66.77
2100     54.70    69.54    78.08    75.65    72.21
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     27.16    25.73    25.77    41.90    35.81
2047     29.39    33.80    42.07    45.04    25.50
2048     32.83    40.78    31.91    58.64    47.77
2049     30.00    38.69    31.59    47.20    42.83
2050     27.81    30.05    33.29    51.21    26.98
2051     32.95    58.77    50.85    57.45    30.29
2052     27.16    46.47    30.31    44.00    40.70
2053     35.86    59.66    49.77    63.10    38.08
2054     27.45    52.64    38.63    43.65    31.58
2055     29.67    44.04    26.82    54.58    45.21
2056     26.04    43.74    23.20    45.35    32.06
2057     28.56    36.93    37.02    58.25    28.88
2058     26.61    54.75    30.22    49.45    29.45
2059     30.54    44.12    30.90    59.75    37.91
2060     30.03    47.94    34.39    47.99    44.43
2061     33.44    52.04    33.55    60.70    45.84
2062     31.37    50.25    32.35    51.87    42.25
2063     36.95    44.06    37.67    72.91    55.16
2064     40.66    63.80    44.90    71.91    50.24
2065     39.27    65.56    50.74    69.41    53.63
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
