Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
 1960   79.69    0.71   25.32  277.55   15.18
 1961  100.89    0.81   57.82  336.81   23.30
 1962   83.71    0.81   37.45  253.52   52.36
 1963   91.37    0.27   24.77  266.58   74.17
 1964   95.30    3.08   60.56  326.01   16.18
 1965   96.68    1.25   39.87  300.06   46.54
 1966  103.94    0.48   71.83  261.31   95.80
 1967  114.16    0.54   46.77  348.18   61.45
 1968   62.89    3.12   27.23  200.31   34.23
 1969  106.88    0.61   46.57  344.83   70.20
 1970   64.50    0.36   29.67  215.55   12.65
 1971   90.03    0.56   33.78  316.16   42.75
 1972   70.25    0.34   34.06  212.55   38.92
 1973   66.92    0.23   38.87  218.23   12.56
 1974   72.09    5.86   24.38  259.53   18.69
 1975   93.59    0.42   23.85  342.85   30.17
 1976   78.07    0.43   35.17  238.76   40.81
 1977   75.55    1.67   33.56  242.83   24.13
 1978   77.34    1.20   38.99  239.99   36.36
 1979   74.68    2.26   74.85  202.97   28.42
 1980   56.12    1.55   18.44  190.56   18.98
 1981   72.82    0.82   42.27  232.93   23.87
 1982   66.17    0.36   34.10  201.98   44.18
 1983   47.82    0.84   28.35  157.21    5.27
 1984   63.62    0.23   73.84  171.97   11.20
 1985   69.47    0.33   21.56  248.59    7.83
 1986   68.33    0.56   17.78  240.59   21.94
 1987   74.54    0.39   36.91  237.15   37.15
 1988   90.22    1.41   36.68  310.05   12.73
 1989   94.04    0.23   80.04  267.04   33.35
 1990   61.15    0.57   26.03  197.57   28.43
 1991   50.62    2.01   10.77  171.96   34.53
 1992   76.30   12.53   41.94  236.28   37.79
 1993   65.73    0.65   31.95  210.52   20.28
 1994   79.01    5.08   40.87  247.89   22.17
 1995   81.32    2.38   46.04  256.90   22.10
 1996   70.29    0.23   24.95  242.48   21.56
 1997   67.48    0.33   69.66  184.77   16.82
 1998   64.64    4.16   17.72  225.94   12.25
 1999   93.97    0.23   20.17  277.68   77.81
 2000   87.30    0.90   27.09  275.91   53.64
 2001   75.34    0.05   42.41  236.35   22.54
 2002   66.40    6.95   29.73  202.21   26.71
 2003   78.40    1.79   39.72  241.23   30.86
 2004   55.03    0.18   34.41  175.21   10.31
 2005   83.02    1.90   33.87  256.48   39.83
 2006   69.70    0.60   36.56  207.11   34.52
